player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,0.0,25.0,4.0,0.0,65.0,
ajou-ajou,Ajou Ajou,WR,,,,,,,,0.0,23.0,1.0,,,
brett-lauther,Brett LAUTHER,K,1.0,163.0,,,,,,,,,,,
cameron-dukes,Cameron Dukes,QB,,,,,,,,,,,1.0,1.0,
chad-kelly,Chad KELLY,QB,,,1.0,,0.0,322.0,,,,,0.0,11.0,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,0.0,40.0,4.0,,,
damonte-coxie,Damonte COXIE,WR,,,,,,,,0.0,112.0,5.0,,,
deonta-mcmahon,Deonta MCMAHON,RB,,,,,,,,0.0,-1.0,1.0,0.0,1.0,
dohnte-meyers,Dohnte Meyers,WR,,,,,,,,0.0,61.0,3.0,,,
frankie-hickson,Frankie Hickson,RB,,,,,,,,,,,0.0,79.0,
janarion-grant,Janarion GRANT,WR,,,,,,,,0.0,9.0,1.0,0.0,6.0,
ka39deem-carey,Ka&#39;Deem Carey,RB,,,,,,,,0.0,19.0,3.0,0.0,35.0,
keesean-johnson,KeeSean Johnson,WR,,,,,,,,1.0,21.0,3.0,,,
kian-schaffer-baker,Kian SCHAFFER-BAKER,WR,,,,,,,,0.0,11.0,2.0,0.0,-4.0,
lirim-hajrullahu,Lirim Hajrullahu,K,1.0,141.0,,,,,,,,,,,
makai-polk,Makai POLK,WR,,,,,,,,0.0,55.0,3.0,,,
richie-sindani,Richie Sindani,WR,,,,,,,,0.0,16.0,2.0,,,
ssk-dst,SSK DST,DST,,,,2.0,,,32.0,,,,,,0.0
ssk-k,SSK K,K,1.0,163.0,,,,,,,,,,,
ssk-qb,SSK QB,QB,,,2.0,,1.0,190.0,,,,,0.0,18.0,
samuel-emilus,Samuel Emilus,WR,,,,,,,,0.0,66.0,8.0,,,
shawn-bane-jr,Shawn Bane Jr.,WR,,,,,,,,0.0,8.0,1.0,,,
shea-patterson,Shea Patterson,QB,,,,,,,,,,,0.0,7.0,
tor-dst,TOR DST,DST,,,,1.0,,,34.0,,,,,,2.0
tor-k,TOR K,K,1.0,141.0,,,,,,,,,,,
tor-qb,TOR QB,QB,,,1.0,,0.0,322.0,,,,,1.0,12.0,
trevor-harris,Trevor HARRIS,QB,,,2.0,,1.0,190.0,,,,,0.0,11.0,
