player_id,player_name,positions,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
andre-arsenault,André Arsenault,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
antoine-davis,Antoine Davis,P,1.0,0.0,0.0,2.0,1.0,127.0,46.0
antoine-rousseau,Antoine Rousseau,P,0.0,0.0,0.0,0.0,0.0,-7.0,59.0
ben-jagt,Ben Jagt,P,3.0,0.0,0.0,2.0,0.0,135.0,77.0
ben-katz,Ben Katz,P,1.0,1.0,0.0,1.0,0.0,1.0,95.0
charles-asselin,Charles Asselin,P,0.0,0.0,0.0,1.0,2.0,22.0,29.0
charles-guay,Charles Guay,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charles-weinberg,Charles Weinberg,P,6.0,1.0,0.0,2.0,1.0,191.0,154.0
chris-mclaughlin,Chris McLaughlin,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
christophe-tremblay-joncas,Christophe Tremblay-Joncas,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
connor-fortin,Connor Fortin,P,0.0,1.0,0.0,1.0,0.0,65.0,-14.0
elias-griffin,Elias Griffin,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eliott-heloir,Eliott Heloir,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elliott-chartock,Elliott Chartock,P,1.0,0.0,0.0,0.0,1.0,93.0,201.0
ethan-fortin,Ethan Fortin,P,0.0,0.0,0.0,0.0,0.0,-2.0,17.0
felix-leonard,Felix Leonard,P,1.0,0.0,0.0,0.0,1.0,59.0,63.0
hayden-stone,Hayden Stone,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack-williams,Jack Williams,P,2.0,0.0,0.0,1.0,2.0,98.0,69.0
jacob-duquette,Jacob Duquette,P,1.0,0.0,0.0,0.0,0.0,60.0,-3.0
jakob-brissette,Jakob Brissette,P,2.0,0.0,0.0,0.0,3.0,94.0,197.0
jeff-babbitt,Jeff Babbitt,P,0.0,0.0,0.0,2.0,0.0,68.0,15.0
jibran-mieser,Jibran Mieser,P,2.0,1.0,0.0,0.0,1.0,95.0,47.0
john-lithio,John Lithio,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
john-randolph,John Randolph,P,2.0,1.0,1.0,3.0,0.0,205.0,145.0
julien-bernat,Julien Bernat,P,0.0,0.0,0.0,0.0,0.0,35.0,1.0
julien-senechal,Julien Sénéchal,P,0.0,0.0,0.0,0.0,0.0,9.0,0.0
kevin-quinlan,Kevin Quinlan,P,2.0,0.0,0.0,0.0,1.0,43.0,95.0
