player_id,player_name,positions,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
adam-odonnell,Adam O\'Donnell,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adam-turcotte,Adam Turcotte,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alec-arsenault,Alec Arsenault,P,1.0,2.0,0.0,4.0,0.0,300.0,128.0
alex-cameron,Alex Cameron,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andrew-ouchterlony,Andrew Ouchterlony,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andrew-watts,Andrew Watts,P,0.0,0.0,0.0,0.0,1.0,-19.0,106.0
ben-simmonds,Ben Simmonds,P,0.0,1.0,0.0,0.0,0.0,16.0,0.0
braedan-robinson,Braedan Robinson,P,1.0,2.0,0.0,0.0,1.0,61.0,58.0
brandon-adibe,Brandon Adibe,P,0.0,2.0,1.0,0.0,0.0,50.0,-2.0
cameron-kennedy,Cameron Kennedy,P,2.0,0.0,0.0,3.0,2.0,258.0,66.0
cameron-knox,Cameron Knox,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carson-turner,Carson Turner,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chris-chan,Chris Chan,P,1.0,0.0,0.0,0.0,0.0,-16.0,91.0
curtis-campbell,Curtis Campbell,P,0.0,0.0,0.0,0.0,0.0,-2.0,3.0
dan-benvenuti,Dan Benvenuti,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daniel-wong,Daniel Wong,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
david-colic,David Colic,P,3.0,1.0,2.0,4.0,0.0,226.0,213.0
david-lundy,David Lundy,P,0.0,0.0,0.0,1.0,1.0,37.0,29.0
david-petsinis,David Petsinis,P,1.0,0.0,0.0,1.0,0.0,87.0,29.0
edmund-un,Edmund Un,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eli-park,Eli Park,P,4.0,1.0,0.0,2.0,3.0,113.0,393.0
geoff-bevan,Geoff Bevan,P,3.0,1.0,2.0,4.0,4.0,171.0,206.0
greg-ellis,Greg Ellis,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ian-wallace,Ian Wallace,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack-park,Jack Park,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jake-turcotte,Jake Turcotte,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
james-carr-pries,James Carr-Pries,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
james-lewis,James Lewis,P,2.0,0.0,0.0,5.0,1.0,240.0,112.0
jared-canfield,Jared Canfield,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jared-morrow,Jared Morrow,P,0.0,1.0,0.0,0.0,1.0,13.0,-5.0
jeremy-hill,Jeremy Hill,P,2.0,2.0,0.0,2.0,1.0,299.0,206.0
john-huang,John Huang,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jon-hallett,Jon Hallett,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jonah-munoz,Jonah Munoz,P,0.0,0.0,0.0,0.0,1.0,29.0,13.0
justin-cheung,Justin Cheung,P,1.0,0.0,1.0,0.0,0.0,-7.0,32.0
kayle-campbell,Kayle Campbell,P,0.0,0.0,1.0,0.0,1.0,0.0,16.0
keith-mcrae,Keith McRae,P,1.0,1.0,0.0,1.0,0.0,122.0,58.0
kelvin-huang,Kelvin Huang,P,1.0,1.0,0.0,2.0,0.0,93.0,50.0
kevin-jay,Kevin Jay,P,0.0,0.0,0.0,1.0,2.0,9.0,49.0
khirode-robertson,Khirode Robertson,P,0.0,0.0,1.0,0.0,0.0,0.0,0.0
kyle-cantal,Kyle Cantal,P,0.0,0.0,0.0,0.0,2.0,1.0,6.0
logan-dufour,Logan Dufour,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
luc-comire,Luc Comire,P,2.0,0.0,0.0,0.0,5.0,88.0,340.0
martin-gallant,Martin Gallant,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matt-obrien,Matt O\'Brien,P,0.0,1.0,2.0,1.0,0.0,70.0,72.0
matthew-gulbronson,Matthew Gulbronson,P,0.0,1.0,0.0,0.0,1.0,43.0,-4.0
max-ayad,Max Ayad,P,0.0,0.0,0.0,1.0,0.0,65.0,24.0
nam-ho,Nam Ho,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nick-boucher,Nick Boucher,P,3.0,0.0,0.0,1.0,3.0,137.0,349.0
oscar-stonehouse,Oscar Stonehouse,P,3.0,0.0,2.0,2.0,1.0,268.0,41.0
paul-mensah,Paul Mensah,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paul-renaud,Paul Renaud,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phil-turner,Phil Turner,P,1.0,4.0,0.0,0.0,0.0,60.0,118.0
rhys-toogood,Rhys Toogood,P,2.0,0.0,0.0,0.0,2.0,29.0,224.0
rui-carvalho,Rui Carvalho,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ryan-poloz,Ryan Poloz,P,4.0,1.0,1.0,3.0,1.0,290.0,238.0
ryan-wallace,Ryan Wallace,WR/P,2.0,1.0,0.0,0.0,0.0,-14.0,96.0
samuel-dupont-gratton,Samuel Dupont-Gratton,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thomas-stanton,Thomas Stanton,P,0.0,1.0,0.0,0.0,1.0,0.0,18.0
travis-puckrin,Travis Puckrin,P,0.0,1.0,1.0,0.0,0.0,0.0,8.0
wilkie-lewis,Wilkie Lewis,P,0.0,1.0,1.0,1.0,2.0,132.0,-15.0
will-dickson,Will Dickson,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zachary-armstrong,Zachary Armstrong,P,0.0,0.0,0.0,2.0,0.0,64.0,0.0
