player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
alec-wilson-holliday,Alec Wilson Holliday,P,,,17.0,11.0,,5.0,3.0,,,,12.0,1.0,352.0,35.0
andrew-thai,Andrew Thai,P,,,5.0,4.0,,1.0,1.0,,,,4.0,,58.0,14.0
austin-taylor,Austin Taylor,WR/P,2.0,,28.0,29.0,,,5.0,1.0,,,29.0,,168.0,221.0
ben-price,Ben Price,P,,,13.0,11.0,,1.0,,,,,12.0,1.0,55.0,55.0
bobby-ley,Bobby Ley,P,4.0,2.0,39.0,49.0,,,3.0,3.0,,,49.0,,133.0,361.0
brandon-malecek,Brandon Malecek,P,1.0,,20.0,27.0,1.0,,1.0,1.0,,,30.0,3.0,63.0,235.0
brett-hulsmeyer,Brett Hulsmeyer,P,2.0,,31.0,32.0,,2.0,2.0,,3.0,,33.0,1.0,172.0,183.0
brooks-wallace,Brooks Wallace,P,1.0,,14.0,10.0,,1.0,,,,,13.0,2.0,135.0,51.0
caleb-enright,Caleb Enright,P,,1.0,5.0,4.0,,,,,,,5.0,1.0,29.0,4.0
christian-olsen,Christian Olsen,P,,,29.0,28.0,,1.0,2.0,,,1.0,30.0,2.0,120.0,174.0
colin-smith,Colin Smith,P,,,6.0,4.0,,,,,,,5.0,1.0,40.0,29.0
dean-ramsey,Dean Ramsey,P,2.0,2.0,8.0,7.0,,2.0,2.0,,10.0,,7.0,,236.0,58.0
eli-motycka,Eli Motycka,P,,,9.0,9.0,,1.0,1.0,,,,9.0,,13.0,78.0
emmanuel-bilolo,Emmanuel Bilolo,P,2.0,1.0,22.0,18.0,,,3.0,,,1.0,24.0,6.0,153.0,130.0
eric-sjostrom,Eric Sjostrom,P,3.0,,13.0,15.0,,,,,,,15.0,,122.0,201.0
jp-burns,JP Burns,P,3.0,,15.0,13.0,,2.0,1.0,1.0,1.0,,13.0,,141.0,154.0
jack-wooldridge,Jack Wooldridge,P,,,9.0,8.0,,1.0,,,,,9.0,1.0,2.0,71.0
jakeem-polk,Jakeem Polk,P,,1.0,7.0,3.0,,2.0,,,5.0,,5.0,2.0,131.0,-15.0
jason-hustad,Jason Hustad,P,7.0,1.0,31.0,43.0,,,3.0,5.0,,,46.0,3.0,106.0,563.0
jon-deamicis,Jon DeAmicis,P,,,1.0,1.0,,,,,,,1.0,,12.0,-3.0
joseph-welkener,Joseph Welkener,P,2.0,,16.0,15.0,,1.0,,,,,16.0,,160.0,119.0
justin-burnett,Justin Burnett,P,2.0,6.0,11.0,13.0,1.0,,1.0,1.0,1.0,,13.0,,100.0,92.0
kennith-taylor,Kennith Taylor,P,2.0,2.0,12.0,12.0,,,1.0,1.0,,,13.0,1.0,99.0,126.0
kevin-richardson,Kevin Richardson,P,,,19.0,22.0,,,1.0,,13.0,,22.0,,118.0,77.0
matt-smith,Matt Smith,P,1.0,,16.0,11.0,,5.0,1.0,,,,11.0,,209.0,52.0
matthew-knowles,Matthew Knowles,P,,,2.0,4.0,,,,,,,4.0,,9.0,29.0
max-thorne,Max Thorne,P,3.0,,28.0,29.0,,2.0,2.0,,,,30.0,1.0,183.0,293.0
michael-arbutine,Michael Arbutine,P,,1.0,5.0,4.0,,1.0,2.0,,,,4.0,,15.0,52.0
michael-fairley,Michael Fairley,P,1.0,1.0,3.0,2.0,,1.0,,,,,2.0,,50.0,19.0
myles-armstrong,Myles Armstrong,P,,,2.0,2.0,,,,,,,2.0,,25.0,8.0
myles-cooper,Myles Cooper,P,,1.0,2.0,3.0,,,,,,,3.0,,11.0,-4.0
parker-bray,Parker Bray,P,,1.0,12.0,19.0,,,2.0,,10.0,,20.0,1.0,-19.0,84.0
ryan-buckingham,Ryan Buckingham,P,,,8.0,4.0,1.0,4.0,,,,,4.0,,241.0,3.0
samuel-roberts,Samuel Roberts,P,,1.0,16.0,16.0,,,1.0,1.0,2.0,,18.0,2.0,38.0,82.0
tannon-hedges,Tannon Hedges,P,3.0,,9.0,8.0,,1.0,,,,,9.0,,18.0,51.0
trip-crowley,Trip Crowley,P,1.0,,17.0,8.0,,8.0,,,,,9.0,1.0,272.0,6.0
