player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
alex-gravatt,Alex Gravatt,P,,,,,,,0.0,,,,,,,0.0
anthony-gutowsky,Anthony Gutowsky,P,0.0,,,,,,,,,,,,,
austin-johnson,Austin Johnson,P,,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0
avery-johnson,Avery Johnson,P,,0.0,,,,,0.0,,,,,0.0,,
biz-schlaefer,Biz Schlaefer,P,,0.0,,,,0.0,,0.0,,0.0,,,,
brenden-gessner,Brenden Gessner,P,1.0,0.0,20.0,19.0,,1.0,1.0,,,,19.0,,119.0,24.0
carson-chamberlain,Carson Chamberlain,P,0.0,,22.0,15.0,,3.0,1.0,,,,19.0,3.0,215.0,93.0
chris-ellis,Chris Ellis,P,,,6.0,5.0,,,0.0,,,,6.0,1.0,-2.0,22.0
chris-walsh,Chris Walsh,P,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0
colin-beauregard,Colin Beauregard,P,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
colin-fremeau,Colin Fremeau,P,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0
daniel-garlock,Daniel Garlock,P,,,,,,,,,,,,0.0,,
david-innis,David Innis,P,,0.0,9.0,13.0,,0.0,,,0.0,,15.0,,82.0,132.0
dylan-hall,Dylan Hall,P,0.0,1.0,5.0,5.0,,,0.0,0.0,1.0,,5.0,,41.0,11.0
jack-havey,Jack Havey,P,,,41.0,34.0,,3.0,4.0,,,,39.0,5.0,154.0,140.0
jack-kelly,Jack Kelly,P,0.0,,,,0.0,,0.0,,,,,,,
jacob-wham,Jacob Wham,P,,,,,,,,0.0,0.0,,,,,
jake-carrico,Jake Carrico,P,0.0,,,,,,,0.0,,,,0.0,,
jake-kenniv,Jake Kenniv,P,4.0,1.0,50.0,50.0,,,,2.0,,,51.0,1.0,286.0,278.0
joe-simonelli,Joe Simonelli,P,1.0,0.0,6.0,9.0,,,,,0.0,,10.0,1.0,22.0,79.0
joseph-cubitt,Joseph Cubitt,P,4.0,,60.0,66.0,,,0.0,3.0,,,69.0,3.0,196.0,404.0
justin-wollin,Justin Wollin,P,,,8.0,10.0,,,,,,,10.0,,36.0,34.0
kai-delorenzo,Kai DeLorenzo,P,,0.0,,,,0.0,,,,,,0.0,,
kelsen-alexander,Kelsen Alexander,P,,0.0,,,,,,,,,,,,
luke-marks,Luke Marks,P,,0.0,,,,,,,,,,0.0,,
malachi-neil,Malachi Neil,P,,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0
matt-gubernick,Matt Gubernick,P,,0.0,4.0,2.0,,,,0.0,,,2.0,0.0,18.0,34.0
nathan-ploeger,Nathan Ploeger,P,,,5.0,3.0,,0.0,,,,,5.0,,21.0,-3.0
nicholas-betsch,Nicholas Betsch,P,,,22.0,23.0,,1.0,3.0,,,,24.0,1.0,173.0,73.0
rees-mcdevitt,Rees McDevitt,P,,0.0,3.0,2.0,,,,,,,2.0,,17.0,11.0
robbie-davenport,Robbie Davenport,P,1.0,,30.0,36.0,,,,1.0,,,39.0,,56.0,228.0
sam-stark,Sam Stark,P,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0
sterling-knoche,Sterling Knoche,P,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0
terry-gaither,Terry Gaither,P,,,2.0,4.0,,,,,,,4.0,,31.0,21.0
thomas-coolidge,Thomas Coolidge,P,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0
