player_id,player_name,positions,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
aaron-rosenthal,Aaron Rosenthal,P,0.0,0.0,0.0,2.0,0.0,58.0,0.0
adam-rees,Adam Rees,P,2.0,1.0,0.0,6.0,1.0,308.0,31.0
aidan-curry,Aidan Curry,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alex-atkins,Alex Atkins,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alex-piper,Alex Piper,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andre-miller,Andre Miller,RB/P/WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carter-lankford,Carter Lankford,P,0.0,1.0,0.0,0.0,2.0,36.0,6.0
charles-cannon,Charles Cannon,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
connor-olson,Connor Olson,P,2.0,0.0,0.0,3.0,3.0,29.0,272.0
conor-bauman,Conor Bauman,P,0.0,0.0,0.0,0.0,1.0,0.0,0.0
daniel-ritthaler,Daniel Ritthaler,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
danny-landesman,Danny Landesman,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
david-yu,David Yu,P,2.0,0.0,0.0,0.0,0.0,84.0,20.0
dennis-bechis,Dennis Bechis,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dexter-clyburn,Dexter Clyburn,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dillon-whited,Dillon Whited,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dylan-burns,Dylan Burns,P,2.0,0.0,0.0,1.0,1.0,148.0,44.0
eli-kerns,Eli Kerns,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elliot-hawkins,Elliot  Hawkins,P,1.0,0.0,1.0,1.0,1.0,116.0,57.0
erik-hotaling,Erik Hotaling,P,0.0,0.0,0.0,0.0,0.0,55.0,22.0
evan-magsig,Evan  Magsig,P,7.0,0.0,0.0,1.0,2.0,212.0,662.0
henry-garcia,Henry Garcia,P,0.0,0.0,0.0,0.0,0.0,-6.0,18.0
hunter-may,Hunter May,P,0.0,0.0,0.0,2.0,0.0,68.0,-4.0
jason-vallee,Jason Vallee,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jay-froude,Jay Froude,P,0.0,1.0,0.0,0.0,0.0,38.0,3.0
jeremy-knopf,Jeremy Knopf,P,0.0,0.0,0.0,0.0,0.0,-2.0,21.0
john-sickles,John Sickles,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kai-marshall,Kai Marshall,P,0.0,1.0,0.0,0.0,0.0,14.0,19.0
keenan-laurence,Keenan Laurence,P,1.0,1.0,1.0,1.0,2.0,227.0,65.0
leo-gordon,Leo Gordon,P,3.0,0.0,0.0,2.0,3.0,293.0,332.0
liam-jay,Liam Jay,P,0.0,0.0,0.0,0.0,1.0,0.0,0.0
lincoln-grench,Lincoln Grench,P,1.0,0.0,0.0,0.0,1.0,46.0,86.0
logan-pruess,Logan Pruess,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matt-jackson,Matt Jackson,P,1.0,0.0,0.0,0.0,0.0,-5.0,54.0
matthew-burke,Matthew Burke,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matthew-crawford,Matthew Crawford,P,0.0,0.0,0.0,1.0,0.0,86.0,154.0
max-williams,Max Williams,P,1.0,0.0,0.0,0.0,1.0,49.0,40.0
morgan-sommer,Morgan Sommer,P,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nanda-min-fink,Nanda Min-Fink,P,0.0,0.0,0.0,0.0,0.0,24.0,33.0
nick-tolfa,Nick Tolfa,P,0.0,0.0,0.0,1.0,0.0,54.0,0.0
noah-coolman,Noah Coolman,P,1.0,2.0,0.0,4.0,2.0,325.0,134.0
quinn-finer,Quinn Finer,P,4.0,0.0,0.0,4.0,0.0,238.0,210.0
raekwon-adkins,Raekwon Adkins,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robby-mccabe,Robby McCabe,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robert-yeagle,Robert Yeagle,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robin-vickers-batzdorf,Robin Vickers Batzdorf,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saeed-semrin,Saeed Semrin,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sam-goldstein,Sam Goldstein,P,2.0,1.0,0.0,1.0,1.0,32.0,92.0
sam-vandusen,Sam VanDusen,P,0.0,1.0,0.0,0.0,0.0,7.0,-1.0
sandy-brown,Sandy Brown,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saul-wildavsky,Saul Wildavsky,P,0.0,0.0,0.0,3.0,0.0,125.0,-30.0
sawyer-thompson,Sawyer Thompson,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seamus-robinson,Seamus Robinson,P,1.0,2.0,0.0,0.0,2.0,30.0,64.0
seth-faris,Seth Faris,P,0.0,0.0,0.0,0.0,0.0,10.0,-8.0
seth-wells,Seth Wells,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timothy-elliott,Timothy Elliott,P,1.0,1.0,0.0,2.0,0.0,221.0,147.0
tobias-brooks,Tobias Brooks,P,6.0,1.0,1.0,2.0,2.0,150.0,796.0
tyler-nguyen,Tyler Nguyen,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
walker-frankenberg,Walker Frankenberg,P,3.0,0.0,0.0,3.0,3.0,359.0,352.0
wyatt-berreman,Wyatt Berreman,P,0.0,1.0,0.0,0.0,0.0,0.0,0.0
zach-slayton,Zach Slayton,P,0.0,0.0,0.0,1.0,0.0,28.0,3.0
zeke-thoreson,Zeke Thoreson,P,3.0,0.0,0.0,3.0,0.0,363.0,90.0
