player_id,player_name,positions,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
alex-gravatt,Alex Gravatt,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anthony-gutowsky,Anthony Gutowsky,P,1.0,2.0,2.0,5.0,0.0,197.0,66.0
ashton-hill,Ashton Hill,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ben-close,Ben Close,P,0.0,1.0,0.0,2.0,0.0,76.0,10.0
ben-landry,Ben Landry,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biz-schlaefer,Biz Schlaefer,P,4.0,0.0,0.0,0.0,0.0,28.0,78.0
cade-white,Cade White,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carson-chamberlain,Carson Chamberlain,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charlie-benforado,Charlie  Benforado,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cole-hyzer,Cole Hyzer,P,2.0,0.0,0.0,1.0,4.0,231.0,118.0
conner-blalack,Conner Blalack,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
david-nester,David Nester,P,3.0,1.0,1.0,2.0,0.0,63.0,114.0
drew-happe,Drew Happe,P,0.0,0.0,0.0,0.0,1.0,28.0,14.0
eric-sjostrom,Eric Sjostrom,P,3.0,0.0,0.0,1.0,2.0,113.0,265.0
gabe-vordick,Gabe Vordick,P,0.0,0.0,0.0,1.0,1.0,220.0,30.0
ian-mccosky,Ian McCosky,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack-galle,Jack Galle,P,0.0,0.0,1.0,3.0,1.0,132.0,-12.0
jack-havey,Jack Havey,P,1.0,0.0,2.0,1.0,2.0,146.0,110.0
jack-kempe,Jack Kempe,P,1.0,1.0,1.0,0.0,2.0,74.0,61.0
jack-nelson,Jack Nelson,P,0.0,0.0,0.0,0.0,0.0,61.0,31.0
jacob-blue,Jacob Blue,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jake-carrico,Jake Carrico,P,4.0,1.0,0.0,0.0,0.0,52.0,244.0
jake-wahl,Jake Wahl,P,0.0,1.0,0.0,0.0,1.0,18.0,58.0
jared-regruth,Jared Regruth,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jason-kempe,Jason Kempe,P,1.0,2.0,0.0,0.0,1.0,94.0,78.0
joe-leibforth,Joe Leibforth,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joel-close,Joel Close,P,2.0,2.0,0.0,0.0,0.0,64.0,102.0
joey-cari,Joey Cari,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
john-tan,John Tan,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
