player_id,player_name,positions,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
aage-bonnell,Aage Bonnell,P,1.0,1.0,1.0,1.0,0.0,33.0,86.0
aaron-wolf,Aaron Wolf,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alex-atkins,Alex Atkins,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alex-kabat,Alex Kabat,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alex-piper,Alex Piper,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andre-miller,Andre Miller,RB/P/WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asher-lantz,Asher Lantz,P,1.0,0.0,0.0,0.0,0.0,46.0,29.0
bailey-wu,Bailey Wu,P,0.0,0.0,0.0,0.0,1.0,31.0,0.0
brandon-lin,Brandon Lin,P,0.0,1.0,1.0,3.0,1.0,284.0,35.0
cedar-hines,Cedar Hines,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charles-cannon,Charles Cannon,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
christian-foster,Christian Foster,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
connor-olson,Connor Olson,P,1.0,0.0,0.0,2.0,0.0,72.0,95.0
conor-belfield,Conor Belfield,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daniel-chickering,Daniel Chickering,P,0.0,0.0,0.0,0.0,1.0,-4.0,20.0
danny-landesman,Danny Landesman,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
david-yu,David Yu,P,0.0,1.0,0.0,0.0,1.0,20.0,49.0
dennis-bechis,Dennis Bechis,P,0.0,0.0,0.0,2.0,0.0,9.0,0.0
derek-mourad,Derek Mourad,P,5.0,1.0,0.0,0.0,6.0,17.0,589.0
dominic-jacobs,Dominic Jacobs,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elliot-hawkins,Elliot  Hawkins,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emmet-shipway,Emmet Shipway,P,1.0,2.0,0.0,4.0,2.0,226.0,130.0
erik-hotaling,Erik Hotaling,P,2.0,2.0,1.0,2.0,3.0,115.0,123.0
gabe-nobis,Gabe Nobis,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garrett-martin,Garrett Martin,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gavin-leahy,Gavin Leahy,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hunter-may,Hunter May,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ian-sweeney,Ian Sweeney,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isaac-granstrom,Isaac Granstrom,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack-brown,Jack Brown,P,3.0,1.0,1.0,0.0,2.0,101.0,121.0
jay-froude,Jay Froude,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jeremy-knopf,Jeremy Knopf,P,0.0,0.0,0.0,0.0,0.0,-4.0,-21.0
