player_id,player_name,positions,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
aiden-landis,Aiden Landis,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alex-stevenson,Alex Stevenson,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alex-warrington,Alex Warrington,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexander-kirages,Alexander Kirages,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allan-laviolette,Allan Laviolette,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andrew-li,Andrew Li,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andrew-vande-berg,Andrew Vande Berg,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angelo-olcese,Angelo Olcese,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anson-reppermund,Anson Reppermund,P,4.0,1.0,0.0,0.0,0.0,98.0,252.0
brayden-morrison,Brayden Morrison,P,4.0,1.0,0.0,1.0,0.0,32.0,162.0
brenden-gessner,Brenden Gessner,P,0.0,0.0,0.0,3.0,0.0,214.0,50.0
cam-bellando,Cam Bellando,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
christian-belus,Christian Belus,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clint-mcsherry,Clint McSherry,P,2.0,0.0,0.0,0.0,4.0,115.0,404.0
cooper-williams,Cooper Williams,P,0.0,4.0,0.0,3.0,0.0,136.0,46.0
dan-nichols,Dan Nichols,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dane-miller,Dane Miller,P,0.0,0.0,0.0,1.0,0.0,25.0,8.0
dillon-bruer,Dillon Bruer,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drew-swanson,Drew Swanson,P,1.0,2.0,0.0,2.0,1.0,87.0,-4.0
dylan-best,Dylan Best,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dylan-hawkins,Dylan Hawkins,P,3.0,0.0,0.0,1.0,0.0,213.0,168.0
elijah-long,Elijah Long,P,0.0,2.0,0.0,2.0,2.0,82.0,244.0
elliot-rivera,Elliot Rivera,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ethan-baughman,Ethan Baughman,P,1.0,0.0,0.0,0.0,0.0,-6.0,49.0
ethan-campion,Ethan Campion,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grayson-sanner,Grayson Sanner,P,3.0,0.0,0.0,8.0,0.0,328.0,124.0
harry-park,Harry Park,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
henry-everett,Henry Everett,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ian-piper,Ian Piper,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jacob-fairfax,Jacob Fairfax,P,1.0,0.0,0.0,2.0,0.0,247.0,304.0
jake-murray,Jake Murray,P,0.0,0.0,0.0,1.0,1.0,22.0,37.0
jake-reinhardt,Jake Reinhardt,LS/P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jake-thorne,Jake Thorne,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jimmy-towle,Jimmy Towle,P,0.0,0.0,1.0,0.0,2.0,98.0,-28.0
joe-molder,Joe Molder,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
john-laney,John Laney,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
john-mcdonnell,John McDonnell,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
john-mcmonigal,John McMonigal,P,1.0,0.0,0.0,2.0,0.0,117.0,127.0
john-wellers,John Wellers,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
josh-singleton,Josh Singleton,P,0.0,0.0,0.0,1.0,2.0,59.0,22.0
jude-schmiesing,Jude Schmiesing,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kevin-nicholl,Kevin Nicholl,P,0.0,0.0,0.0,1.0,1.0,11.0,0.0
kevin-pignone,Kevin Pignone,P,2.0,0.0,0.0,1.0,1.0,18.0,93.0
liam-becker,Liam Becker,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logan-call,Logan Call,P,0.0,0.0,0.0,0.0,0.0,7.0,6.0
lucas-storm,Lucas Storm,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malachi-marshall,Malachi Marshall,P,1.0,0.0,0.0,1.0,2.0,14.0,178.0
matt-tucker,Matt Tucker,P,1.0,2.0,0.0,1.0,0.0,41.0,29.0
matthew-nightingale,Matthew Nightingale,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maxwell-olesen,Maxwell Olesen,P,0.0,0.0,1.0,2.0,0.0,114.0,7.0
michael-dillard,Michael Dillard,P,1.0,0.0,1.0,0.0,1.0,77.0,55.0
michael-lee,Michael Lee,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nathan-lyle,Nathan Lyle,P,0.0,1.0,0.0,1.0,0.0,26.0,13.0
noah-bush,Noah Bush,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noah-celuch,Noah Celuch,P,0.0,1.0,0.0,0.0,1.0,8.0,14.0
owen-watt,Owen Watt,P,2.0,0.0,1.0,1.0,2.0,116.0,77.0
pete-zaccardi,Pete Zaccardi,P,0.0,0.0,0.0,0.0,2.0,11.0,10.0
reid-duncan,Reid Duncan,P,1.0,0.0,1.0,4.0,0.0,200.0,24.0
ryan-kindell,Ryan Kindell,P,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ryan-ward,Ryan Ward,P,4.0,0.0,1.0,0.0,2.0,106.0,185.0
seth-weaver,Seth Weaver,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suhas-madiraju,Suhas Madiraju,P,0.0,0.0,0.0,0.0,0.0,12.0,62.0
suraj-madiraju,Suraj Madiraju,P,2.0,0.0,0.0,0.0,0.0,51.0,104.0
terrence-mitchell,Terrence Mitchell,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thomas-mazur,Thomas Mazur,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tobias-brooks,Tobias Brooks,P,5.0,0.0,0.0,1.0,2.0,151.0,234.0
trevor-lynch,Trevor Lynch,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
walker-matthews,Walker Matthews,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
will-hoffenkamp,Will Hoffenkamp,P,1.0,1.0,0.0,2.0,0.0,139.0,80.0
william-coffin,William Coffin,P,1.0,1.0,0.0,1.0,0.0,81.0,24.0
wyatt-krisky,Wyatt Krisky,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zac-byrnes,Zac Byrnes,P,0.0,0.0,0.0,0.0,0.0,58.0,42.0
zeke-thoreson,Zeke Thoreson,P,3.0,0.0,0.0,2.0,1.0,296.0,141.0
