player_id,player_name,positions,field_goal_yards,interceptions_lost,passing_tds,passing_yards,patkick,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
aakiel-greer,Aakiel Greer,WR,0.0,1.0,2.0,86.0,0.0,2.0,53.0,5.0,0.0,-3.0
byron-edwards,BYRON EDWARDS,WR,0.0,1.0,2.0,86.0,0.0,0.0,7.0,2.0,1.0,12.0
dalton-cole,Dalton Cole,QB,0.0,2.0,0.0,67.0,0.0,1.0,35.0,7.0,1.0,15.0
deshon-williams,Deshon  Williams,TE/WR,0.0,0.0,1.0,44.0,0.0,0.0,7.0,2.0,1.0,2.0
ijaaz-rashid,Ijaaz Rashid,JLB/WR,0.0,0.0,1.0,44.0,0.0,0.0,40.0,2.0,1.0,1.0
justin-olibrice,Justin Olibrice,WR,0.0,0.0,1.0,44.0,0.0,0.0,7.0,2.0,0.0,3.0
kris-lewis,Kris Lewis,WR,0.0,0.0,2.0,52.0,0.0,0.0,29.0,3.0,1.0,15.0
maurice-ashley,Maurice Ashley,WR,0.0,1.0,0.0,34.0,0.0,1.0,35.0,7.0,0.0,3.0
quintavius-workman,Quintavius Workman,WR,0.0,1.0,0.0,34.0,0.0,0.0,11.0,1.0,0.0,3.0
tywon-buckley,Tywon Buckley,WR,0.0,1.0,2.0,86.0,0.0,0.0,7.0,2.0,1.0,12.0
