player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,12.0,1.0,,90.0,,
abdul-kanneh,Abdul Kanneh,DB,,,,0.0,,,,,,,,,0.0,4.0
adam-auclair,Adam Auclair,LB,,,,0.0,,,,,,,,,0.0,7.0
adarius-pickett,Adarius Pickett,LB/DB,,,,0.0,,,,,,,,,1.0,5.0
alonzo-addae,Alonzo Addae,DB,,,,0.0,,,,,,,,,0.0,1.0
andrew-harris,Andrew Harris,RB,,,,,,,,0.0,0.0,0.0,0.0,19.0,,
anthony-gosselin,Anthony GOSSELIN,FB/RB,,,,0.0,,,,0.0,2.0,1.0,,,0.0,0.0
benoit-marion,Benoit Marion,DL/DB,,,,0.0,,,,,,,,,0.0,0.0
boris-bede,Boris Bede,K,4.0,21.0,0.0,,0.0,15.0,,,,,,,,
bryce-carter,Bryce Carter,DL/DB,,,,0.0,,,,,,,,,0.0,2.0
cam-phillips,Cam Phillips,WR,,,,,,,,0.0,115.0,5.0,,,,
cameron-dukes,Cameron Dukes,QB,,,,,,,,,,,1.0,1.0,,
cariel-brooks,Cariel Brooks,DB,,,,1.0,,,,,,,,,0.0,2.0
chad-kelly,Chad KELLY,QB,,,1.0,,4.0,417.0,,,,,0.0,17.0,,
cleyon-laing,Cleyon Laing,DL/DB,,,,0.0,,,,,,,,,0.0,1.0
dashaun-amos,DaShaun Amos,DB,,,,0.0,,,,,,,,,0.0,4.0
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,3.0,180.0,6.0,,,,
damon-webb,Damon Webb,DB,,,,0.0,,,,,,,,,0.0,4.0
daniel-adeboboye,Daniel ADEBOBOYE,RB,,,,0.0,,,,,,,,,0.0,0.0
david-ungerer-iii,David UNGERER III,WR,,,,,,,,,62.0,4.0,,,,
deionte-knight,Deionte Knight,DL/DB,,,,0.0,,,,,,,,,1.0,2.0
dejon-brissett,Dejon BRISSETT,WR,,,,,,,,0.0,28.0,2.0,,,,
devonte-williams,Devonte Williams,RB,,,,,,,,0.0,26.0,2.0,0.0,47.0,,
dewayne-hendrix,Dewayne Hendrix,DL/DB,,,,0.0,,,,,,,,,0.0,1.0
dustin-crum,Dustin CRUM,QB,,,0.0,,3.0,292.0,,,,,0.0,42.0,,
folarin-orimolade,Folarin Orimolade,DL/DB,,,,0.0,,,,,,,,,1.0,4.0
jackson-bennett,Jackson Bennett,RB,,,,,,,,1.0,11.0,1.0,0.0,3.0,,
jaelon-acklin,Jaelon Acklin,WR,,,,,,,,1.0,157.0,6.0,,,,
jonathan-edouard,Jonathan Edouard,DB,,,,0.0,,,,,,,,,0.0,0.0
jonathan-jones,Jonathan Jones,LB/CB,,,,0.0,,,,,,,,,0.0,1.0
jordan-williams,Jordan Williams,WR/OT/LB/DL/DE/MLB,,,,0.0,,,,,,,,,0.0,3.0
josh-hagerty,Josh Hagerty,DB,,,,0.0,,,,,,,,,0.0,0.0
jovan-santos-knox,Jovan Santos-Knox,LB,,,,0.0,,,,,,,,,0.0,6.0
justin-hardy,Justin HARDY,WR,,,,,,,,1.0,62.0,7.0,,,,
justin-howell,Justin Howell,DB,,,,0.0,,,,,,,,,0.0,3.0
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,,,20.0,3.0,,,,
lewis-ward,Lewis Ward,K,4.0,50.0,,,,,,,,,,,,
marco-dubois,Marco DUBOIS,FB/WR,,,,,,,,0.0,2.0,1.0,,,,
michael-wakefield,Michael Wakefield,DL/DB,,,,0.0,,,,,,,,,0.0,3.0
nate-behar,Nate Behar,WR,,,,,,,,0.0,0.0,0.0,,,,
ott-dst,OTT DST,DST,,,,,,,44.0,,,,,,0.0,
ott-k,OTT K,K,4.0,50.0,,,,,,,,,,,,
ott-qb,OTT QB,QB,,,,,3.0,292.0,,,,,,42.0,,
robbie-smith,Robbie Smith,DL,,,,0.0,,,,,,,,,0.0,2.0
robertson-daniel,Robertson Daniel,DB,,,,0.0,,,,,,,,,2.0,6.0
royce-metchie,Royce Metchie,DB,,,,0.0,,,,,,,,,0.0,4.0
sam-acheampong,Sam Acheampong,DL,,,,0.0,,,,,,,,,0.0,1.0
shaq-evans,Shaq Evans,WR,,,,,,,,0.0,17.0,2.0,,,,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,0.0,15.0,1.0,,,,
tor-dst,TOR DST,DST,,,,,,,31.0,,,,,,5.0,
tor-k,TOR K,K,4.0,21.0,,,,,,,,,,,,
tor-qb,TOR QB,QB,,,1.0,,4.0,417.0,,,,,3.0,28.0,,
thomas-costigan,Thomas Costigan,DL/DB,,,,0.0,,,,,,,,,0.0,1.0
ty-cranston,Ty Cranston,DB,,,,0.0,,,,,,,,,0.0,0.0
wynton-mcmanis,Wynton McManis,LB,,,,0.0,,,,,,,,,0.0,8.0
