player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
ac-mcdermott,AC McDermott,,,,,,,,12.0,0.0,1.0,28.0,1.0,2.0,2.0,,1.0
b-laughlin,B Laughlin,,4.0,0.0,0.0,8.0,4.0,0.0,18.0,0.0,0.0,35.0,0.0,2.0,1.0,,1.0
bcj-cutting,BCJ Cutting,,,,,,,,20.0,0.0,0.0,39.0,1.0,0.0,,,1.0
br-dunk,BR Dunk,,33.0,5.0,0.0,2.0,67.0,4.0,,,,,,,,,1.0
bw-hilfenhaus,BW Hilfenhaus,,2.0,1.0,1.0,9.0,10.0,1.0,24.0,0.0,1.0,47.0,0.0,0.0,,,1.0
c-kieswetter,C Kieswetter,,24.0,6.0,0.0,3.0,50.0,3.0,,,,,,,1.0,,1.0
ca-lynn,CA Lynn,,7.0,1.0,1.0,5.0,11.0,0.0,,,,,,,1.0,,1.0
cj-gannon,CJ Gannon,,,,,,,,24.0,0.0,1.0,36.0,2.0,3.0,,,1.0
de-bollinger,DE Bollinger,,,,,,,,18.0,0.0,0.0,27.0,1.0,2.0,,,1.0
dl-vettori,DL Vettori,,,,,,,,24.0,0.0,0.0,32.0,2.0,0.0,,,1.0
dt-christian,DT Christian,,40.0,3.0,1.0,4.0,70.0,4.0,12.0,0.0,0.0,29.0,1.0,0.0,1.0,,1.0
ep-gulbis,EP Gulbis,,13.0,1.0,0.0,6.0,22.0,1.0,6.0,0.0,0.0,22.0,0.0,0.0,,,1.0
ja-burns,JA Burns,,45.0,6.0,0.0,2.0,69.0,2.0,,,,,,,,,1.0
jr-hopes,JR Hopes,,,,,,,,12.0,0.0,0.0,17.0,0.0,0.0,,,1.0
jw-wells,JW Wells,,20.0,5.0,1.0,5.0,36.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,,,1.0
la-pomersbach,LA Pomersbach,,5.0,1.0,0.0,1.0,4.0,0.0,,,,,,,,,1.0
nm-hauritz,NM Hauritz,,,,,,,,12.0,0.0,0.0,25.0,0.0,1.0,1.0,,1.0
oa-shah,OA Shah,,10.0,0.0,0.0,4.0,6.0,0.0,,,,,,,,,1.0
shoaib-malik,Shoaib Malik,,13.0,2.0,0.0,1.0,19.0,1.0,24.0,0.0,0.0,40.0,1.0,0.0,,,1.0
td-paine,TD Paine,,3.0,1.0,0.0,7.0,5.0,0.0,,,,,,,,1.0,1.0
tr-birt,TR Birt,,20.0,3.0,0.0,3.0,27.0,1.0,,,,,,,,,1.0
xj-doherty,XJ Doherty,,,,,,,,24.0,0.0,0.0,33.0,1.0,0.0,,,1.0
