player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
c-munro,C Munro,,25.0,2.0,0.0,3.0,23.0,1.0,,,,,,,,1.0
cj-green,CJ Green,,7.0,0.0,0.0,7.0,5.0,0.0,24.0,0.0,1.0,42.0,0.0,0.0,,1.0
da-warner,DA Warner,,36.0,7.0,0.0,2.0,50.0,0.0,,,,,,,,1.0
dt-christian,DT Christian,,15.0,0.0,1.0,8.0,23.0,2.0,24.0,0.0,0.0,25.0,1.0,0.0,,1.0
hd-weibgen,HD Weibgen,,8.0,0.0,0.0,6.0,11.0,1.0,,,,,,,,1.0
jp-wood,JP Wood,,4.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,1.0
lh-ferguson,LH Ferguson,,9.0,1.0,1.0,10.0,7.0,0.0,24.0,0.0,0.0,21.0,2.0,0.0,1.0,1.0
m-bryant,M Bryant,,35.0,7.0,0.0,5.0,72.0,4.0,,,,,,,,1.0
m-gilkes,M Gilkes,,10.0,4.0,0.0,3.0,20.0,0.0,,,,,,,,1.0
mg-neser,MG Neser,,3.0,1.0,1.0,7.0,7.0,0.0,24.0,0.0,0.0,25.0,2.0,0.0,,1.0
mj-swepson,MJ Swepson,,,,,,,,24.0,0.0,0.0,34.0,0.0,1.0,1.0,1.0
mp-kuhnemann,MP Kuhnemann,,,,,,,,24.0,0.0,0.0,32.0,2.0,1.0,1.0,1.0
mt-renshaw,MT Renshaw,,33.0,4.0,1.0,4.0,48.0,2.0,,,,,,,,1.0
na-mcsweeney,NA McSweeney,,9.0,1.0,0.0,2.0,7.0,0.0,,,,,,,1.0,1.0
o-davies,O Davies,,12.0,1.0,0.0,1.0,10.0,0.0,,,,,,,1.0,1.0
se-rutherford,SE Rutherford,,9.0,0.0,0.0,5.0,11.0,1.0,,,,,,,,1.0
sh-johnson,SH Johnson,,,,,,,,24.0,0.0,1.0,39.0,3.0,1.0,,1.0
sw-billings,SW Billings,,9.0,1.0,0.0,4.0,10.0,0.0,,,,,,,1.0,1.0
td-andrews,TD Andrews,,6.0,1.0,0.0,9.0,13.0,1.0,18.0,0.0,0.0,23.0,1.0,1.0,,1.0
tp-alsop,TP Alsop,,6.0,0.0,0.0,6.0,9.0,1.0,,,,,,,3.0,1.0
wa-agar,WA Agar,,,,,,,,23.0,0.0,1.0,61.0,1.0,1.0,,1.0
xc-bartlett,XC Bartlett,,,,,,,,24.0,0.0,0.0,39.0,1.0,1.0,,1.0
