player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
ac-thomas,AC Thomas,,4.0,0.0,0.0,9.0,4.0,0.0,17.0,0.0,0.0,19.0,3.0,0.0,,1.0,1.0
anamul-haque,Anamul Haque,,36.0,6.0,0.0,3.0,58.0,2.0,,,,,,,1.0,,1.0
ariful-haque,Ariful Haque,,12.0,0.0,0.0,7.0,12.0,0.0,,,,,,,1.0,,1.0
di-stevens,DI Stevens,,13.0,0.0,0.0,6.0,8.0,0.0,,,,,,,,1.0,1.0
enamul-haque-jnr,Enamul Haque jnr,,3.0,0.0,0.0,11.0,2.0,0.0,12.0,0.0,0.0,18.0,0.0,0.0,,,1.0
gsnfg-jayasuriya,GSNFG Jayasuriya,,7.0,0.0,0.0,2.0,5.0,0.0,,,,,,,1.0,,1.0
jj-cobb,JJ Cobb,,6.0,0.0,0.0,7.0,3.0,0.0,,,,,,,,,1.0
jj-roy,JJ Roy,,28.0,6.0,0.0,1.0,40.0,0.0,,,,,,,,,1.0
ka-pollard,KA Pollard,,10.0,1.0,0.0,5.0,9.0,0.0,,,,,,,1.0,,1.0
lhd-dilhara,LHD Dilhara,,3.0,0.0,0.0,8.0,2.0,0.0,24.0,0.0,1.0,29.0,2.0,0.0,,,1.0
mahmudullah,Mahmudullah,,28.0,3.0,0.0,6.0,44.0,3.0,12.0,0.0,0.0,22.0,0.0,1.0,1.0,,1.0
mashrafe-mortaza,Mashrafe Mortaza,,3.0,2.0,0.0,8.0,8.0,0.0,18.0,0.0,0.0,25.0,1.0,1.0,,,1.0
mohammad-ashraful,Mohammad Ashraful,,16.0,2.0,0.0,1.0,24.0,1.0,,,,,,,,,1.0
mosharraf-hossain,Mosharraf Hossain,,2.0,0.0,1.0,10.0,1.0,0.0,24.0,0.0,0.0,26.0,3.0,0.0,,,1.0
nurul-hasan,Nurul Hasan,,10.0,3.0,0.0,3.0,14.0,0.0,,,,,,,,,1.0
rn-ten-doeschate,RN ten Doeschate,,3.0,0.0,0.0,5.0,2.0,0.0,,,,,,,1.0,,1.0
rs-bopara,RS Bopara,,4.0,0.0,0.0,4.0,2.0,0.0,24.0,0.0,0.0,28.0,1.0,2.0,1.0,,1.0
raqibul-hasan,Raqibul Hasan,,,,,,,,,,,,,,1.0,,1.0
rubel-hossain,Rubel Hossain,,2.0,0.0,1.0,9.0,1.0,0.0,24.0,0.0,0.0,44.0,4.0,0.0,,,1.0
saqlain-sajib,Saqlain Sajib,,,,,,,,24.0,0.0,0.0,34.0,1.0,0.0,1.0,,1.0
shakib-al-hasan,Shakib Al Hasan,,29.0,2.0,0.0,4.0,41.0,2.0,18.0,0.0,0.0,21.0,0.0,0.0,,1.0,1.0
tm-dilshan,TM Dilshan,,2.0,0.0,0.0,2.0,2.0,0.0,,,,,,,1.0,,1.0
taskin-ahmed,Taskin Ahmed,,1.0,0.0,0.0,10.0,0.0,0.0,24.0,0.0,0.0,28.0,2.0,3.0,,,1.0
