player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
abbas-afridi,Abbas Afridi,,9.0,1.0,1.0,8.0,11.0,0.0,24.0,0.0,0.0,43.0,0.0,1.0,,1.0
ahmed-shehzad,Ahmed Shehzad,,17.0,5.0,0.0,1.0,39.0,2.0,,,,,,,,1.0
al-amin-hossain,Al-Amin Hossain,,,,,,,,24.0,0.0,0.0,45.0,1.0,2.0,,1.0
bilal-khan,Bilal Khan,,,,,,,,24.0,0.0,0.0,36.0,2.0,3.0,,1.0
c-campher,C Campher,,9.0,3.0,1.0,6.0,29.0,2.0,18.0,0.0,0.0,20.0,4.0,1.0,3.0,1.0
dn-wellalage,DN Wellalage,,4.0,2.0,1.0,9.0,10.0,0.0,24.0,0.0,0.0,47.0,0.0,4.0,1.0,1.0
imran-uzzaman,Imran Uzzaman,,8.0,1.0,0.0,2.0,4.0,0.0,,,,,,,1.0,1.0
kamrul-islam-rabbi,Kamrul Islam Rabbi,,,,,,,,24.0,0.0,0.0,43.0,1.0,1.0,,1.0
mahmudullah,Mahmudullah,,4.0,0.0,0.0,5.0,3.0,0.0,,,,,,,,1.0
mehedi-hasan-miraz,Mehedi Hasan Miraz,,16.0,3.0,0.0,7.0,35.0,2.0,,,,,,,,1.0
mushfiqur-rahim,Mushfiqur Rahim,,22.0,2.0,0.0,4.0,23.0,1.0,,,,,,,,1.0
najibullah-zadran,Najibullah Zadran,,19.0,2.0,0.0,5.0,18.0,0.0,,,,,,,,1.0
nihaduzzaman,Nihaduzzaman,,,,,,,,18.0,0.0,0.0,23.0,0.0,1.0,,1.0
shahadat-hossain-dipu,Shahadat Hossain Dipu,,29.0,2.0,0.0,4.0,31.0,1.0,,,,,,,1.0,1.0
shohidul-islam,Shohidul Islam,,,,,,,,18.0,0.0,0.0,23.0,0.0,1.0,,1.0
shuvagata-hom,Shuvagata Hom,,,,,,,,18.0,0.0,0.0,36.0,0.0,0.0,,1.0
soumya-sarkar,Soumya Sarkar,,16.0,2.0,0.0,3.0,17.0,0.0,,,,,,,,1.0
taijul-islam,Taijul Islam,,,,,,,,24.0,0.0,0.0,26.0,2.0,0.0,1.0,1.0
tamim-iqbal,Tamim Iqbal,,30.0,2.0,0.0,2.0,33.0,1.0,,,,,,,,1.0
tanzid-hasan,Tanzid Hasan,,5.0,3.0,0.0,1.0,12.0,0.0,,,,,,,,1.0
wia-fernando,WIA Fernando,,50.0,5.0,1.0,3.0,91.0,7.0,,,,,,,1.0,1.0
y-cariah,Y Cariah,,2.0,1.0,0.0,6.0,4.0,0.0,24.0,0.0,0.0,33.0,1.0,1.0,,1.0
