player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
ad-russell,AD Russell,,13.0,4.0,0.0,5.0,21.0,0.0,,,,,,,,1.0
ads-fletcher,ADS Fletcher,,54.0,4.0,0.0,1.0,70.0,5.0,,,,,,,,1.0
ai-ross,AI Ross,,15.0,1.0,1.0,7.0,23.0,2.0,,,,,,,,1.0
cak-walton,CAK Walton,,15.0,1.0,0.0,1.0,15.0,1.0,,,,,,,3.0,1.0
ch-gayle,CH Gayle,,15.0,3.0,0.0,2.0,30.0,2.0,,,,,,,,1.0
da-miller,DA Miller,,,,,,,,,,,,,,2.0,1.0
de-johnson,DE Johnson,,,,,,,,24.0,0.0,0.0,42.0,1.0,1.0,,1.0
djg-sammy,DJG Sammy,,4.0,1.0,1.0,5.0,6.0,0.0,,,,,,,1.0,1.0
gd-elliott,GD Elliott,,,,,,,,12.0,0.0,0.0,27.0,0.0,0.0,1.0,1.0
gd-pope,GD Pope,,,,,,,,12.0,0.0,0.0,8.0,1.0,0.0,,1.0
ge-mathurin,GE Mathurin,,,,,,,,24.0,0.0,0.0,40.0,1.0,0.0,,1.0
imad-wasim,Imad Wasim,,,,,,,,24.0,0.0,0.0,30.0,0.0,0.0,,1.0
j-charles,J Charles,,35.0,9.0,0.0,2.0,64.0,2.0,,,,,,,,1.0
je-taylor,JE Taylor,,,,,,,,24.0,0.0,0.0,38.0,1.0,0.0,,1.0
kc-sangakkara,KC Sangakkara,,17.0,4.0,0.0,3.0,24.0,0.0,,,,,,,,1.0
kok-williams,KOK Williams,,,,,,,,24.0,0.0,1.0,38.0,0.0,1.0,,1.0
mek-hussey,MEK Hussey,,11.0,0.0,0.0,3.0,8.0,0.0,,,,,,,,1.0
r-powell,R Powell,,23.0,1.0,0.0,4.0,28.0,2.0,24.0,0.0,0.0,45.0,2.0,1.0,,1.0
s-shillingford,S Shillingford,,,,,,,,24.0,0.0,0.0,30.0,2.0,0.0,,1.0
sr-watson,SR Watson,,17.0,0.0,1.0,4.0,42.0,5.0,24.0,0.0,0.0,26.0,1.0,1.0,1.0,1.0
shakib-al-hasan,Shakib Al Hasan,,9.0,1.0,1.0,8.0,9.0,0.0,18.0,0.0,0.0,21.0,0.0,0.0,,1.0
tp-allen,TP Allen,,13.0,0.0,0.0,6.0,19.0,2.0,6.0,0.0,0.0,19.0,0.0,0.0,,1.0
