player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
asif-ali,Asif Ali,,10.0,0.0,0.0,4.0,14.0,1.0,,,,,,,,,1.0
br-dunk,BR Dunk,,5.0,0.0,0.0,4.0,2.0,0.0,,,,,,,1.0,,1.0
ca-lynn,CA Lynn,,4.0,0.0,0.0,1.0,8.0,1.0,,,,,,,,,1.0
cak-walton,CAK Walton,,2.0,0.0,0.0,7.0,1.0,0.0,,,,,,,1.0,1.0,1.0
cr-brathwaite,CR Brathwaite,,2.0,0.0,0.0,6.0,0.0,0.0,22.0,1.0,0.0,11.0,3.0,0.0,,,1.0
d-ramdin,D Ramdin,,15.0,1.0,0.0,2.0,13.0,0.0,,,,,,,,,1.0
e-lewis,E Lewis,,16.0,0.0,0.0,7.0,21.0,2.0,,,,,,,1.0,,1.0
fh-edwards,FH Edwards,,,,,,,,24.0,0.0,0.0,39.0,2.0,1.0,1.0,,1.0
gd-phillips,GD Phillips,,61.0,2.0,1.0,1.0,79.0,6.0,,,,,,,,,1.0
i-khan-2,I Khan (2),,12.0,1.0,0.0,10.0,10.0,0.0,24.0,1.0,0.0,7.0,1.0,0.0,,,1.0
is-sodhi,IS Sodhi,,3.0,0.0,0.0,9.0,6.0,1.0,24.0,0.0,0.0,27.0,1.0,0.0,,,1.0
j-blackwood,J Blackwood,,26.0,2.0,0.0,3.0,27.0,1.0,,,,,,,,,1.0
jl-jaggesar,JL Jaggesar,,7.0,0.0,1.0,11.0,5.0,0.0,24.0,0.0,0.0,32.0,0.0,2.0,1.0,,1.0
koa-powell,KOA Powell,,27.0,1.0,0.0,3.0,21.0,0.0,,,,,,,,,1.0
mujeeb-ur-rahman,Mujeeb Ur Rahman,,,,,,,,24.0,0.0,0.0,12.0,1.0,0.0,,,1.0
ne-bonner,NE Bonner,,18.0,1.0,0.0,2.0,16.0,1.0,,,,,,,,,1.0
nf-kelly,NF Kelly,,20.0,2.0,0.0,5.0,16.0,0.0,,,,,,,,,1.0
r-powell,R Powell,,2.0,0.0,0.0,5.0,1.0,0.0,,,,,,,1.0,,1.0
rr-emrit,RR Emrit,,5.0,1.0,0.0,6.0,5.0,0.0,24.0,0.0,0.0,32.0,3.0,0.0,,,1.0
s-lamichhane,S Lamichhane,,,,,,,,24.0,0.0,0.0,27.0,2.0,0.0,,,1.0
ss-cottrell,SS Cottrell,,4.0,0.0,0.0,8.0,1.0,0.0,24.0,0.0,1.0,43.0,1.0,0.0,1.0,,1.0
v-permaul,V Permaul,,,,,,,,24.0,0.0,0.0,20.0,2.0,0.0,1.0,,1.0
