player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
ad-hales,AD Hales,,20.0,5.0,0.0,1.0,38.0,2.0,,,,,,,3.0,1.0
ad-russell,AD Russell,,10.0,1.0,0.0,3.0,16.0,1.0,10.0,0.0,0.0,27.0,0.0,1.0,,1.0
dj-malan,DJ Malan,,44.0,3.0,1.0,2.0,98.0,9.0,,,,,,,,1.0
dr-sams,DR Sams,,,,,,,,20.0,0.0,0.0,36.0,0.0,0.0,,1.0
fj-klaassen,FJ Klaassen,,,,,,,,14.0,0.0,0.0,33.0,0.0,1.0,,1.0
ia-cockbain,IA Cockbain,,14.0,3.0,1.0,4.0,20.0,0.0,,,,,,,,1.0
jc-buttler,JC Buttler,,25.0,3.0,0.0,1.0,41.0,2.0,,,,,,,1.0,1.0
l-gregory,L Gregory,,,,,,,,10.0,0.0,1.0,21.0,0.0,1.0,,1.0
l-wood,L Wood,,,,,,,,20.0,0.0,1.0,42.0,0.0,2.0,,1.0
lj-evans,LJ Evans,,11.0,1.0,1.0,5.0,26.0,2.0,,,,,,,,1.0
lj-fletcher,LJ Fletcher,,,,,,,,10.0,0.0,0.0,23.0,0.0,0.0,,1.0
mw-parkinson,MW Parkinson,,,,,,,,15.0,0.0,0.0,36.0,1.0,1.0,,1.0
pd-salt,PD Salt,,46.0,6.0,1.0,2.0,70.0,2.0,,,,,,,,1.0
pi-walter,PI Walter,,,,,,,,15.0,0.0,0.0,23.0,0.0,0.0,,1.0
sa-abbott,SA Abbott,,,,,,,,15.0,0.0,1.0,39.0,0.0,1.0,,1.0
sr-patel,SR Patel,,,,,,,,20.0,0.0,0.0,20.0,2.0,0.0,,1.0
t-kohler-cadmore,T Kohler-Cadmore,,17.0,2.0,0.0,3.0,30.0,2.0,,,,,,,,1.0
t-shamsi,T Shamsi,,,,,,,,20.0,0.0,0.0,45.0,1.0,0.0,,1.0
t-stubbs,T Stubbs,,10.0,0.0,0.0,4.0,27.0,4.0,5.0,0.0,0.0,10.0,0.0,0.0,,1.0
tw-hartley,TW Hartley,,,,,,,,20.0,0.0,0.0,24.0,1.0,0.0,,1.0
