player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
am-rossington,AM Rossington,,20.0,4.0,0.0,1.0,32.0,1.0,,,,,,,1.0,,1.0
bm-duckett,BM Duckett,,19.0,3.0,0.0,4.0,34.0,2.0,,,,,,,1.0,1.0,1.0
br-mcdermott,BR McDermott,,23.0,1.0,0.0,3.0,32.0,2.0,,,,,,,,,1.0
cp-wood,CP Wood,,,,,,,,20.0,0.0,0.0,28.0,4.0,1.0,,,1.0
d-pretorius,D Pretorius,,17.0,0.0,0.0,6.0,23.0,2.0,20.0,0.0,0.0,39.0,1.0,2.0,1.0,,1.0
da-miller,DA Miller,,8.0,0.0,0.0,5.0,5.0,0.0,,,,,,,,,1.0
da-payne,DA Payne,,1.0,0.0,1.0,10.0,1.0,0.0,20.0,0.0,0.0,30.0,0.0,0.0,,,1.0
dj-bell-drummond,DJ Bell-Drummond,,8.0,1.0,0.0,2.0,12.0,0.0,,,,,,,1.0,,1.0
dw-lawrence,DW Lawrence,,26.0,1.0,0.0,5.0,43.0,3.0,20.0,0.0,0.0,20.0,4.0,0.0,,,1.0
ejg-morgan,EJG Morgan,,3.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,1.0
is-sodhi,IS Sodhi,,2.0,0.0,0.0,9.0,1.0,0.0,20.0,0.0,0.0,19.0,2.0,1.0,,,1.0
ja-thompson,JA Thompson,,3.0,1.0,0.0,7.0,6.0,0.0,20.0,0.0,0.0,38.0,1.0,0.0,,,1.0
jg-bethell,JG Bethell,,10.0,1.0,0.0,2.0,10.0,0.0,,,,,,,,,1.0
jj-cobb,JJ Cobb,,5.0,0.0,0.0,3.0,3.0,0.0,10.0,0.0,0.0,14.0,1.0,0.0,,,1.0
jl-du-plooy,JL du Plooy,,18.0,2.0,0.0,7.0,30.0,2.0,,,,,,,,,1.0
jm-clarke,JM Clarke,,13.0,1.0,0.0,1.0,9.0,0.0,,,,,,,,,1.0
jt-ball,JT Ball,,,,,,,,20.0,0.0,0.0,42.0,1.0,0.0,2.0,1.0,1.0
ka-pollard,KA Pollard,,17.0,2.0,1.0,6.0,25.0,1.0,,,,,,,1.0,,1.0
la-dawson,LA Dawson,,,,,,,,5.0,0.0,0.0,1.0,0.0,0.0,,,1.0
mjj-critchley,MJJ Critchley,,7.0,1.0,0.0,8.0,21.0,2.0,10.0,0.0,0.0,9.0,0.0,0.0,,,1.0
ms-crane,MS Crane,,,,,,,,15.0,0.0,0.0,29.0,0.0,0.0,,,1.0
nt-ellis,NT Ellis,,,,,,,,20.0,0.0,0.0,22.0,0.0,0.0,2.0,,1.0
