player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
aap-atkinson,AAP Atkinson,,,,,,,,24.0,0.0,0.0,34.0,1.0,2.0,,,1.0
ad-hales,AD Hales,,44.0,6.0,1.0,2.0,62.0,2.0,,,,,,,1.0,,1.0
ads-fletcher,ADS Fletcher,,18.0,2.0,0.0,4.0,21.0,0.0,,,,,,,,,1.0
btj-wheal,BTJ Wheal,,,,,,,,21.0,0.0,0.0,42.0,0.0,2.0,,,1.0
c-munro,C Munro,,22.0,4.0,0.0,3.0,41.0,3.0,,,,,,,,,1.0
dj-bravo,DJ Bravo,,,,,,,,18.0,0.0,0.0,24.0,0.0,3.0,,,1.0
fazalhaq-farooqi,Fazalhaq Farooqi,,,,,,,,24.0,0.0,0.0,45.0,0.0,2.0,,,1.0
ka-pollard,KA Pollard,,39.0,1.0,1.0,5.0,67.0,6.0,,,,,,,1.0,,1.0
m-pathirana,M Pathirana,,,,,,,,24.0,0.0,0.0,35.0,0.0,4.0,,,1.0
n-pooran,N Pooran,,49.0,4.0,0.0,3.0,57.0,2.0,,,,,,,1.0,,1.0
najibullah-zadran,Najibullah Zadran,,1.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,,1.0
pwh-de-silva,PWH de Silva,,,,,,,,12.0,0.0,0.0,21.0,0.0,0.0,,1.0,1.0
rohan-mustafa,Rohan Mustafa,,2.0,0.0,0.0,1.0,1.0,0.0,12.0,0.0,0.0,15.0,0.0,1.0,,,1.0
se-rutherford,SE Rutherford,,29.0,4.0,1.0,5.0,56.0,3.0,,,,,,,,,1.0
sr-patel,SR Patel,,,,,,,,12.0,0.0,0.0,23.0,2.0,0.0,,,1.0
ss-cottrell,SS Cottrell,,,,,,,,24.0,0.0,0.0,20.0,1.0,1.0,,,1.0
sw-billings,SW Billings,,2.0,0.0,0.0,4.0,1.0,0.0,,,,,,,1.0,,1.0
ta-boult,TA Boult,,,,,,,,24.0,0.0,0.0,34.0,1.0,0.0,,,1.0
tk-curran,TK Curran,,,,,,,,24.0,0.0,0.0,38.0,2.0,1.0,,,1.0
v-aravind,V Aravind,,7.0,0.0,0.0,2.0,3.0,0.0,,,,,,,,,1.0
waseem-muhammad,Waseem Muhammad,,6.0,1.0,0.0,1.0,5.0,0.0,,,,,,,1.0,,1.0
