player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
ads-fletcher,ADS Fletcher,,18.0,3.0,0.0,3.0,30.0,2.0,,,,,,,,1.0
aj-hosein,AJ Hosein,,15.0,0.0,0.0,9.0,7.0,0.0,24.0,0.0,0.0,39.0,0.0,0.0,,1.0
at-rayudu,AT Rayudu,,2.0,0.0,0.0,5.0,1.0,0.0,,,,,,,,1.0
akif-raja,Akif Raja,,,,,,,,18.0,0.0,0.0,20.0,1.0,0.0,,1.0
cj-anderson,CJ Anderson,,2.0,0.0,0.0,7.0,1.0,0.0,,,,,,,1.0,1.0
da-warner,DA Warner,,7.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,1.0
dj-bravo,DJ Bravo,,4.0,0.0,0.0,8.0,2.0,0.0,12.0,0.0,0.0,23.0,0.0,0.0,,1.0
fazalhaq-farooqi,Fazalhaq Farooqi,,,,,,,,24.0,0.0,0.0,39.0,1.0,2.0,,1.0
j-fraser-mcgurk,J Fraser-McGurk,,25.0,4.0,0.0,3.0,54.0,4.0,,,,,,,,1.0
jo-holder,JO Holder,,,,,,,,24.0,0.0,1.0,36.0,3.0,1.0,2.0,1.0
n-pooran,N Pooran,,23.0,1.0,0.0,4.0,21.0,1.0,,,,,,,,1.0
pa-van-meekeren,PA van Meekeren,,,,,,,,12.0,0.0,1.0,26.0,0.0,1.0,,1.0
pvd-chameera,PVD Chameera,,,,,,,,24.0,0.0,0.0,26.0,1.0,1.0,,1.0
r-powell,R Powell,,9.0,0.0,1.0,5.0,7.0,0.0,,,,,,,1.0,1.0
re-van-der-merwe,RE van der Merwe,,,,,,,,18.0,0.0,0.0,28.0,1.0,0.0,,1.0
rahmanullah-gurbaz,Rahmanullah Gurbaz,,39.0,8.0,0.0,2.0,81.0,4.0,,,,,,,,1.0
sw-billings,SW Billings,,17.0,0.0,1.0,4.0,13.0,0.0,,,,,,,3.0,1.0
sikandar-raza,Sikandar Raza,,,,,,,,24.0,0.0,0.0,21.0,3.0,0.0,,1.0
ta-boult,TA Boult,,3.0,0.0,1.0,10.0,6.0,1.0,24.0,0.0,0.0,23.0,2.0,0.0,,1.0
th-david,TH David,,22.0,0.0,0.0,6.0,27.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0
wcf-smeed,WCF Smeed,,6.0,1.0,0.0,2.0,5.0,0.0,,,,,,,,1.0
waseem-muhammad,Waseem Muhammad,,26.0,2.0,0.0,1.0,51.0,4.0,,,,,,,1.0,1.0
zahoor-khan,Zahoor Khan,,1.0,0.0,1.0,11.0,1.0,0.0,12.0,0.0,1.0,35.0,0.0,0.0,1.0,1.0
