player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
a-symonds,A Symonds,,6.0,0.0,1.0,6.0,4.0,0.0,6.0,0.0,0.0,11.0,1.0,0.0,1.0,1.0
ac-gilchrist,AC Gilchrist,,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,1.0
am-nayar,AM Nayar,,9.0,2.0,0.0,6.0,14.0,0.0,,,,,,,1.0,1.0
an-ahmed,AN Ahmed,,,,,,,,18.0,0.0,0.0,22.0,0.0,0.0,,1.0
at-rayudu,AT Rayudu,,37.0,8.0,0.0,3.0,51.0,1.0,,,,,,,,1.0
ba-bhatt,BA Bhatt,,,,,,,,24.0,0.0,0.0,26.0,0.0,0.0,,1.0
bipul-sharma,Bipul Sharma,,2.0,0.0,0.0,7.0,1.0,0.0,24.0,0.0,0.0,22.0,1.0,1.0,,1.0
dj-hussey,DJ Hussey,,5.0,0.0,0.0,4.0,1.0,0.0,,,,,,,1.0,1.0
dj-jacobs,DJ Jacobs,,10.0,2.0,0.0,1.0,10.0,0.0,,,,,,,,1.0
harbhajan-singh,Harbhajan Singh,,,,,,,,24.0,0.0,0.0,25.0,2.0,0.0,,1.0
ka-pollard,KA Pollard,,11.0,1.0,0.0,4.0,20.0,2.0,18.0,0.0,0.0,18.0,1.0,1.0,2.0,1.0
kd-karthik,KD Karthik,,2.0,0.0,0.0,5.0,1.0,0.0,,,,,,,1.0,1.0
mm-patel,MM Patel,,,,,,,,24.0,0.0,0.0,18.0,2.0,0.0,,1.0
p-kumar,P Kumar,,3.0,0.0,1.0,10.0,2.0,0.0,18.0,0.0,0.0,28.0,0.0,0.0,,1.0
pc-valthaty,PC Valthaty,,38.0,1.0,0.0,1.0,33.0,2.0,6.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0
pp-chawla,PP Chawla,,10.0,1.0,1.0,8.0,10.0,0.0,24.0,0.0,0.0,37.0,2.0,0.0,,1.0
rj-harris,R.J. Harris,WR,2.0,0.0,0.0,9.0,1.0,0.0,24.0,0.0,0.0,33.0,2.0,0.0,,1.0
rg-sharma,RG Sharma,,11.0,3.0,0.0,5.0,18.0,0.0,,,,,,,1.0,1.0
se-marsh,SE Marsh,,47.0,8.0,0.0,3.0,61.0,0.0,,,,,,,,1.0
sl-malinga,SL Malinga,,,,,,,,24.0,0.0,0.0,19.0,2.0,0.0,,1.0
sr-tendulkar,SR Tendulkar,,45.0,3.0,0.0,2.0,51.0,1.0,,,,,,,1.0,1.0
tl-suman,TL Suman,,,,,,,,6.0,0.0,0.0,12.0,0.0,0.0,,1.0
