player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
ar-patel,AR Patel,,6.0,2.0,0.0,5.0,9.0,0.0,12.0,0.0,0.0,19.0,0.0,0.0,,,1.0
abishek-porel,Abishek Porel,,25.0,3.0,0.0,3.0,33.0,1.0,,,,,,,1.0,,1.0
ashutosh-sharma,Ashutosh Sharma,,14.0,2.0,0.0,7.0,17.0,0.0,,,,,,,,,1.0
dl-chahar,DL Chahar,,,,,,,,18.0,0.0,0.0,24.0,1.0,0.0,,,1.0
hh-pandya,HH Pandya,,4.0,0.0,0.0,5.0,2.0,0.0,12.0,0.0,0.0,21.0,0.0,0.0,,,1.0
j-fraser-mcgurk,J Fraser-McGurk,,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,1.0
jj-bumrah,JJ Bumrah,,,,,,,,24.0,0.0,0.0,44.0,1.0,0.0,,,1.0
kk-nair,KK Nair,,40.0,12.0,0.0,2.0,89.0,5.0,,,,,,,,,1.0
kl-rahul,KL Rahul,,13.0,1.0,0.0,4.0,15.0,0.0,,,,,,,,,1.0
kv-sharma,KV Sharma,,,,,,,,24.0,0.0,0.0,36.0,3.0,1.0,,,1.0
kuldeep-yadav,Kuldeep Yadav,,1.0,0.0,0.0,10.0,1.0,0.0,24.0,0.0,0.0,23.0,2.0,0.0,,,1.0
ma-starc,MA Starc,,1.0,0.0,1.0,9.0,1.0,0.0,18.0,0.0,0.0,43.0,0.0,1.0,1.0,,1.0
mj-santner,MJ Santner,,,,,,,,24.0,0.0,0.0,43.0,2.0,3.0,,1.0,1.0
mm-sharma,MM Sharma,,1.0,0.0,0.0,11.0,0.0,0.0,18.0,0.0,0.0,40.0,0.0,1.0,,,1.0
mukesh-kumar,Mukesh Kumar,,,,,,,,24.0,0.0,0.0,38.0,1.0,1.0,,,1.0
naman-dhir,Naman Dhir,,17.0,4.0,1.0,6.0,38.0,2.0,,,,,,,2.0,,1.0
ra-bawa,RA Bawa,,,,,,,,,,,,,,,1.0,1.0
rd-rickelton,RD Rickelton,,25.0,5.0,0.0,2.0,41.0,2.0,,,,,,,,3.0,1.0
rg-sharma,RG Sharma,,12.0,2.0,0.0,1.0,18.0,1.0,,,,,,,,,1.0
sa-yadav,SA Yadav,,28.0,5.0,0.0,3.0,40.0,2.0,,,,,,,1.0,,1.0
t-stubbs,T Stubbs,,4.0,0.0,0.0,6.0,1.0,0.0,,,,,,,1.0,,1.0
ta-boult,TA Boult,,,,,,,,12.0,0.0,0.0,21.0,0.0,1.0,,,1.0
tilak-varma,Tilak Varma,,33.0,6.0,0.0,4.0,59.0,3.0,,,,,,,,,1.0
v-nigam,V Nigam,,8.0,1.0,0.0,8.0,14.0,1.0,24.0,0.0,0.0,41.0,2.0,1.0,,,1.0
wg-jacks,WG Jacks,,1.0,0.0,1.0,7.0,1.0,0.0,,,,,,,1.0,1.0,1.0
