player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
ad-mathews,AD Mathews,,,,,,,,12.0,0.0,0.0,8.0,2.0,2.0,,1.0
da-miller,DA Miller,,22.0,3.0,0.0,4.0,21.0,0.0,,,,,,,1.0,1.0
dn-wellalage,DN Wellalage,,27.0,6.0,1.0,7.0,38.0,1.0,6.0,0.0,0.0,17.0,0.0,0.0,,1.0
fakhar-zaman,Fakhar Zaman,,39.0,2.0,0.0,1.0,42.0,2.0,,,,,,,,1.0
i-udana,I Udana,,,,,,,,12.0,0.0,0.0,17.0,1.0,1.0,,1.0
kic-asalanka,KIC Asalanka,,6.0,1.0,0.0,3.0,5.0,0.0,,,,,,,,1.0
ld-chandimal,LD Chandimal,,16.0,3.0,0.0,2.0,22.0,0.0,,,,,,,1.0,1.0
m-theekshana,M Theekshana,,4.0,0.0,0.0,9.0,0.0,0.0,24.0,0.0,0.0,35.0,1.0,0.0,,1.0
mujeeb-ur-rahman,Mujeeb Ur Rahman,,,,,,,,24.0,0.0,0.0,23.0,0.0,0.0,,1.0
n-burger,N Burger,,7.0,1.0,1.0,11.0,6.0,0.0,12.0,0.0,0.0,17.0,1.0,0.0,,1.0
n-pradeep,N Pradeep,,,,,,,,24.0,0.0,0.0,36.0,3.0,0.0,,1.0
n-thushara,N Thushara,,1.0,0.0,0.0,10.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,,1.0
nltc-perera,NLTC Perera,,3.0,0.0,0.0,6.0,2.0,0.0,18.0,0.0,0.0,23.0,0.0,0.0,,1.0
parp-perera,PARP Perera,,22.0,1.0,0.0,5.0,22.0,1.0,,,,,,,,1.0
pvd-chameera,PVD Chameera,,,,,,,,24.0,0.0,0.0,23.0,0.0,0.0,2.0,1.0
pwh-de-silva,PWH de Silva,,22.0,5.0,1.0,3.0,52.0,3.0,24.0,0.0,0.0,9.0,3.0,0.0,2.0,1.0
rahmanullah-gurbaz,Rahmanullah Gurbaz,,5.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,1.0
ssd-arachchige,SSD Arachchige,,1.0,0.0,1.0,4.0,1.0,0.0,,,,,,,1.0,1.0
towhid-hridoy,Towhid Hridoy,,22.0,3.0,0.0,2.0,19.0,0.0,,,,,,,,1.0
v-viyaskanth,V Viyaskanth,,1.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,13.0,0.0,0.0,,1.0
