player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
ad-hales,AD Hales,,19.0,4.0,0.0,2.0,38.0,3.0,,,,,,,,,1.0
ad-mathews,AD Mathews,,27.0,2.0,0.0,6.0,25.0,0.0,,,,,,,,,1.0
ads-fletcher,ADS Fletcher,,36.0,4.0,0.0,2.0,50.0,2.0,,,,,,,1.0,,1.0
d-pretorius,D Pretorius,,,,,,,,24.0,0.0,0.0,40.0,1.0,0.0,,,1.0
i-udana,I Udana,,,,,,,,24.0,0.0,0.0,30.0,3.0,0.0,,,1.0
j-liyanage,J Liyanage,,7.0,2.0,0.0,5.0,11.0,0.0,12.0,0.0,0.0,17.0,0.0,2.0,,,1.0
k-nadeeshan,K Nadeeshan,,,,,,,,12.0,0.0,0.0,24.0,0.0,0.0,1.0,,1.0
ld-chandimal,LD Chandimal,,3.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,1.0,1.0
m-theekshana,M Theekshana,,,,,,,,24.0,0.0,0.0,32.0,1.0,1.0,,,1.0
md-shanaka,MD Shanaka,,4.0,0.0,0.0,8.0,9.0,1.0,7.0,0.0,0.0,19.0,0.0,3.0,,,1.0
mohammad-haris,Mohammad Haris,,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,1.0
n-dickwella,N Dickwella,,6.0,3.0,0.0,1.0,12.0,0.0,,,,,,,,,1.0
p-rathnayake,P Rathnayake,,2.0,0.0,0.0,5.0,0.0,0.0,,,,,,,1.0,,1.0
padlr-sandakan,PADLR Sandakan,,,,,,,,24.0,0.0,0.0,46.0,1.0,2.0,,,1.0
pbb-rajapaksa,PBB Rajapaksa,,13.0,0.0,0.0,4.0,16.0,2.0,,,,,,,2.0,,1.0
phkd-mendis,PHKD Mendis,,10.0,0.0,0.0,4.0,10.0,1.0,,,,,,,,,1.0
pvd-chameera,PVD Chameera,,3.0,1.0,1.0,9.0,5.0,0.0,24.0,0.0,0.0,42.0,0.0,0.0,,,1.0
pwh-de-silva,PWH de Silva,,32.0,7.0,1.0,7.0,65.0,3.0,24.0,0.0,0.0,36.0,1.0,1.0,,,1.0
ssd-arachchige,SSD Arachchige,,9.0,1.0,1.0,6.0,9.0,0.0,,,,,,,,,1.0
shoriful-islam,Shoriful Islam,,,,,,,,24.0,0.0,0.0,32.0,2.0,1.0,,,1.0
tl-seifert,TL Seifert,,49.0,11.0,1.0,3.0,82.0,2.0,,,,,,,,,1.0
zahoor-khan,Zahoor Khan,,,,,,,,24.0,0.0,0.0,29.0,2.0,4.0,,,1.0
