player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
aj-tye,AJ Tye,,,,,,,,24.0,0.0,0.0,32.0,3.0,2.0,1.0,1.0,1.0
c-chetty,C Chetty,,21.0,3.0,0.0,3.0,24.0,0.0,,,,,,,,,1.0
cj-gannon,CJ Gannon,,,,,,,,12.0,0.0,0.0,19.0,1.0,2.0,,,1.0
cp-savage,CP Savage,,11.0,1.0,0.0,8.0,14.0,1.0,18.0,0.0,0.0,27.0,0.0,2.0,,,1.0
d-pretorius,D Pretorius,,,,,,,,18.0,0.0,0.0,19.0,0.0,1.0,,,1.0
da-miller,DA Miller,,17.0,2.0,0.0,5.0,16.0,0.0,,,,,,,,,1.0
dp-conway,DP Conway,,19.0,1.0,0.0,1.0,24.0,2.0,,,,,,,,,1.0
dr-sams,DR Sams,,25.0,1.0,1.0,7.0,26.0,1.0,12.0,0.0,0.0,16.0,0.0,0.0,,,1.0
f-du-plessis,F du Plessis,,8.0,0.0,0.0,2.0,5.0,0.0,,,,,,,,,1.0
g-coetzee,G Coetzee,,1.0,0.0,0.0,10.0,1.0,0.0,12.0,0.0,0.0,19.0,0.0,2.0,,,1.0
gsnfg-jayasuriya,GSNFG Jayasuriya,,34.0,4.0,1.0,3.0,31.0,0.0,,,,,,,,,1.0
h-klaasen,H Klaasen,,,,,,,,,,,,,,1.0,1.0,1.0
harmeet-singh-2,Harmeet Singh (2),,,,,,,,24.0,0.0,0.0,16.0,1.0,0.0,1.0,,1.0
imad-wasim,Imad Wasim,,,,,,,,24.0,0.0,0.0,23.0,2.0,0.0,1.0,,1.0
j-theron,J Theron,,,,,,,,18.0,0.0,0.0,20.0,1.0,0.0,,,1.0
mj-santner,MJ Santner,,5.0,0.0,0.0,6.0,2.0,0.0,6.0,0.0,0.0,9.0,0.0,1.0,,,1.0
milind-kumar,Milind Kumar,,10.0,0.0,0.0,4.0,5.0,0.0,6.0,0.0,0.0,12.0,0.0,0.0,,,1.0
mohammad-mohsin,Mohammad Mohsin,,3.0,0.0,0.0,9.0,3.0,0.0,18.0,0.0,0.0,23.0,0.0,0.0,1.0,,1.0
nauman-anwar,Nauman Anwar,,6.0,0.0,0.0,2.0,2.0,0.0,,,,,,,,,1.0
q-de-kock,Q de Kock,,50.0,10.0,1.0,1.0,88.0,4.0,,,,,,,1.0,2.0,1.0
wd-parnell,WD Parnell,,,,,,,,18.0,0.0,0.0,16.0,0.0,0.0,1.0,,1.0
