player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
am-fernando,AM Fernando,,,,,,,,30.0,0.0,0.0,29.0,1.0,0.0,,,1.0
ar-patel,AR Patel,,7.0,0.0,0.0,6.0,2.0,0.0,60.0,1.0,0.0,41.0,1.0,0.0,,,1.0
bkg-mendis,BKG Mendis,,82.0,4.0,0.0,3.0,59.0,0.0,,,,,,,1.0,1.0,1.0
dn-wellalage,DN Wellalage,,3.0,0.0,0.0,7.0,2.0,0.0,31.0,1.0,0.0,27.0,5.0,0.0,,,1.0
j-liyanage,J Liyanage,,12.0,1.0,0.0,6.0,8.0,0.0,,,,,,,,,1.0
jdf-vandersay,JDF Vandersay,,,,,,,,30.0,0.0,0.0,34.0,2.0,0.0,1.0,,1.0
kic-asalanka,KIC Asalanka,,12.0,0.0,0.0,4.0,10.0,1.0,18.0,1.0,0.0,2.0,0.0,0.0,,,1.0
kuldeep-yadav,Kuldeep Yadav,,30.0,0.0,0.0,10.0,6.0,0.0,60.0,0.0,0.0,36.0,1.0,0.0,,,1.0
m-theekshana,M Theekshana,,4.0,0.0,1.0,9.0,3.0,0.0,48.0,0.0,0.0,45.0,2.0,0.0,,,1.0
mohammed-siraj,Mohammed Siraj,,,,,,,,54.0,0.0,0.0,78.0,1.0,0.0,,,1.0
p-nissanka,P Nissanka,,65.0,5.0,0.0,1.0,45.0,2.0,,,,,,,,,1.0
phkd-mendis,PHKD Mendis,,19.0,0.0,1.0,8.0,23.0,1.0,,,,,,,,,1.0
r-parag,R Parag,,13.0,2.0,0.0,7.0,15.0,0.0,54.0,0.0,0.0,54.0,3.0,1.0,,,1.0
rg-sharma,RG Sharma,,20.0,6.0,0.0,1.0,35.0,1.0,,,,,,,,,1.0
rr-pant,RR Pant,,9.0,1.0,0.0,4.0,6.0,0.0,,,,,,,1.0,,1.0
s-dube,S Dube,,14.0,1.0,0.0,8.0,9.0,0.0,24.0,0.0,0.0,9.0,0.0,0.0,,,1.0
s-samarawickrama,S Samarawickrama,,1.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,1.0
ss-iyer,SS Iyer,,7.0,2.0,0.0,5.0,8.0,0.0,,,,,,,,,1.0
shubman-gill,Shubman Gill,,14.0,0.0,0.0,2.0,6.0,0.0,,,,,,,1.0,,1.0
v-kohli,V Kohli,,18.0,4.0,0.0,3.0,20.0,0.0,,,,,,,,,1.0
wia-fernando,WIA Fernando,,102.0,9.0,0.0,2.0,96.0,2.0,,,,,,,,,1.0
washington-sundar,Washington Sundar,,25.0,2.0,0.0,9.0,30.0,3.0,48.0,1.0,0.0,29.0,1.0,0.0,,,1.0
