player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
am-fernando,AM Fernando,,,,,,,,54.0,0.0,0.0,67.0,2.0,4.0,,1.0
b-evans,B Evans,,5.0,1.0,0.0,8.0,8.0,0.0,60.0,0.0,1.0,54.0,2.0,1.0,,1.0
b-muzarabani,B Muzarabani,,,,,,,,51.0,0.0,0.0,54.0,0.0,0.0,,1.0
bj-bennett,BJ Bennett,,29.0,2.0,0.0,1.0,21.0,0.0,,,,,,,1.0,1.0
bj-curran,BJ Curran,,95.0,9.0,0.0,2.0,79.0,0.0,,,,,,,1.0,1.0
bkg-mendis,BKG Mendis,,10.0,0.0,0.0,3.0,5.0,0.0,,,,,,,,1.0
brm-taylor,BRM Taylor,,37.0,0.0,0.0,3.0,20.0,0.0,,,,,,,,1.0
c-madande,C Madande,,36.0,4.0,0.0,7.0,36.0,0.0,,,,,,,,1.0
d-madushanka,D Madushanka,,,,,,,,60.0,0.0,0.0,57.0,1.0,5.0,,1.0
e-masuku,E Masuku,,,,,,,,30.0,0.0,0.0,32.0,1.0,0.0,,1.0
j-liyanage,J Liyanage,,16.0,2.0,1.0,6.0,19.0,0.0,42.0,0.0,0.0,36.0,1.0,2.0,,1.0
kic-asalanka,KIC Asalanka,,61.0,7.0,0.0,5.0,71.0,0.0,24.0,0.0,0.0,17.0,0.0,0.0,,1.0
m-theekshana,M Theekshana,,,,,,,,60.0,1.0,0.0,45.0,0.0,2.0,,1.0
mnk-fernando,MNK Fernando,,27.0,2.0,0.0,2.0,14.0,0.0,,,,,,,,1.0
p-nissanka,P Nissanka,,136.0,16.0,0.0,1.0,122.0,0.0,,,,,,,,1.0
p-rathnayake,P Rathnayake,,,,,,,,,,,,,,2.0,1.0
phkd-mendis,PHKD Mendis,,2.0,1.0,1.0,7.0,5.0,0.0,,,,,,,,1.0
pvd-chameera,PVD Chameera,,,,,,,,60.0,0.0,0.0,52.0,3.0,2.0,1.0,1.0
r-ngarava,R Ngarava,,2.0,0.0,1.0,9.0,2.0,0.0,54.0,0.0,0.0,53.0,2.0,2.0,,1.0
s-samarawickrama,S Samarawickrama,,46.0,2.0,0.0,4.0,31.0,0.0,,,,,,,,1.0
sc-williams,SC Williams,,28.0,1.0,0.0,4.0,20.0,1.0,48.0,0.0,0.0,35.0,0.0,0.0,,1.0
sikandar-raza,Sikandar Raza,,55.0,5.0,1.0,5.0,59.0,1.0,54.0,0.0,0.0,46.0,0.0,1.0,1.0,1.0
t-munyonga,T Munyonga,,13.0,1.0,0.0,6.0,10.0,0.0,,,,,,,,1.0
w-madhevere,W Madhevere,,,,,,,,,,,,,,1.0,1.0
