player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
abbas-afridi,Abbas Afridi,,,,,,,,24.0,0.0,0.0,39.0,4.0,2.0,1.0,1.0
anwar-ali,Anwar Ali,,8.0,2.0,1.0,7.0,24.0,2.0,24.0,0.0,0.0,66.0,1.0,1.0,1.0,1.0
arshad-iqbal,Arshad Iqbal,,,,,,,,19.0,0.0,0.0,50.0,1.0,1.0,,1.0
azmatullah-omarzai,Azmatullah Omarzai,,6.0,1.0,1.0,7.0,16.0,1.0,24.0,0.0,0.0,62.0,2.0,0.0,1.0,1.0
babar-azam,Babar Azam,,39.0,9.0,0.0,2.0,73.0,2.0,,,,,,,,1.0
haseebullah-khan,Haseebullah Khan,,7.0,0.0,0.0,6.0,7.0,1.0,,,,,,,,1.0
ihsanullah-2,Ihsanullah (2),,,,,,,,24.0,0.0,0.0,35.0,0.0,0.0,,1.0
ka-pollard,KA Pollard,,25.0,3.0,0.0,4.0,52.0,5.0,12.0,0.0,0.0,26.0,0.0,1.0,2.0,1.0
khushdil-shah,Khushdil Shah,,14.0,2.0,0.0,6.0,18.0,0.0,,,,,,,,1.0
mohammad-haris,Mohammad Haris,,11.0,1.0,0.0,3.0,35.0,4.0,,,,,,,2.0,1.0
mohammad-rizwan,Mohammad Rizwan,,6.0,0.0,0.0,2.0,7.0,1.0,,,,,,,1.0,1.0
mujeeb-ur-rahman,Mujeeb Ur Rahman,,,,,,,,24.0,0.0,0.0,46.0,1.0,0.0,,1.0
r-powell,R Powell,,4.0,0.0,0.0,4.0,2.0,0.0,,,,,,,,1.0
rr-rossouw,RR Rossouw,,51.0,12.0,0.0,3.0,121.0,8.0,,,,,,,,1.0
ss-cottrell,SS Cottrell,,,,,,,,18.0,0.0,0.0,37.0,0.0,1.0,,1.0
saim-ayub,Saim Ayub,,33.0,5.0,0.0,1.0,58.0,4.0,12.0,0.0,0.0,22.0,1.0,0.0,,1.0
shan-masood,Shan Masood,,5.0,1.0,0.0,1.0,5.0,0.0,,,,,,,,1.0
t-kohler-cadmore,T Kohler-Cadmore,,18.0,4.0,0.0,5.0,38.0,2.0,,,,,,,1.0,1.0
th-david,TH David,,3.0,0.0,0.0,5.0,2.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,,1.0
usama-mir,Usama Mir,,3.0,1.0,1.0,8.0,11.0,1.0,12.0,0.0,0.0,27.0,1.0,0.0,1.0,1.0
usman-qadir,Usman Qadir,,,,,,,,12.0,0.0,0.0,32.0,0.0,1.0,,1.0
wahab-riaz,Wahab Riaz,,2.0,0.0,1.0,8.0,7.0,1.0,24.0,0.0,0.0,32.0,1.0,2.0,,1.0
