player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
ad-hales,AD Hales,,28.0,5.0,0.0,2.0,36.0,1.0,,,,,,,1.0,,1.0
abdullah-shafique,Abdullah Shafique,,22.0,0.0,0.0,4.0,28.0,3.0,,,,,,,,,1.0
agha-salman,Agha Salman,,31.0,7.0,1.0,4.0,64.0,3.0,,,,,,,,1.0,1.0
azam-khan,Azam Khan,,,,,,,,,,,,,,1.0,,1.0
c-munro,C Munro,,11.0,1.0,0.0,1.0,5.0,0.0,,,,,,,,,1.0
d-wiese,D Wiese,,8.0,1.0,0.0,5.0,14.0,1.0,12.0,0.0,0.0,24.0,0.0,0.0,,,1.0
faheem-ashraf,Faheem Ashraf,,,,,,,,18.0,0.0,0.0,40.0,0.0,0.0,1.0,,1.0
fakhar-zaman,Fakhar Zaman,,13.0,1.0,0.0,2.0,13.0,0.0,,,,,,,,,1.0
he-van-der-dussen,HE van der Dussen,,41.0,4.0,1.0,3.0,71.0,3.0,,,,,,,,,1.0
haris-rauf,Haris Rauf,,,,,,,,18.0,0.0,0.0,38.0,0.0,0.0,,,1.0
imad-wasim,Imad Wasim,,,,,,,,24.0,0.0,0.0,33.0,0.0,2.0,,,1.0
jahandad-khan,Jahandad Khan,,,,,,,,24.0,0.0,1.0,39.0,0.0,2.0,,,1.0
naseem-shah,Naseem Shah,,,,,,,,24.0,0.0,1.0,36.0,1.0,2.0,,,1.0
sahibzada-farhan,Sahibzada Farhan,,36.0,8.0,0.0,1.0,57.0,1.0,,,,,,,,,1.0
salman-fayyaz,Salman Fayyaz,,,,,,,,14.0,0.0,0.0,23.0,1.0,0.0,,,1.0
shadab-khan,Shadab Khan,,41.0,6.0,1.0,3.0,74.0,5.0,24.0,0.0,0.0,24.0,1.0,1.0,,,1.0
shaheen-shah-afridi,Shaheen Shah Afridi,,1.0,0.0,0.0,6.0,0.0,0.0,24.0,0.0,0.0,31.0,0.0,3.0,,,1.0
ts-mills,TS Mills,,,,,,,,24.0,0.0,0.0,45.0,2.0,0.0,,1.0,1.0
ubaid-shah,Ubaid Shah,,,,,,,,6.0,0.0,0.0,15.0,0.0,0.0,,,1.0
zaman-khan,Zaman Khan,,,,,,,,18.0,0.0,0.0,33.0,1.0,2.0,,,1.0
