player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
ak-markram,AK Markram,,32.0,2.0,0.0,4.0,54.0,2.0,6.0,0.0,0.0,9.0,0.0,0.0,1.0,,1.0
d-brevis,D Brevis,,19.0,0.0,0.0,6.0,26.0,3.0,,,,,,,1.0,,1.0
d-potgieter,D Potgieter,,9.0,0.0,0.0,7.0,4.0,0.0,,,,,,,1.0,,1.0
dj-malan,DJ Malan,,22.0,2.0,0.0,2.0,18.0,0.0,,,,,,,,,1.0
dj-worrall,DJ Worrall,,,,,,,,24.0,0.0,0.0,32.0,1.0,1.0,,,1.0
gf-linde,GF Linde,,3.0,1.0,1.0,8.0,11.0,1.0,24.0,0.0,0.0,23.0,0.0,0.0,,,1.0
he-van-der-dussen,HE van der Dussen,,3.0,0.0,0.0,1.0,2.0,0.0,,,,,,,1.0,,1.0
j-hermann,J Hermann,,4.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,,1.0
k-rabada,K Rabada,,,,,,,,18.0,0.0,0.0,26.0,2.0,0.0,,,1.0
ka-pollard,KA Pollard,,24.0,3.0,0.0,5.0,30.0,0.0,18.0,0.0,0.0,26.0,1.0,2.0,1.0,,1.0
la-dawson,LA Dawson,,,,,,,,24.0,0.0,0.0,29.0,1.0,2.0,1.0,,1.0
ls-livingstone,LS Livingstone,,22.0,1.0,0.0,3.0,26.0,2.0,12.0,0.0,0.0,16.0,0.0,0.0,,,1.0
m-jansen,M Jansen,,2.0,0.0,0.0,7.0,1.0,0.0,24.0,0.0,0.0,37.0,1.0,0.0,,1.0,1.0
n-thushara,N Thushara,,,,,,,,24.0,0.0,0.0,32.0,2.0,3.0,,,1.0
oeg-baartman,OEG Baartman,,,,,,,,24.0,0.0,1.0,24.0,2.0,0.0,,,1.0
pe-kruger,PE Kruger,,3.0,0.0,1.0,6.0,3.0,0.0,6.0,0.0,1.0,13.0,0.0,1.0,1.0,,1.0
rd-rickelton,RD Rickelton,,20.0,4.0,0.0,2.0,27.0,1.0,,,,,,,,,1.0
sm-curran,SM Curran,,21.0,3.0,0.0,4.0,30.0,1.0,6.0,0.0,0.0,19.0,0.0,1.0,1.0,,1.0
sr-harmer,SR Harmer,,,,,,,,12.0,0.0,0.0,21.0,0.0,1.0,,,1.0
t-stubbs,T Stubbs,,13.0,1.0,0.0,5.0,23.0,1.0,,,,,,,1.0,2.0,1.0
tb-abell,TB Abell,,44.0,8.0,0.0,3.0,60.0,1.0,,,,,,,,1.0,1.0
tp-kaber,TP Kaber,,1.0,0.0,1.0,9.0,1.0,0.0,18.0,0.0,0.0,30.0,1.0,0.0,,,1.0
