player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
ah-maqsood,AH Maqsood,,,,,,,,24.0,0.0,0.0,27.0,3.0,0.0,,,1.0
b-de-leede,B de Leede,,12.0,0.0,0.0,3.0,7.0,0.0,,,,,,,,1.0,1.0
c-de-lange,C de Lange,,2.0,0.0,0.0,11.0,0.0,0.0,24.0,0.0,1.0,39.0,0.0,2.0,1.0,,1.0
d-hannema,D Hannema,,7.0,0.0,0.0,2.0,1.0,0.0,,,,,,,1.0,,1.0
en-lynch,EN Lynch,,10.0,1.0,1.0,9.0,8.0,0.0,18.0,0.0,0.0,32.0,0.0,0.0,,,1.0
hdj-siegers,HDJ Siegers,,1.0,0.0,0.0,4.0,0.0,0.0,24.0,0.0,0.0,22.0,2.0,2.0,,,1.0
hra-rainey,HRA Rainey,,,,,,,,6.0,0.0,0.0,9.0,0.0,0.0,,,1.0
ijr-zwilling,IJR Zwilling,,5.0,1.0,0.0,7.0,6.0,0.0,24.0,0.0,0.0,31.0,1.0,1.0,,,1.0
j-post,J Post,,4.0,0.0,0.0,8.0,1.0,0.0,6.0,0.0,0.0,12.0,0.0,1.0,,,1.0
k-fraser,K Fraser,,,,,,,,24.0,0.0,0.0,20.0,2.0,0.0,1.0,,1.0
ke-bryce,KE Bryce,,50.0,10.0,1.0,3.0,73.0,0.0,24.0,0.0,0.0,9.0,1.0,0.0,1.0,,1.0
l-jack,L Jack,,11.0,0.0,0.0,2.0,5.0,0.0,,,,,,,,,1.0
m-veringmeier,M Veringmeier,,33.0,3.0,0.0,5.0,45.0,1.0,,,,,,,,,1.0
pa-chatterji,PA Chatterji,,2.0,0.0,1.0,6.0,2.0,0.0,16.0,0.0,0.0,16.0,1.0,1.0,1.0,,1.0
r-rijke,R Rijke,,21.0,2.0,0.0,6.0,19.0,0.0,,,,,,,,,1.0
rs-glen,RS Glen,,5.0,1.0,0.0,5.0,6.0,0.0,,,,,,,,,1.0
rv-scholes,RV Scholes,,5.0,1.0,0.0,4.0,6.0,0.0,24.0,0.0,0.0,16.0,2.0,1.0,,,1.0
s-siegers,S Siegers,,3.0,0.0,0.0,10.0,2.0,0.0,24.0,0.0,0.0,29.0,1.0,0.0,,,1.0
sj-bryce,SJ Bryce,,48.0,7.0,0.0,1.0,65.0,0.0,,,,,,,1.0,4.0,1.0
sl-kalis,SL Kalis,,20.0,0.0,0.0,1.0,6.0,0.0,,,,,,,,,1.0
