player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
aa-rahayu,AA Rahayu,,,,,,,,24.0,1.0,0.0,17.0,4.0,4.0,,1.0
anjar-tadarus,Anjar Tadarus,,,,,,,,24.0,0.0,0.0,19.0,4.0,1.0,,1.0
dj-hawoe,DJ Hawoe,,,,,,,,6.0,0.0,0.0,12.0,0.0,0.0,2.0,1.0
e-beukes,E Beukes,,20.0,1.0,1.0,7.0,21.0,2.0,14.0,0.0,1.0,18.0,0.0,1.0,,1.0
f-banunaek,F Banunaek,,,,,,,,12.0,0.0,1.0,24.0,1.0,0.0,,1.0
ga-priandana,GA Priandana,,21.0,1.0,1.0,1.0,19.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0
gc-murtaza,GC Murtaza,,5.0,0.0,0.0,6.0,2.0,0.0,18.0,0.0,0.0,26.0,1.0,1.0,,1.0
gd-arta,GD Arta,,6.0,0.0,1.0,3.0,9.0,1.0,,,,,,,,1.0
ik-gamantika,IK Gamantika,,,,,,,,,,,,,,1.0,1.0
kb-tember,KB Tember,,,,,,,,,,,,,,1.0,1.0
kd-kesuma,KD Kesuma,,36.0,2.0,0.0,2.0,38.0,2.0,,,,,,,,1.0
luqman-butt,Luqman Butt,,14.0,4.0,0.0,3.0,24.0,0.0,,,,,,,,1.0
marcelle-hanekom,Marcelle Hanekom,,1.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,20.0,0.0,1.0,,1.0
md-shuayeb,Md Shuayeb,,1.0,0.0,0.0,9.0,0.0,0.0,,,,,,,,1.0
mongdara-sok,Mongdara Sok,,1.0,0.0,0.0,10.0,0.0,0.0,,,,,,,,1.0
muhammad-naeem-3,Muhammad Naeem (3),,3.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,1.0
nt-gireesh,NT Gireesh,,7.0,1.0,0.0,5.0,5.0,0.0,,,,,,,,1.0
nirmaljit-singh,Nirmaljit Singh,,4.0,0.0,0.0,8.0,1.0,0.0,,,,,,,,1.0
pel-vannak,Pel Vannak,,2.0,0.0,0.0,11.0,0.0,0.0,,,,,,,,1.0
shah-abrar-hussain,Shah Abrar Hussain,,10.0,0.0,0.0,1.0,13.0,1.0,18.0,0.0,0.0,13.0,0.0,1.0,,1.0
