player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
ai-chudasama,AI Chudasama,,5.0,0.0,1.0,6.0,0.0,0.0,,,,,,,,1.0
b-murekatete,B Murekatete,,,,,,,,12.0,0.0,0.0,12.0,0.0,1.0,,1.0
cr-pagydyala,CR Pagydyala,,25.0,1.0,0.0,2.0,17.0,0.0,,,,,,,,1.0
f-irakoze,F Irakoze,,,,,,,,,,,,,,1.0,1.0
gc-bhogle,GC Bhogle,,9.0,0.0,1.0,5.0,6.0,0.0,,,,,,,,1.0
h-ishimwe,H Ishimwe,,,,,,,,15.0,0.0,0.0,7.0,0.0,0.0,,1.0
im-vaghela,IM Vaghela,,45.0,2.0,0.0,3.0,29.0,0.0,,,,,,,,1.0
md-bimenyimana,MD Bimenyimana,,,,,,,,18.0,1.0,0.0,11.0,1.0,0.0,,1.0
pooja-ganesh,Pooja Ganesh,,2.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,1.0
r-uwimana,R Uwimana,,,,,,,,24.0,1.0,0.0,16.0,0.0,2.0,,1.0
rosine-irera,Rosine Irera,,,,,,,,24.0,0.0,0.0,16.0,3.0,0.0,,1.0
s-kambalapalli,S Kambalapalli,,7.0,1.0,0.0,1.0,6.0,0.0,,,,,,,,1.0
