player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
a-wellington,A Wellington,,,,,,,,24.0,0.0,0.0,13.0,3.0,2.0,,,1.0
be-patterson,BE Patterson,,2.0,0.0,0.0,3.0,0.0,0.0,,,,,,,2.0,,1.0
c-piparo,C Piparo,,2.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,1.0
cm-edwards,CM Edwards,,21.0,1.0,0.0,1.0,14.0,0.0,,,,,,,,,1.0
djs-dottin,DJS Dottin,,11.0,3.0,0.0,3.0,13.0,0.0,12.0,0.0,0.0,17.0,1.0,1.0,,,1.0
ej-villani,EJ Villani,,,,,,,,,,,,,,1.0,,1.0
h-graham,H Graham,,9.0,0.0,0.0,7.0,4.0,0.0,12.0,0.0,0.0,14.0,1.0,0.0,,,1.0
h-perry,H Perry,,,,,,,,12.0,0.0,0.0,19.0,0.0,0.0,,,1.0
jcl-wallace,JCL Wallace,,33.0,3.0,0.0,6.0,29.0,0.0,,,,,,,1.0,,1.0
kh-brunt,KH Brunt,,9.0,1.0,0.0,5.0,4.0,0.0,24.0,0.0,0.0,34.0,0.0,0.0,,,1.0
kj-hartshorn,KJ Hartshorn,,1.0,0.0,1.0,10.0,1.0,0.0,24.0,0.0,0.0,20.0,2.0,0.0,,,1.0
lk-ebsary,LK Ebsary,,16.0,1.0,0.0,5.0,13.0,0.0,,,,,,,,,1.0
ml-schutt,ML Schutt,,,,,,,,24.0,1.0,0.0,11.0,3.0,2.0,,,1.0
ne-bolton,NE Bolton,,8.0,2.0,0.0,2.0,10.0,0.0,18.0,0.0,0.0,19.0,0.0,0.0,,,1.0
nj-shaw,NJ Shaw,,3.0,0.0,0.0,9.0,0.0,0.0,24.0,0.0,0.0,21.0,2.0,2.0,,,1.0
p-cleary,P Cleary,,19.0,1.0,0.0,8.0,10.0,0.0,6.0,0.0,0.0,9.0,0.0,1.0,1.0,,1.0
s-nitschke,S Nitschke,,2.0,2.0,1.0,8.0,8.0,0.0,24.0,1.0,0.0,15.0,0.0,1.0,,,1.0
saca-king,SACA King,,21.0,3.0,0.0,2.0,21.0,0.0,,,,,,,,,1.0
sfm-devine,SFM Devine,,32.0,3.0,0.0,4.0,32.0,0.0,18.0,0.0,0.0,22.0,2.0,1.0,,,1.0
sj-coyte,SJ Coyte,,5.0,0.0,0.0,6.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,,1.0
sj-taylor,SJ Taylor,,37.0,6.0,0.0,1.0,48.0,0.0,,,,,,,,3.0,1.0
tm-mcgrath,TM McGrath,,5.0,0.0,1.0,7.0,4.0,0.0,12.0,0.0,0.0,15.0,0.0,1.0,,,1.0
