player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
a-gardner,A Gardner,,12.0,1.0,0.0,3.0,9.0,0.0,18.0,0.0,0.0,25.0,0.0,1.0,,1.0
a-yates,A Yates,,10.0,1.0,0.0,9.0,9.0,0.0,,,,,,,,1.0
ae-jones,AE Jones,,15.0,2.0,0.0,2.0,15.0,0.0,,,,,,,1.0,1.0
aj-healy,AJ Healy,,56.0,11.0,0.0,1.0,84.0,1.0,,,,,,,1.0,1.0
ar-reakes,AR Reakes,,6.0,0.0,0.0,5.0,3.0,0.0,18.0,0.0,0.0,18.0,1.0,2.0,,1.0
c-leeson,C Leeson,,,,,,,,12.0,0.0,0.0,11.0,2.0,1.0,,1.0
dn-wyatt,DN Wyatt,,9.0,1.0,0.0,2.0,11.0,1.0,12.0,0.0,1.0,18.0,1.0,0.0,1.0,1.0
ea-leys,EA Leys,,,,,,,,,,,,,,1.0,1.0
g-wareham,G Wareham,,20.0,1.0,1.0,8.0,20.0,0.0,,,,,,,,1.0
gm-harris,GM Harris,,14.0,1.0,0.0,5.0,18.0,1.0,24.0,0.0,0.0,26.0,1.0,0.0,1.0,1.0
kj-garth,KJ Garth,,,,,,,,24.0,0.0,0.0,20.0,2.0,1.0,1.0,1.0
kl-britt,KL Britt,,6.0,0.0,0.0,4.0,5.0,0.0,,,,,,,,1.0
lg-smith,LG Smith,,,,,,,,24.0,0.0,0.0,31.0,1.0,0.0,,1.0
m-brown,M Brown,,2.0,0.0,0.0,7.0,1.0,0.0,24.0,0.0,0.0,33.0,1.0,0.0,1.0,1.0
m-strano,M Strano,,12.0,2.0,0.0,6.0,15.0,0.0,24.0,0.0,0.0,33.0,2.0,1.0,,1.0
na-plane,NA Plane,,11.0,0.0,0.0,10.0,4.0,0.0,,,,,,,1.0,1.0
nm-goodwin,NM Goodwin,,7.0,0.0,1.0,11.0,4.0,0.0,18.0,0.0,0.0,28.0,0.0,1.0,,1.0
rh-priest,RH Priest,,4.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,1.0
s-molineux,S Molineux,,25.0,1.0,0.0,3.0,24.0,2.0,18.0,0.0,0.0,18.0,0.0,0.0,,1.0
se-aley,SE Aley,,4.0,2.0,1.0,6.0,9.0,0.0,24.0,1.0,0.0,14.0,3.0,2.0,,1.0
sj-mcglashan,SJ McGlashan,,28.0,2.0,0.0,4.0,31.0,1.0,,,,,,,1.0,1.0
