player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
a-gardner,A Gardner,,1.0,0.0,0.0,4.0,0.0,0.0,24.0,0.0,0.0,38.0,1.0,0.0,,1.0
a-sutherland,A Sutherland,,14.0,0.0,0.0,5.0,6.0,0.0,18.0,0.0,0.0,32.0,0.0,0.0,,1.0
ac-kerr,AC Kerr,,24.0,6.0,1.0,5.0,45.0,1.0,12.0,1.0,0.0,12.0,2.0,0.0,,1.0
bl-mooney,BL Mooney,,3.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,1.0
d-hemalatha,D Hemalatha,,23.0,1.0,1.0,6.0,29.0,2.0,,,,,,,1.0,1.0
g-wareham,G Wareham,,11.0,2.0,0.0,7.0,8.0,0.0,18.0,0.0,0.0,30.0,1.0,0.0,1.0,1.0
h-deol,H Deol,,2.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,1.0
h-kaur,H Kaur,,30.0,14.0,0.0,4.0,65.0,0.0,,,,,,,,1.0
hk-matthews,HK Matthews,,31.0,3.0,0.0,2.0,47.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0
iecm-wong,IECM Wong,,1.0,0.0,1.0,7.0,6.0,1.0,18.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0
jn-kalita,JN Kalita,,,,,,,,12.0,0.0,0.0,12.0,0.0,0.0,,1.0
m-joshi,M Joshi,,19.0,0.0,0.0,10.0,6.0,0.0,12.0,0.0,0.0,17.0,0.0,1.0,,1.0
mc-patel,MC Patel,,9.0,2.0,0.0,11.0,10.0,0.0,12.0,0.0,0.0,34.0,0.0,2.0,1.0,1.0
nr-sciver,NR Sciver,,18.0,5.0,0.0,3.0,23.0,0.0,12.0,0.0,0.0,5.0,3.0,0.0,1.0,1.0
p-vastrakar,P Vastrakar,,8.0,3.0,0.0,6.0,15.0,0.0,12.0,0.0,0.0,9.0,0.0,1.0,,1.0
s-ishaque,S Ishaque,,,,,,,,19.0,2.0,0.0,11.0,4.0,0.0,,1.0
s-meghana,S Meghana,,4.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,1.0
sneh-rana,Sneh Rana,,2.0,0.0,0.0,8.0,1.0,0.0,24.0,0.0,0.0,43.0,2.0,1.0,1.0,1.0
tp-kanwar,TP Kanwar,,3.0,0.0,0.0,9.0,0.0,0.0,12.0,0.0,0.0,12.0,1.0,0.0,,1.0
yh-bhatia,YH Bhatia,,8.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,1.0
