player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
aone-nakamura,Aone Nakamura,,0.0,1.0,1.0,3.0,9.0
derya-ekmekci,Derya Ekmekci,,1.0,1.0,0.0,9.0,3.0
hana-ikeda,Hana Ikeda,,0.0,1.0,1.0,3.0,9.0
kohane-tsuruga,Kohane Tsuruga,,0.0,1.0,1.0,3.0,9.0
melisa-comert,Melisa Comert,,1.0,1.0,0.0,9.0,3.0
rin-suzuki,Rin Suzuki,,0.0,1.0,1.0,3.0,9.0
seydanur-morkoc,Seydanur MORKOC,,1.0,1.0,0.0,9.0,3.0
suheda-karacali,Suheda Karacali,,1.0,1.0,0.0,9.0,3.0
yuina-miura,Yuina Miura,,0.0,1.0,1.0,3.0,9.0
zeynep-genc,Zeynep GENC,,1.0,1.0,0.0,9.0,3.0
