player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
abdul-kanneh,Abdul Kanneh,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adrian-tracy,Adrian Tracy,DB/DL,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-fantuz,Andrew Fantuz,WR,,,,,,,,,,,,,,,,12.0,8.0,13.0,,7.0,67.0,,,,,,,,,,,,,,,,,,,
antoine-pruneau,Antoine Pruneau,DB,1.0,53.0,,10.0,10.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arnaud-gascon-nadon,Arnaud Gascon-Nadon,DB/DE,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aston-whiteside,Aston Whiteside,DB/DL,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad-sinopoli,Brad Sinopoli,WR,,,,,,,,,,,,,,,,20.0,4.0,5.0,,16.0,48.0,,,,,,,,,,,,,,,,,,,
brett-maher,Brett Maher,K,,,,,,,,,,,,,,,,,,,,,,63.0,5.0,4.0,48.0,297.0,,,,,,15.0,,,5.0,4.0,38.0,14.0,3.0,2.0
cj-gable,C.J. Gable,RB,,,,,,,,,,,,,,,,,1.0,2.0,1.0,5.0,5.0,,,,,,14.0,12.0,,61.0,1.0,6.0,,1.0,,,,,,
cassius-vaughn,Cassius Vaughn,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-davis,Chris Davis,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-milo,Chris Milo,K,,,,,,,,,,,,,,,,,,,,,,62.0,1.0,1.0,25.0,62.0,,,,,,12.0,,,3.0,3.0,46.0,12.0,4.0,3.0
damaso-munoz,Damaso Munoz,LB,,,1.0,6.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derrius-brooks,Derrius Brooks,DB,1.0,11.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominique-ellis,Dominique Ellis,DB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emanuel-davis,Emanuel Davis,DB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ernest-jackson,Ernest Jackson,WR,,,,,,,,,,,,,,,,25.0,10.0,12.0,2.0,35.0,102.0,,,,,,,,,,2.0,12.0,,2.0,,,,,,
ettore-lattanzio,Ettore Lattanzio,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forrest-hightower,Forrest Hightower,DB,1.0,9.0,,1.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frédéric-plesius,Frédéric Plesius,LB,,,1.0,1.0,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,,,,,,32.0,5.0,5.0,,18.0,75.0,,,,,,,,,,,,,,,,,,,
henry-burris,Henry Burris,QB,,,,,,,,41.0,31.0,2.0,35.0,17.0,4.0,3.0,418.0,,,,,,,,,,,,4.0,10.0,,20.0,,,,,,,,,,
jason-lauzon-seguin,Jason Lauzon-Seguin,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jasper-collins,Jasper Collins,WR,,,,,,,,,,,,,,,,45.0,1.0,2.0,,21.0,45.0,,,,,,,,,,,,,,,,,,,
jeff-mathews,Jeff Mathews,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,5.0,,6.0,1.0,1.0,,,,,,
jeff-richards,Jeff Richards,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,1.0,1.0,,,41.0,27.0,2.0,45.0,1.0,1.0,3.0,359.0,,,,,,,,,,,,1.0,4.0,,4.0,,,,,,,,,,
jermaine-robinson,Jermaine Robinson,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jerrell-gavins,Jerrell Gavins,DB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-chick,John Chick,DB/DE,,,2.0,5.0,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-chiles,John Chiles,WR,,,,,,,,,,,,,,,,,4.0,5.0,1.0,,31.0,,,,,,1.0,20.0,,20.0,1.0,6.0,,1.0,,,,,,
johnny-adams,Johnny Adams,CB/DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-rose,Jonathan Rose,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
juron-criner,Juron Criner,WR,,,,,,,,,,,,,,,,35.0,2.0,3.0,1.0,17.0,53.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
justin-capicciotti,Justin Capicciotti,DB/DE,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kendial-lawrence,Kendial Lawrence,RB,,,,,,,,,,,,,,,,20.0,1.0,1.0,,18.0,20.0,25.0,6.0,,,105.0,,,,,,,,,,,,,,
kevin-elliott,Kevin Elliott,WR,,,,,,,,,,,,,,,,39.0,5.0,6.0,1.0,8.0,102.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
khalil-paden,Khalil Paden,WR,,,,,,,,,,,,,,,,28.0,4.0,6.0,,14.0,74.0,,,,,,,,,,,,,,,,,,,
larry-dean,Larry Dean,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-atkinson,Michael Atkinson,DB/DT,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-filer,Mike Filer,OL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitchell-white,Mitchell White,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mossis-madu,Mossis Madu,RB,,,,2.0,2.0,,,,,,,,,,,15.0,3.0,5.0,,29.0,29.0,,,,,,15.0,13.0,1.0,85.0,,6.0,1.0,1.0,,,,,,
moton-hopkins,Moton Hopkins,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick-lavoie,Patrick Lavoie,FB/RB,,,,1.0,1.0,,,,,,,,,,,12.0,2.0,3.0,,9.0,23.0,,,,,,,,,,,,,,,,,,,
ray-early,Ray Early,K,,,,,,,,,,,,,,,,,,,,,,59.0,5.0,5.0,80.0,266.0,,,,,,,,,,,,,,
scott-macdonell,Scott MacDonell,WR,,,,,,,,,,,,,,,,14.0,1.0,1.0,,2.0,14.0,,,,,,,,,,,,,,,,,,,
serderius-bryant,Serderius Bryant,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simoni-lawrence,Simoni Lawrence,LB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spencer-watt,Spencer Watt,WR,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
taylor-reed,Taylor Reed,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ted-laurent,Ted Laurent,DB/DT,,,1.0,2.0,2.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrence-toliver,Terrence Toliver,WR,,,,,,,,,,,,,,,,23.0,7.0,11.0,,20.0,89.0,,,,,,,,,,,,,,,,,,,
travon-van,Travon Van,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,9.0,,,,,,,,,,
tristan-jackson,Tristan Jackson,DB,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,1.0,,,,,,,,,,,,,,
