player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adam-bighill,Adam Bighill,LB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-bazzie,Alex Bazzie,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,,,,,,,13.0,5.0,5.0,1.0,48.0,50.0,,,,,,12.0,23.0,,66.0,1.0,6.0,,1.0,,,,,,
anthony-allen,Anthony Allen,RB,,,,,,,,,,,,,,,,5.0,2.0,2.0,,3.0,5.0,,,,,,11.0,8.0,1.0,28.0,,6.0,1.0,1.0,,,,,,
anthony-gaitor,Anthony Gaitor,DB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-stewart,Brandon Stewart,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,,,,,,,,,,55.0,9.0,10.0,,43.0,208.0,,,,,,,,,,,,,,,,,,,
chandler-fenner,Chandler Fenner,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-rainey,Chris Rainey,RB,,,,,,,,,,,,,,,,-1.0,1.0,2.0,,-1.0,-1.0,70.0,7.0,,,174.0,3.0,,1.0,61.0,,6.0,1.0,1.0,,,,,,
chris-randle,Chris Randle,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clarence-denmark,Clarence Denmark,WR,,,,,,,,,,,,,,,,,4.0,6.0,1.0,9.0,39.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
craig-roh,Craig Roh,DL/DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emmanuel-arceneaux,Emmanuel Arceneaux,WR/SB,,,,,,,,,,,,,,,,35.0,10.0,14.0,,32.0,150.0,,,,,,,,,,,,,,,,,,,
jabar-westerman,Jabar Westerman,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-thomas,Jake Thomas,DT/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamaal-westerman,Jamaal Westerman,DE/DB,,,1.0,6.0,6.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jason-arakgi,Jason Arakgi,LB/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathon-jennings,Jonathon Jennings,QB,,,,1.0,1.0,,,38.0,28.0,2.0,55.0,10.0,2.0,,422.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,
julian-feoli-gudino,Julian Feoli-Gudino,WR,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
julian-posey,Julian Posey,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-cole,Justin Cole,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-medlock,Justin Medlock,K,,,,,,,,,,,,,,,,,,,,,,70.0,7.0,7.0,174.0,451.0,,,,,,13.0,,,3.0,3.0,48.0,13.0,4.0,4.0
keith-shologan,Keith Shologan,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-fogg,Kevin Fogg,DB,,,,8.0,8.0,,,,,,,,,,,,,,,,,53.0,3.0,,,69.0,,,,,,,,,,,,,,
khalil-bass,Khalil Bass,LB/DB,,,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyle-knox,Kyle Knox,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loucheiz-purifoy,Loucheiz Purifoy,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marco-iannuzzi,Marco Iannuzzi,WR,,,,,,,,,,,,,,,,22.0,3.0,5.0,,4.0,36.0,,,,,,,,,,,,,,,,,,,
matt-nichols,Matt Nichols,QB,,,,,,,,32.0,22.0,,38.0,,,2.0,233.0,,1.0,1.0,1.0,,4.0,,,,,,2.0,2.0,,3.0,1.0,6.0,,1.0,,,,,,
maurice-leggett,Maurice Leggett,LB/DB,1.0,46.0,,2.0,2.0,46.0,,,,,,,,,,,,,,,,52.0,1.0,,,52.0,,,,,,,,,,,,,,
michael-brooks,Mic'hael Brooks,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-edem,Mike Edem,S/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quincy-mcduffie,Quincy McDuffie,WR,,,,,,,,,,,,,,,,,,,,,,51.0,4.0,,,114.0,,,,,,,,,,,,,,
richie-leone,Richie Leone,K,,,,,,,,,,,,,,,,,,,,,,71.0,4.0,4.0,114.0,270.0,,,,,,15.0,,,5.0,4.0,46.0,15.0,3.0,3.0
rolly-lumbala,Rolly Lumbala,FB/RB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rory-kohlert,Rory Kohlert,WR,,,,,,,,1.0,1.0,,,,,1.0,4.0,19.0,2.0,4.0,,8.0,37.0,,,,,,,,,,,,,,,,,,,
ryan-phillips,Ryan Phillips,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
