player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_fr,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
aaron-lavarias,Aaron Lavarias,DE/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adrian-tracy,Adrian Tracy,DL/DB,,,1.0,6.0,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alan-michael-cash,Alan-Michael Cash,DT/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-fantuz,Andrew Fantuz,WR,,,,,,,,,,,,,,,,,31.0,4.0,4.0,,12.0,65.0,,,,,,,,,,,,,,,,,,
anthony-fera,Anthony Fera,K,,,,,,,,,,,,,,,,,,,,,,,63.0,2.0,2.0,53.0,125.0,,,,,,9.0,,3.0,2.0,49.0,6.0,,
bj-cunningham,B.J. Cunningham,WR,,,,,,,,,,,,,,,,,14.0,7.0,9.0,,22.0,63.0,,,,,,,,,,,,,,,,,,
brandon-banks,Brandon Banks,WR,,,,,,,,,,,,,,,,,11.0,2.0,3.0,,2.0,13.0,28.0,3.0,,,42.0,,,,,,,,,,,,,
brandon-sermons,Brandon Sermons,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brett-maher,Brett Maher,K,,,,,,,,,,,,,,,,,,,,,,,72.0,3.0,3.0,82.0,191.0,,,,,,14.0,,4.0,4.0,51.0,13.0,1.0,1.0
cassius-vaughn,Cassius Vaughn,DB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,28.0,2.0,,,53.0,,,,,,,,,,,,,
chad-owens,Chad Owens,WR,,,,,,,,,,,,,,,,,42.0,2.0,3.0,,19.0,48.0,,,,,,,,,,,,,,,,,,
chip-cox,Chip Cox,LB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courtney-stephen,Courtney Stephen,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominique-ellis,Dominique Ellis,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominique-termansen,Dominique Termansen,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duron-carter,Duron Carter,DB,,,,,,,,1.0,,,,,,,,,18.0,4.0,6.0,,3.0,39.0,,,,,,,,,1.0,,6.0,1.0,,,,,,
emanuel-davis,Emanuel Davis,DB,1.0,23.0,,1.0,1.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gabriel-knapton,Gabriel Knapton,DE/DB,,,1.0,1.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-henderson,Greg Henderson,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jean-christophe-beaulieu,Jean-Christophe Beaulieu,RB/FB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeffrey-finley,Jeffrey Finley,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,8.0,,,,,,,,,,
john-bowman,John Bowman,DE/DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-chick,John Chick,DE/DB,,,1.0,3.0,3.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-woods,Jonathan Woods,LB,1.0,3.0,,10.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathon-mincy,Jonathon Mincy,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jovon-johnson,Jovon Johnson,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenny-stafford,Kenny Stafford,WR,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
kyries-hebert,Kyries Hebert,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larry-dean,Larry Dean,LB,,,1.0,8.0,8.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luke-tasker,Luke Tasker,WR,,,,1.0,1.0,,,,,,,,,,,,18.0,6.0,9.0,1.0,6.0,44.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
marc-olivier-brouillette,Marc-Olivier Brouillette,DB/S,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolas-lewis,Nikolas Lewis,WR,,,,,,,,,,,,,,,,,3.0,1.0,2.0,,3.0,3.0,,,,,,,,,,,,,,,,,,
rakeem-cato,Rakeem Cato,QB,,,,,,,,,27.0,19.0,1.0,18.0,25.0,3.0,,168.0,,,,,,,,,,,,1.0,7.0,7.0,,,,,,,,,,
raymon-taylor,Raymon Taylor,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ross-scheuerman,Ross Scheuerman,RB,,,,,,,,,,,,,,,,,25.0,5.0,7.0,,32.0,40.0,,,,,,16.0,10.0,79.0,,,,,,,,,,
sam-giguere,Sam Giguere,WR,,,,,,,,,,,,,,,,,11.0,2.0,3.0,,18.0,19.0,46.0,3.0,,,82.0,1.0,9.0,9.0,,,,,,,,,,
simoni-lawrence,Simoni Lawrence,LB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spencer-watt,Spencer Watt,WR,,,,,,,,,,,,,,,,,25.0,3.0,3.0,,18.0,51.0,,,,,,,,,,,,,,,,,,
stefan-logan,Stefan Logan,RB,,,,,,,,,,,,,,,,,,,,,,,16.0,3.0,,,41.0,1.0,,,,,,,,,,,,
ted-laurent,Ted Laurent,DT/DB,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrence-toliver,Terrence Toliver,WR,,,,1.0,1.0,,,,,,,,,,,,16.0,3.0,7.0,,,30.0,,,,,,,,,,,,,,,,,,
tyrell-sutton,Tyrell Sutton,RB,,,,1.0,1.0,,,,,,,,,,,,14.0,5.0,5.0,,29.0,44.0,,,,,,11.0,24.0,71.0,,,,,,,,,,
