player_id,player_name,positions,def_solo,def_tot,pass_att,pass_cmp,pass_int,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
alex-bazzie,Alex Bazzie,DB/DL,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-gaitor,Anthony Gaitor,DB,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,1.0,1.0,,,,,,,,11.0,2.0,7.0,,8.0,16.0,,,,,,1.0,7.0,7.0,,,,,,,,,
chandler-fenner,Chandler Fenner,DB,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-rainey,Chris Rainey,RB,,,,,,,,,,23.0,3.0,3.0,,38.0,41.0,26.0,3.0,,,67.0,4.0,11.0,19.0,,,,,,,,,
chris-williams,Chris Williams,WR,1.0,1.0,,,,,,,,15.0,2.0,5.0,,5.0,21.0,4.0,1.0,,,4.0,,,,,,,,,,,,
emmanuel-arceneaux,Emmanuel Arceneaux,WR/SB,,,,,,,,,,,6.0,8.0,2.0,43.0,103.0,,,,,,1.0,-1.0,-1.0,2.0,12.0,2.0,,,,,,
jeremiah-johnson,Jeremiah Johnson,S/CB/DB,,,,,,,,,,15.0,6.0,7.0,,46.0,60.0,,,,,,6.0,13.0,35.0,,,,,,,,,
jonathon-jennings,Jonathon Jennings,QB,,,40.0,26.0,1.0,1.0,1.0,3.0,375.0,,,,,,,,,,,,2.0,1.0,2.0,,,,,,,,,
loucheiz-purifoy,Loucheiz Purifoy,DB,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marco-iannuzzi,Marco Iannuzzi,WR,,,,,,,,,,17.0,3.0,4.0,,17.0,41.0,,,,,,,,,,,,,,,,,
michael-brooks,Mic'hael Brooks,DB,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
micah-awe,Micah Awe,LB,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ronnie-yell,Ronnie Yell,DB,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shaquille-johnson,Shaquille Johnson,WR,,,,,,,,,,,4.0,5.0,1.0,28.0,93.0,,,,,,,,,1.0,6.0,1.0,,,,,,
solomon-elimimian,Solomon Elimimian,LB,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tj-lee,T.J. Lee,DB,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tony-burnett,Tony Burnett,LB,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ty-long,Ty Long,K,,,,,,,,,,,,,,,,65.0,4.0,4.0,75.0,251.0,,,,,7.0,,2.0,2.0,50.0,7.0,1.0,1.0
