player_id,player_name,positions,def_int,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
alex-pierzchalski,Alex Pierzchalski,WR,,,,,,,,,,,,,,14.0,3.0,6.0,,10.0,21.0,,,,,,,,,,,,,,,,,
bj-cunningham,B.J. Cunningham,WR,,,,,,,,,,,,,,,4.0,6.0,1.0,30.0,90.0,,,,,,1.0,21.0,21.0,1.0,6.0,1.0,,,,,,
bakari-grant,Bakari Grant,WR,,,,,,,,,,,,,,,6.0,8.0,1.0,22.0,68.0,,,,,,,,,1.0,6.0,1.0,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,72.0,4.0,4.0,107.0,269.0,,,,,5.0,,2.0,1.0,18.0,5.0,2.0,2.0
branden-dozier,Branden Dozier,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-bridge,Brandon Bridge,QB,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,,,,,,,,,
caleb-holley,Caleb Holley,WR,,,1.0,1.0,,,,,,,,,,23.0,5.0,7.0,,5.0,55.0,,,,,,,,,,,,,,,,,
cameron-marshall,Cameron Marshall,RB,,,1.0,1.0,,,,,,,,,,8.0,4.0,5.0,,17.0,17.0,,,,,,11.0,26.0,84.0,,,,,,,,,
chip-cox,Chip Cox,LB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-ackie,Chris Ackie,DB/LB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-lyles,Chris Lyles,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darian-durant,Darian Durant,QB,,,,,,31.0,20.0,,,,,2.0,233.0,,,,,,,,,,,,2.0,5.0,9.0,,,,,,,,,
dominique-termansen,Dominique Termansen,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominique-tovell,Dominique Tovell,LB,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dondre-wright,Dondre Wright,DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duron-carter,Duron Carter,DB,,,,,,,,,,,,,,9.0,2.0,9.0,,-1.0,12.0,17.0,1.0,,,17.0,,,,,,,,,,,,
ed-gainey,Ed Gainey,DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eddie-steele,Eddie Steele,DB/DL,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erick-dargan,Erick Dargan,DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ernest-jackson,Ernest Jackson,WR,,,,,,,,,,,,,,,2.0,5.0,1.0,,16.0,,,,,,,,,1.0,6.0,1.0,,,,,,
gabriel-knapton,Gabriel Knapton,DB/DE,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-henderson,Greg Henderson,DB,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-morris,Greg Morris,RB,,,,,,,,,,,,,,,,,,,,41.0,4.0,,,107.0,,,,,,,,,,,,
henoc-muamba,Henoc Muamba,LB,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jabar-westerman,Jabar Westerman,DB/DL,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jean-christophe-beaulieu,Jean-Christophe Beaulieu,RB/FB,,,,,,,,,,,,,,11.0,1.0,1.0,,7.0,11.0,,,,,,,,,,,,,,,,,
jeff-hecht,Jeff Hecht,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-bowman,John Bowman,DB/DE,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathon-mincy,Jonathon Mincy,DB,1.0,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-bartel,Josh Bartel,P/K,,,,,,,,,,,,,,,,,,,,45.0,6.0,5.0,26.0,244.0,,,,,,,,,,,,
jovon-johnson,Jovon Johnson,DB,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kacy-rodgers,Kacy Rodgers,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keith-shologan,Keith Shologan,DB/DL,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-francis,Kevin Francis,DB/LB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-glenn,Kevin Glenn,QB,,,,,,44.0,31.0,1.0,33.0,6.0,1.0,1.0,298.0,,,,,,,,,,,,5.0,7.0,16.0,,,,,,,,,
kyries-hebert,Kyries Hebert,LB,,1.0,5.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-edem,Mike Edem,DB/S,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naaman-roosevelt,Naaman Roosevelt,WR,,,,,,,,,,,,,,12.0,7.0,10.0,,7.0,59.0,,,,,,,,,,,,,,,,,
nic-demski,Nic DEMSKI,WR,,,,,,,,,,,,,,33.0,7.0,7.0,,33.0,87.0,13.0,1.0,,,13.0,,,,,,,,,,,,
nikolas-lewis,Nikolas Lewis,WR,,,,,,,,,,,,,,21.0,5.0,5.0,,26.0,60.0,,,,,,,,,,,,,,,,,
ricky-collins,Ricky Collins,WR,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,
sam-williams,Sam Williams,DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefan-logan,Stefan Logan,RB,,,,,,,,,,,,,,,,1.0,,,,21.0,4.0,,,75.0,,,,,,,,,,,,
tiquan-underwood,Tiquan Underwood,WR,,,1.0,1.0,,,,,,,,,,16.0,3.0,4.0,,3.0,28.0,,,,,,,,,,,,,,,,,
tobi-antigha,Tobi Antigha,DB/LB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travis-hawkins,Travis Hawkins,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyler-crapigna,Tyler Crapigna,K,,,,,,,,,,,,,,,,,,,,68.0,4.0,4.0,75.0,253.0,,,,,10.0,,4.0,3.0,41.0,10.0,1.0,1.0
tyree-hollins,Tyree Hollins,DB,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyrell-sutton,Tyrell Sutton,RB,,,,,,,,,,,,,,5.0,2.0,3.0,,7.0,7.0,,,,,,13.0,11.0,68.0,,,,,,,,,
vernon-adams,Vernon Adams,QB,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
willie-jefferson,Willie Jefferson,DB/DE/DL,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
