player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
andrew-harris,Andrew Harris,RB,,,,,,,,,,,,,,,,21.0,4.0,4.0,,28.0,31.0,,,,,,13.0,17.0,75.0,,,,,,,,,,
anthony-sarao,Anthony Sarao,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bj-cunningham,B.J. Cunningham,WR,,,,,,,,,,,,,,,,22.0,5.0,8.0,1.0,24.0,69.0,,,,,,1.0,1.0,1.0,,1.0,6.0,1.0,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,,,72.0,4.0,3.0,51.0,285.0,,,,,,11.0,,3.0,3.0,48.0,11.0,2.0,2.0
branden-dozier,Branden Dozier,DB,,,1.0,6.0,6.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-alexander,Brandon Alexander,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-rutley,Brandon Rutley,RB,,,,,,,,,,,,,,,,10.0,6.0,6.0,,18.0,27.0,,,,,,12.0,26.0,78.0,1.0,,2.0,,,,,,,
brandon-stewart,Brandon Stewart,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chip-cox,Chip Cox,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-randle,Chris Randle,DB,2.0,10.0,,1.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christophe-normand,Christophe Normand,FB/RB,,,,1.0,1.0,,,,,,,,,,,5.0,1.0,1.0,,5.0,5.0,,,,,,,,,,,,,,,,,,
clarence-denmark,Clarence Denmark,WR,,,,,,,,,,,,,,,,,8.0,11.0,2.0,6.0,47.0,,,,,,,,,,2.0,12.0,2.0,,,,,,
dan-lefevour,Dan LeFevour,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,7.0,,,,,,,,,,
darian-durant,Darian Durant,QB,,,,1.0,1.0,,,43.0,31.0,2.0,,13.0,1.0,3.0,316.0,,,,,,,,,,,,3.0,13.0,32.0,,,,,,,,,,
