player_id,player_name,positions,def_int,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DL/DB,,1.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-singleton,Alex Singleton,LB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-buckley,Andrew Buckley,QB,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,
anthony-parker,Anthony Parker,WR,,,,,,,,,,,,,,16.0,2.0,3.0,,9.0,30.0,,,,,,,,,,,,,,,,,
bakari-grant,Bakari Grant,WR,,,,,,,,,,,,,,18.0,6.0,8.0,,29.0,59.0,,,,,,,,,,,,,,,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,,32.0,24.0,,25.0,12.0,2.0,,222.0,,,,,,,,,,,,2.0,9.0,11.0,,,,,,,,,
brandon-bridge,Brandon Bridge,QB,,,,,,7.0,6.0,,38.0,13.0,1.0,1.0,91.0,,,,,,,,,,,,3.0,8.0,12.0,,,,,,,,,
brandon-smith,Brandon Smith,DB/LB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caleb-holley,Caleb Holley,WR,,,1.0,1.0,,,,,,,,,,38.0,1.0,2.0,,5.0,38.0,,,,,,,,,,,,,,,,,
charleston-hughes,Charleston Hughes,DL/DB,,2.0,1.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christion-jones,Christion Jones,RB,,,,,,,,,,,,,,,,,,,,22.0,3.0,,,48.0,1.0,,,,,,,,,,,
ciante-evans,Ciante Evans,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crezdon-butler,Crezdon Butler,DB,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derek-wiggan,Derek Wiggan,DL/DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devon-bailey,Devon Bailey,WR,,,,,,,,,,,,,,35.0,3.0,4.0,1.0,13.0,68.0,,,,,,,,,1.0,6.0,1.0,,,,,,
duron-carter,Duron Carter,DB,,,,,,,,,,,,,,4.0,1.0,2.0,,,4.0,,,,,,,,,,,,,,,,,
ed-gainey,Ed Gainey,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eddie-steele,Eddie Steele,DL/DB,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ese-mrabure-ajufo,Ese Mrabure-Ajufo,DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-morris,Greg Morris,RB,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,9.0,,,,,,,,,
henoc-muamba,Henoc Muamba,LB,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jagared-davis,Ja'Gared Davis,DB,,3.0,3.0,3.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamar-wall,Jamar Wall,DB,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jameer-thurman,Jameer Thurman,DB/LB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-vaughters,James Vaughters,DL/DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeff-hecht,Jeff Hecht,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jerome-messam,Jerome Messam,RB,,,,,,,,,,,,,,6.0,3.0,3.0,,8.0,8.0,,,,,,23.0,23.0,127.0,,,,,,,,,
josh-bartel,Josh Bartel,P/K,,,,,,,,,,,,,,,,,,,,60.0,9.0,8.0,55.0,438.0,,,,,,,,,,,,
josh-bell,Josh Bell,DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-harris,Josh Harris,RB,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,
jovon-johnson,Jovon Johnson,DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
juwan-brescacin,Juwan Brescacin,WR,,,,,,,,,,,,,,15.0,3.0,4.0,,4.0,27.0,,,,,,,,,,,,,,,,,
kacy-rodgers,Kacy Rodgers,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-glenn,Kevin Glenn,QB,,,,,,19.0,12.0,1.0,35.0,23.0,4.0,,127.0,,,,,,,,,,,,,,,,,,,,,,,
kienan-lafrance,Kienan LaFrance,RB,,,,,,,,,,,,,,1.0,1.0,2.0,,1.0,1.0,,,,,,4.0,3.0,4.0,,,,,,,,,
makana-henry,Makana Henry,DL/DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marc-olivier-brouillette,Marc-Olivier Brouillette,DB/S,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marken-michel,Marken Michel,WR,,,1.0,1.0,,,,,,,,,,9.0,3.0,7.0,,9.0,22.0,,,,,,,,,,,,,,,,,
marquay-mcdaniel,Marquay McDaniel,WR,,,,,,,,,,,,,,7.0,2.0,3.0,,-3.0,4.0,,,,,,,,,,,,,,,,,
micah-johnson,Micah Johnson,DL/DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naaman-roosevelt,Naaman Roosevelt,WR,,,,,,,,,,,,,,16.0,2.0,3.0,,3.0,23.0,,,,,,,,,,,,,,,,,
otha-foster,Otha Foster,DB/LB,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick-levels,Patrick Levels,DB/LB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reggie-begelton,Reggie BEGELTON,WR,,,,,,,,,,,,,,24.0,4.0,4.0,,27.0,68.0,,,,,,,,,,,,,,,,,
rene-paredes,René Paredes,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,5.0,5.0,40.0,15.0,,
rob-bagg,Rob Bagg,WR,,,,,,,,,,,,,,11.0,4.0,5.0,,1.0,25.0,,,,,,,,,,,,,,,,,
rob-cote,Rob Cote,RB,,,,,,,,,,,,,,8.0,3.0,4.0,,17.0,17.0,,,,,,,,,,,,,,,,,
rob-maver,Rob Maver,P/K,,,,,,,,,,,,,,,,,,,,61.0,3.0,3.0,48.0,178.0,,,,,,,,,,,,
rory-kohlert,Rory Kohlert,WR,,,,,,,,,,,,,,21.0,1.0,1.0,,,21.0,,,,,,,,,,,,,,,,,
roy-finch,Roy Finch,RB,,,,,,,,,,,,,,25.0,3.0,3.0,,1.0,25.0,25.0,2.0,,,42.0,1.0,9.0,9.0,,,,,,,,,
samuel-eguavoen,Samuel Eguavoen,LB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shaquille-richardson,Shaquille Richardson,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thaddeus-coleman,Thaddeus Coleman,OL,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tommie-campbell,Tommie Campbell,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyler-crapigna,Tyler Crapigna,K,,,,,,,,,,,,,,,,,,,,72.0,2.0,2.0,42.0,135.0,,,,,1.0,,,,,1.0,1.0,1.0
vernon-adams,Vernon Adams,QB,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
