player_id,player_name,positions,def_int,def_lg,def_solo,def_tot,def_yds,pass_att,pass_cmp,pass_int,pass_lg,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
alexander-green,Alexander Green,RB,,,,,,,,,,,,20.0,2.0,2.0,,34.0,34.0,,,,,,9.0,36.0,76.0,,,,,,,,,,
anthony-cioffi,Anthony Cioffi,DB/LB/SAF,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avery-ellis,Avery Ellis,DB/DE/DL,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avery-williams,Avery Williams,LB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad-sinopoli,Brad Sinopoli,WR,,,,,,,,,,,,19.0,7.0,8.0,,12.0,56.0,,,,,,,,,,,,,,,,,,
brendan-gillanders,Brendan Gillanders,RB,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,,,,,,,,,,
cariel-brooks,Cariel Brooks,DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
connor-mcgough,Connor McGough,DB/DL,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corey-tindal,Corey Tindal,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danny-mason,Danny Mason,DB/DL,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devin-butler,Devin Butler,DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diontae-spencer,Diontae Spencer,WR,,,,,,,,,,,,,4.0,5.0,2.0,53.0,116.0,55.0,5.0,,,130.0,,,,1.0,2.0,14.0,2.0,,,,,,
dominique-davis,Dominique Davis,QB,,,,,,1.0,1.0,,,1.0,55.0,,,,,,,,,,,,3.0,2.0,5.0,,,,,,,,,,
don-unamba,Don Unamba,LB,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ettore-lattanzio,Ettore Lattanzio,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankie-williams,Frankie Williams,DB,,,,,,,,,,,,,,,,,,33.0,6.0,,,125.0,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,,,5.0,8.0,2.0,37.0,71.0,,,,,,,,,,2.0,12.0,2.0,,,,,,
jean-christophe-beaulieu,Jean-Christophe Beaulieu,FB/RB,,,,,,,,,,,,7.0,1.0,1.0,,2.0,7.0,,,,,,,,,,,,,,,,,,
jean-philippe-bolduc,Jean-Philippe Bolduc,DB,1.0,5.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,,,48.0,25.0,2.0,27.0,,243.0,,,,,,,,,,,,1.0,13.0,13.0,,,,,,,,,,
jonathan-newsome,Jonathan Newsome,DB/DE/DL,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-rose,Jonathan Rose,DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-johnson,Josh Johnson,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julian-howsare,Julian Howsare,DB/DE/DL,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jumal-rolle,Jumal Rolle,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-buren,Justin Buren,WR,,,,,,,,,,,,9.0,1.0,7.0,,9.0,9.0,,,,,,,,,,,,,,,,,,
justin-howell,Justin Howell,DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-brown,Kevin BROWN,LB/P/RB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyries-hebert,Kyries Hebert,LB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larry-dean,Larry Dean,LB,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lewis-ward,Lewis Ward,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,1.0,33.0,4.0,2.0,1.0
