player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,,,,,5.0,6.0,1.0,27.0,39.0,,,,,,11.0,36.0,69.0,,1.0,6.0,1.0,,,,,,
anthony-cioffi,Anthony Cioffi,LB/DB/SAF,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-covington,Anthony Covington,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-gosselin,Anthony GOSSELIN,RB/FB,,,,,,,,,,,,4.0,1.0,1.0,,4.0,4.0,,,,,,,,,,,,,,,,,,
armanti-edwards,Armanti Edwards,WR,,,,,,,,,,,,,6.0,10.0,1.0,25.0,126.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
avery-ellis,Avery Ellis,DE/DL/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad-sinopoli,Brad Sinopoli,WR,,,,,,,,,,,,13.0,4.0,4.0,,4.0,29.0,,,,,,,,,1.0,,2.0,,,,,,,
brandin-dandridge,Brandin Dandridge,DB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brendan-gillanders,Brendan Gillanders,RB,,,,,,,,,,,,4.0,3.0,3.0,,3.0,3.0,,,,,,9.0,10.0,26.0,,,,,,,,,,
caleb-holley,Caleb Holley,WR,,,,,,,,,,,,26.0,5.0,6.0,,22.0,64.0,,,,,,,,,,,,,,,,,,
chandler-worthy,Chandler Worthy,WR,,,,,,,,,,,,,2.0,6.0,1.0,21.0,21.0,17.0,1.0,,,17.0,,,,,1.0,6.0,1.0,,,,,,
cleyon-laing,Cleyon Laing,DL/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corey-tindal,Corey Tindal,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dakota-prukop,Dakota Prukop,QB,,,,,8.0,6.0,26.0,,,2.0,98.0,,,,,,,,,,,,3.0,9.0,14.0,,,,,,,,,,
deandre-farris,DeAndre Farris,WR,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
declan-cross,Declan Cross,RB/FB,,,,,,,,,,,,2.0,1.0,1.0,,,2.0,,,,,,1.0,10.0,10.0,,,,,,,,,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,,,,,,,1.0,6.0,1.0,2.0,36.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
eric-striker,Eric Striker,DL/LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ettore-lattanzio,Ettore Lattanzio,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frank-beltre,Frank Beltre,DL/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freddie-bishop,Freddie Bishop,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-morris,Greg Morris,RB,,,,,,,,,,,,6.0,2.0,2.0,,,2.0,,,,,,5.0,11.0,32.0,,,,,,,,,,
jr-tavai,J.R. Tavai,DL/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
