player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
alex-taylor,Alex Taylor,DB/RB/OT,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,9.0,,,,,,,,,,
almondo-sewell,Almondo Sewell,DT/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brian-walker,Brian Walker,DB,,5.0,5.0,,,,,,,,,,,,,,16.0,1.0,,,16.0,,,,,,,,,,,,,,
calvin-mccarty,Calvin McCarty,RB,,,,,,,,,,,,,1.0,,,,,,,,,3.0,6.0,2.0,8.0,,12.0,2.0,2.0,,,,,,
christion-jones,Christion Jones,RB,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,1.0,1.0,,,,,,,,9.0,2.0,5.0,,4.0,17.0,,,,,,,,,,,,,,,,,,,
don-unamba,Don Unamba,LB,2.0,1.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forrest-hightower,Forrest Hightower,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,20.0,7.0,8.0,,13.0,76.0,,,,,,,,,,,,,,,,,,,
hugh-oneill,Hugh O'Neill,K,,,,,,,,,,,,,,,,,67.0,5.0,5.0,74.0,296.0,,,,,,,,,,,,,,
jordan-hoover,Jordan Hoover,DB/S,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-johnson,Josh Johnson,DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jovan-santos-knox,Jovan Santos-Knox,LB,1.0,8.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kendal-vickers,Kendal Vickers,DT/DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larry-dean,Larry Dean,LB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-moore,Mike Moore,DB/DL,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monshadrik-hunter,Monshadrik Hunter,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natey-adjei,Natey Adjei,WR,,,,,,,,,,,7.0,3.0,4.0,,6.0,13.0,,,,,,,,,,,,,,,,,,,
nick-usher,Nick Usher,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ricky-collins,Ricky Collins,WR,,,,,,,,,,,65.0,5.0,6.0,,50.0,99.0,,,,,,,,,,,,,,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,1.0,1.0,23.0,6.0,3.0,3.0
shaquille-cooper,Shaquille Cooper,RB,,,,,,,,,,,13.0,3.0,3.0,,18.0,24.0,,,,,,13.0,16.0,,65.0,,,,,,,,,,
tevaun-smith,Tevaun Smith,WR,,,,,,,,,,,32.0,7.0,8.0,1.0,25.0,92.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,,37.0,27.0,2.0,65.0,1.0,321.0,,,,,,,,,,,,,,,,,,,,,,,,,
tyquwan-glass,Tyquwan Glass,DB,,,,,,,,,,,,,,,,,10.0,2.0,,,16.0,,,,,,,,,,,,,,
