player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_yds,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts
almondo-sewell,Almondo Sewell,DT/DB,1.0,6.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
arjen-colquhoun,Arjen Colquhoun,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
brian-walker,Brian Walker,DB,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
cj-gable,C.J. Gable,RB,,,,,,,,,,9.0,4.0,5.0,15.0,24.0,,,,,,8.0,11.0,33.0,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,,9.0,6.0,6.0,16.0,32.0,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,21.0,3.0,8.0,12.0,28.0,,,,,,,,,,,,,
hugh-oneill,Hugh O'Neill,K,,,,,,,,,,,,,,,63.0,1.0,1.0,16.0,63.0,,,,,,,,
jonathan-walton,Jonathan Walton,LB,,,,,,,,,,,,,,,12.0,1.0,,,12.0,,,,,,,,
jordan-hoover,Jordan Hoover,S/DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
josh-johnson,Josh Johnson,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
kendal-vickers,Kendal Vickers,DL/DT/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
kenny-stafford,Kenny Stafford,WR,,,,,,,,,,19.0,5.0,6.0,17.0,58.0,,,,,,,,,,,,,
kwaku-boateng,Kwaku Boateng,DE/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
larry-dean,Larry Dean,LB,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
martese-jackson,Martese Jackson,RB,,,,,,,,,,,,,,,21.0,2.0,,,36.0,,,,,,,,
mike-moore,Mike Moore,DL/DB,1.0,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
monshadrik-hunter,Monshadrik Hunter,DB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
natey-adjei,Natey Adjei,WR,,1.0,1.0,,,,,,,10.0,5.0,6.0,12.0,38.0,,,,,,,,,,,,,
nick-usher,Nick Usher,DL/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
ricky-collins,Ricky Collins,WR,,1.0,1.0,,,,,,,49.0,4.0,8.0,43.0,78.0,,,,,,,,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,,,,,,10.0,3.0,3.0,48.0,9.0
tanner-green,Tanner GREEN,FB/RB,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
tevaun-smith,Tevaun Smith,WR,,,,,,,,,,7.0,2.0,3.0,1.0,13.0,,,,,,,,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,,43.0,29.0,2.0,49.0,271.0,,,,,,,,,,,3.0,9.0,16.0,,,,,
tyquwan-glass,Tyquwan Glass,DB,,4.0,4.0,,,,,,,,,,,,16.0,1.0,,,16.0,,,,,,,,
vontae-diggs,Vontae Diggs,OLB/LB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
