player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_yds,score_kr,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
almondo-sewell,Almondo Sewell,DT/DB,,,1.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ante-milanovic-litre,Ante MILANOVIC-LITRE,RB,,,,,,,,,,,,,,,,,,,,,-5.0,,,,,-5.0,3.0,7.0,11.0,,,,,,,,,,
arjen-colquhoun,Arjen Colquhoun,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-smith,Brandon Smith,DB/LB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brian-walker,Brian Walker,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cj-gable,C.J. Gable,RB,,,,,,,,,,,,,,,8.0,5.0,5.0,,10.0,17.0,,,,,,,8.0,7.0,27.0,,,,,,,,,,
calvin-mccarty,Calvin McCarty,RB,,,,,,,,,,,,,,,3.0,1.0,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,
chris-casher,Chris Casher,DB/DE,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cordarro-law,Cordarro Law,DB/DL,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cory-greenwood,Cory Greenwood,LB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dashaun-amos,DaShaun Amos,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derek-wiggan,Derek Wiggan,DB/DL,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eric-rogers,Eric Rogers,WR,,,,1.0,1.0,,,,,,,,,,,2.0,3.0,1.0,13.0,33.0,,,,,,,,,,,1.0,6.0,1.0,,,,,,
hugh-oneill,Hugh O'Neill,K,,,,,,,,,,,,,,,,,,,,,72.0,4.0,4.0,169.0,1.0,264.0,,,,,,,,,,,,,
jabar-westerman,Jabar Westerman,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamar-wall,Jamar Wall,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan-hoover,Jordan Hoover,DB/S,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-johnson,Josh Johnson,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kendal-vickers,Kendal Vickers,DT/DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenny-stafford,Kenny Stafford,WR,,,,,,,,,,,,,,,27.0,4.0,5.0,,12.0,47.0,,,,,,,,,,,,,,,,,,,
kevin-elliott,Kevin Elliott,WR,,,,,,,,,,,,,,,33.0,6.0,10.0,,21.0,88.0,,,,,,,,,,,,,,,,,,,
kwaku-boateng,Kwaku Boateng,DB/DE,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larry-dean,Larry Dean,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
markeith-ambles,Markeith Ambles,WR,,,,,,,,,,,,,,,15.0,5.0,8.0,,20.0,41.0,,,,,,,1.0,5.0,5.0,,,,,,,,,,
martese-jackson,Martese Jackson,RB,,,,,,,,,,,,,,,,,,,,,20.0,3.0,,,,47.0,,,,,,,,,,,,,
michael-klukas,Michael Klukas,WR,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
mike-moore,Mike Moore,DB/DL,,,2.0,3.0,3.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-rose,Mike Rose,MLB/DB/DL/LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monshadrik-hunter,Monshadrik Hunter,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nate-holley,Nate Holley,S/SAF/LB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natey-adjei,Natey Adjei,WR,,,,,,,,,,,,,,,3.0,2.0,3.0,,3.0,6.0,,,,,,,,,,,,,,,,,,,
nick-arbuckle,Nick ARBUCKLE,QB,,,,,,,,28.0,19.0,1.0,17.0,3.0,1.0,189.0,,,,,,,,,,,,,2.0,10.0,13.0,,,,,,,,,,
nick-usher,Nick Usher,DB/DL,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raheem-wilson,Raheem Wilson,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reggie-begelton,Reggie BEGELTON,WR,,,,,,,,,,,,,,,18.0,6.0,6.0,,32.0,62.0,,,,,,,1.0,11.0,11.0,,,,,,,,,,
rene-paredes,René Paredes,K,,,,,,,,,,,,,,,,,,,,,74.0,5.0,5.0,95.0,,341.0,,,,,,12.0,,4.0,4.0,47.0,12.0,,
richard-sindani,Richard Sindani,WR,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
ricky-collins,Ricky Collins,WR,,,,,,,,,,,,,,,,6.0,7.0,2.0,42.0,148.0,,,,,,,,,,,2.0,12.0,2.0,,,,,,
rob-maver,Rob Maver,P/K,,,,,,,,,,,,,,,,,,,,,59.0,6.0,5.0,21.0,,272.0,,,,,,,,,,,,,
romar-morris,Romar Morris,RB,,,,,,,,,,,,,,,20.0,5.0,5.0,,43.0,49.0,14.0,4.0,,,,21.0,9.0,9.0,14.0,,,,,,,,,,
royce-metchie,Royce Metchie,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,1.0,31.0,4.0,2.0,1.0
shai-ross,Shai Ross,WR,,,,,,,,,,,,,,,,,,,,,28.0,2.0,,,,48.0,,,,,,,,,,,,,
terry-williams,Terry Williams,RB/WR,,,,,,,,,,,,,,,4.0,1.0,1.0,,4.0,4.0,103.0,4.0,,,1.0,169.0,1.0,1.0,1.0,1.0,,6.0,1.0,,,,,,
tevaun-smith,Tevaun Smith,WR,,,,,,,,,,,,,,,34.0,5.0,10.0,,9.0,64.0,,,,,,,,,,,,,,,,,,,
tre-roberson,Tre Roberson,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,,,,,42.0,29.0,,,1.0,2.0,373.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
tyquwan-glass,Tyquwan Glass,DB,1.0,33.0,,5.0,5.0,33.0,,,,,,,,,,,,,,,16.0,1.0,,,,16.0,,,,,,,,,,,,,
vontae-diggs,Vontae Diggs,LB/OLB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
william-langlais,William LANGLAIS,RB,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
wynton-mcmanis,Wynton McManis,LB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
