player_id,player_name,positions,pass_att,pass_cmp,pass_gp,pass_int,pass_td,pass_yds,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_td,rush_yds
aj-ouellette-2,A.J. Ouellette,DB,,,,,,,,,,,23.0,6.0,,143.0
alexandre-dupuis,Alexandre Dupuis,WR/FB,,,,,,,11.0,3.0,1.0,12.0,,,,
almondo-sewell,Almondo Sewell,DT/DB,,,,,,,,,,,1.0,14.0,1.0,1.0
andrew-harris,Andrew Harris,RB,,,,,,,7.0,11.0,1.0,116.0,116.0,7.0,3.0,623.0
ante-milanovic-litre-2,Ante Milanovic-Litre,DB,,,,,,,14.0,16.0,,149.0,41.0,14.0,,134.0
anthony-coombs,Anthony Coombs,WR/RB,,,,,,,11.0,28.0,,247.0,4.0,11.0,,-2.0
anthony-gosselin-2,Anthony Gosselin,DB,,,,,,,12.0,3.0,,14.0,,,,
antonio-pipkin-2,Antonio Pipkin,RB,,,,,,,,,,,27.0,7.0,5.0,131.0
armanti-edwards-2,Armanti Edwards,DB,,,,,,,6.0,16.0,,157.0,,,,
bj-cunningham-2,B.J. Cunningham,DB,,,,,,,9.0,36.0,1.0,474.0,,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,324.0,210.0,11.0,13.0,10.0,2594.0,,,,,4.0,11.0,,19.0
brady-oliveira,Brady OLIVEIRA,RB,,,,,,,13.0,9.0,,74.0,94.0,13.0,2.0,429.0
bralon-addison-2,Bralon Addison,DB,,,,,,,3.0,18.0,,231.0,5.0,3.0,,13.0
brandon-banks,Brandon Banks,DB,,,,,,,10.0,43.0,2.0,470.0,7.0,10.0,,64.0
brayden-lenius-2,Brayden Lenius,DB,,,,,,,14.0,37.0,4.0,471.0,,,,
brendan-gillanders-2,Brendan Gillanders,DB,,,,,,,8.0,1.0,,23.0,4.0,8.0,,7.0
brian-jones-2,Brian Jones,DB,,,,,,,1.0,2.0,,20.0,,,,
bryan-burnham-2,Bryan Burnham,DB,,,,,,,14.0,66.0,5.0,955.0,,,,
caleb-evans-2,Caleb Evans,RB,,,,,,,,,,,42.0,8.0,3.0,345.0
calvin-mccarty-2,Calvin McCarty,DB,,,,,,,8.0,1.0,,7.0,,,,
cam-phillips,Cam Phillips,WR,,,,,,,1.0,2.0,,20.0,,,,
cameron-artis-payne,Cameron Artis-Payne,RB,,,,,,,4.0,6.0,,21.0,44.0,4.0,1.0,223.0
cameron-scarlett,Cameron Scarlett,RB,,,,,,,1.0,1.0,,8.0,10.0,1.0,,57.0
chandler-worthy-2,Chandler Worthy,DB,,,,,,,9.0,16.0,2.0,203.0,2.0,9.0,,31.0
charles-nelson-2,Charles Nelson,DB,,,,,,,7.0,4.0,,29.0,1.0,7.0,,6.0
charone-peake,Charone Peake,WR,,,,,,,1.0,1.0,,5.0,,,,
chris-rainey-2,Chris Rainey,DB,,,,,,,9.0,3.0,,23.0,15.0,9.0,,61.0
christophe-normand-2,Christophe Normand,DB,,,,,,,14.0,5.0,,24.0,,,,
cody-fajardo,Cody FAJARDO,QB,404.0,281.0,13.0,11.0,14.0,2970.0,,,,,78.0,13.0,4.0,468.0
colton-hunchak-2,Colton Hunchak,DB,,,,,,,14.0,16.0,,247.0,,,,
dj-foster,D.J. Foster,RB,,,,,,,10.0,33.0,2.0,316.0,82.0,10.0,2.0,332.0
dhaquille-williams,D\'haquille Williams,WR,,,,,,,4.0,17.0,1.0,285.0,,,,
davaris-daniels-2,DaVaris Daniels,DB,,,,,,,13.0,51.0,4.0,597.0,1.0,13.0,,18.0
dakota-prukop-2,Dakota Prukop,DB,,,,,,,,,,,27.0,8.0,2.0,134.0
damion-jeanpiere,Damion Jeanpiere,WR/RB,,,,,,,6.0,13.0,1.0,197.0,1.0,6.0,,14.0
dane-evans,Dane Evans,QB,,,,,,,,,,,20.0,10.0,3.0,114.0
daniel-braverman,Daniel Braverman,WR,,,,,,,4.0,15.0,,152.0,,,,
daniel-petermann,Daniel Petermann,WR,,,,,,,10.0,16.0,2.0,148.0,,,,
daniel-williams,Daniel Williams,WR,,,,,,,3.0,5.0,,52.0,,,,
danny-vandervoort,Danny Vandervoort,WR,,,,,,,13.0,3.0,2.0,54.0,,,,
dante-absher,Dante Absher,WR,,,,,,,5.0,5.0,,90.0,,,,
darvin-adams-2,Darvin Adams,DB,,,,,,,11.0,26.0,4.0,441.0,,,,
david-mackie-2,David Mackie,DB,,,,,,,14.0,3.0,,14.0,,,,
