player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_yds,score_ir,score_kr,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adarius-pickett,Adarius Pickett,DB/LB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almondo-sewell,Almondo Sewell,DT/DB,,,2.0,3.0,,3.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avery-ellis,Avery Ellis,DB/DL/DE,,,1.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brian-harelimana,Brian Harelimana,LB,,,2.0,2.0,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chandler-worthy,Chandler Worthy,WR,,,,,,,,,,,,,,,,,,,,,,88.0,2.0,,,1.0,112.0,,,,,1.0,,6.0,1.0,,,,,,
dante-absher,Dante Absher,WR,,,,,,,,,,,,,,,,5.0,1.0,3.0,,5.0,5.0,,,,,,,,,,,,,,,,,,,,
darius-williams,Darius Williams,DB,1.0,18.0,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-côté,David Côté,K,,,,,,,,,,,,,,,,,,,,,,68.0,4.0,4.0,96.0,,261.0,,,,,,,18.0,,5.0,5.0,48.0,18.0,3.0,3.0
dominique-davis,Dominique Davis,QB,,,,,,,,,2.0,2.0,10.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
eugene-lewis,Eugene LEWIS,WR,,,,,,,,,,,,,,,,28.0,4.0,5.0,,6.0,68.0,,,,,,,,,,,,,,,,,,,,
hergy-mayala,Hergy Mayala,WR,,,,,,,,,,,,,,,,14.0,1.0,1.0,,,14.0,,,,,,,,,,,,,,,,,,,,
jeshrun-antwi,Jeshrun ANTWI,RB,,,,,,,,,,,,,,,,6.0,3.0,3.0,,10.0,10.0,,,,,,,10.0,10.0,45.0,,,,,,,,,,,
joe-zema,Joe Zema,DB,,,,,,,,,,,,,,,,,,,,,,55.0,6.0,3.0,27.0,,279.0,,,,,,,1.0,,,,,,,
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,,,,,,,,,,,,2.0,3.0,1.0,37.0,75.0,,,,,,,,,,,,1.0,6.0,1.0,,,,,,
marc-antoine-dequoy,Marc-Antoine Dequoy,DB,1.0,,,,1.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6.0,1.0,,,,,,
michael-wakefield,Michael Wakefield,DB/DL,,,2.0,4.0,,4.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-jones,Mike Jones,RB/WR,1.0,19.0,,7.0,,7.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-moore,Mike Moore,DB/DL,,,1.0,2.0,,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
najee-murray,Najee Murray,CB/DB/LB,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-usher,Nick Usher,DB/DL,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reggie-white,Reggie White,WR,,,,,,,,,,,,,,,,12.0,4.0,6.0,,16.0,21.0,,,,,,,,,,,,,,,,,,,,
rodney-randle,Rodney Randle,DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tre-watson,Tre Watson,DB/LB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,,,,,,22.0,16.0,,13.0,2.0,1.0,262.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
tyrice-beverette,Tyrice Beverette,LB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyson-philpot,Tyson PHILPOT,WR,,,,,,,,,,,,,,,,66.0,1.0,1.0,,66.0,66.0,,,,,,,,,,,,,,,,,,,,
walter-fletcher,Walter FLETCHER,RB,,,,,,,,,,,,,,,,10.0,2.0,2.0,,14.0,14.0,,,,,,,2.0,9.0,15.0,,,,,,,,,,,
wes-sutton,Wes Sutton,DB,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
