player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumble_recoveries,fumble_recovery_yards,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
addison-mccauley,Addison McCauley,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
carl-robinson-iii,Carl Robinson III,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.5,4.0,,
carver-shamelle-dumas,Carver Shamelle Dumas,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,
chase-alisauckas,Chase Alisauckas,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
cole-lundy,Cole Lundy,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,15.0,3.0,36.0,3.0,,,,,,1.0,1.0,,,,
damond-powell,Damond Powell,WR,,,,,,,,,,,,,,7.0,,,,,,,26.9,56.0,1.0,188.0,,,,,,,,9.0,9.0,0.0,9.0,1.0,2.0,6.0,6.0,1.0,12.0,,,,,,
dee-reese,Dee Reese,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,
desmond-raiford,Desmond Raiford,DL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,6.0,,,,
dren-johnson,Dren Johnson,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
erick-young,Erick Young,RB,0.0,,1.0,0.0,,,,,,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
fred-bruno,Fred Bruno,WR,,,,,,,,,,,,,0.0,,,,,,,,,,,,12.0,8.0,,41.0,6.0,113.0,,,,,,,7.0,13.0,2.0,0.0,14.0,,,,,,
jay-palmer,Jay Palmer,RB,1.0,,,,3.0,35.0,2.0,,,,,,,,11.0,53.0,0.0,1.0,424.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,5.0,5.0
jaylon-abdual-karim,Jaylon Abdual-Karim,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,12.0,0.0,16.0,2.0,,,,,,,,,,,
josh-jackson,Josh Jackson,DL/P,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,
joshua-neal,Joshua Neal,WR,1.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,21.5,41.0,2.0,43.0,2.0,,,,,,2.0,3.0,,,,
juan-moore,Juan Moore,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,18.0,1.0,18.0,1.0,8.0,8.0,1.0,0.0,8.0,,,,,,
justin-youmes,Justin Youmes,OL,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,28.0,17.0,,24.0,3.0,161.0,,,,,,,3.0,7.0,10.0,2.0,30.0,1.0,1.0,,,,
kevin-wade,Kevin Wade,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,1.0,5.0,,
lakedrick-holmes,Lakedrick Holmes,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
landon-freeman,Landon Freeman,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,,,,,,,,,,,,,,10.0,42.2,0.0,2.0,422.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,10.0
larry-moton,Larry Moton,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
martevious-jeffries,Martevious Jeffries,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
metoriah-faoliu,Metoriah Faoliu,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,2.0,0.5,2.0,,
michael-arceneaux,Michael Arceneaux,WR,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
miqueal-pillow-smiley,Miqueal Pillow-Smiley,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,5.0,6.0,,,,
orlando-doss,Orlando Doss,WR,0.0,,,,,,,,,,,,,1.0,,,,,,,12.0,12.0,0.0,12.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
reggie-young,Reggie Young,QB,0.0,,,,,,,,,,,,,4.0,,,,,,,9.0,12.0,0.0,36.0,,,,,,,,7.0,7.0,0.0,7.0,1.0,-1.0,2.0,5.0,0.0,-5.0,1.0,1.0,,,,
