player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
antonio-hill,Antonio Hill,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,1.0,,,,
cam-hale-ii,Cam Hale II,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,1.0,5.0,5.0,1.0,2.0,,
daequan-richie,Daequan Richie,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,26.0,1.0,36.0,2.0,,,,,,,,,,,,,
dawandrick-crockett,Dawandrick Crockett,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
devond-blair-jr,Devond Blair Jr.,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,21.0,0.0,25.0,2.0,,,,,,,,,,,,,
donyai-dixon,Donyai Dixon,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,1.0,4.0,2.0,9.0,,
easias-gandy,Easias Gandy,LB,2.0,1.0,0.0,,,,,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,28.0,17.0,,31.0,4.0,199.0,,,,,,,6.3,14.0,8.0,1.0,50.0,,,2.0,4.0,,,0.0,0.0
everitt-cunningham,Everitt Cunningham,DL,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,14.6,37.0,2.0,73.0,5.0,,,,,,,,,,,,,
greg-dent,Greg Dent,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,16.0,1.0,47.0,7.0,1.3,5.0,9.0,1.0,12.0,,,,,,,,
isaiah-robinson,Isaiah Robinson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,31.0,2.0,66.0,4.0,1.3,5.0,3.0,0.0,4.0,,,,,,,,
jack-robinson,Jack Robinson,DL,,,,1.0,25.0,1.0,,,,,,,,,,,8.0,58.0,4.0,1.0,348.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
jai-jones,Jai Jones,LB,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,22.0,11.0,,37.0,3.0,163.0,,,,,,,5.8,7.0,5.0,1.0,29.0,,,,,,,,
james-summers,James Summers,QB/WR/LB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,5.0,,,,
jamon-langford,Jamon Langford,WR,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,2.0,,,,,,,0.0,0.0
jeremiah-flores,Jeremiah Flores,WR,,,,2.0,23.0,1.0,,,,,,,,,,,5.0,51.1,2.0,1.0,358.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0
jonathan-cardoza-chicas,Jonathan Cardoza-Chicas,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,1.0,0.5,1.0,,
jordan-barton,Jordan Barton,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,4.0,1.0,3.0,,
justin-clarkson,Justin Clarkson,WR,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,1.0,,
kaleb-macaway,Kaleb Macaway,WR,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,4.0,,,,
khalil-trotman,Khalil Trotman,QB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,12.0,2.0,3.0,,
levonta-hall,Levonta Hall,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,23.0,0.0,29.0,2.0,-1.0,0.0,1.0,0.0,-1.0,,,,,,,,
ponce-deleon,Ponce Deleon,DB,1.0,,,,,,,,,,,,,,,4.0,,,,,,,15.8,21.0,0.0,63.0,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
rashad-flanders,Rashad Flanders,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,6.0,1.0,1.0,,
raymond-alexander,Raymond Alexander,DL,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
sam-moala,Sam Moala,LB,0.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,9.0,7.0,0.0,30.0,,,1.0,1.0,,,,
simeon-burns,Simeon Burns,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
stanley-williams,Stanley Williams,RB,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,4.0,8.0,1.0,5.0,,
tabyus-taylor,Tabyus Taylor,RB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
travion-mosby,Travion Mosby,DB,0.0,,,,,,,,,,,,,,,1.0,,,,,,,15.0,15.0,0.0,15.0,,,,,,,,14.3,20.0,1.0,86.0,6.0,4.0,6.0,2.0,0.0,8.0,,,1.0,1.0,,,,
vincent-espinoza,Vincent Espinoza,QB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,4.0,9.0,1.5,3.0,,
