player_id,player_name,positions,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
calvin-lowe,Calvin Lowe,WR,,,,,0.0,,,,,,,,,,,,1.0,0.0,,0.0,0.0,0.0,,,,,,4.0,7.0,2.0,2.0,8.0,,,,,,,,
cameron-alves,Cameron Alves,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
cameron-hunt-ii,Cameron Hunt II,LB,,,,,,,,,,,,,,,,,,,,,,,18.3,42.0,1.0,55.0,3.0,,,,,,,,,,,,,
carlos-vazquez,Carlos Vazquez,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
colby-thomas,Colby Thomas,G/OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.5,0.0,,
cornel-jones,Cornel Jones,LB,5.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,8.0,0.5,0.0,,
dequan-dudley,DeQuan  Dudley,WR,,,,,,3.0,,,,,,,13.3,18.0,0.0,40.0,,,,,,,7.0,15.0,0.0,28.0,4.0,1.7,2.0,3.0,0.0,5.0,,,,,,,,
demetrich-anderton,Demetrich Anderton,OL,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,0.5,0.0,,
dontrell-lucky-morrison,"Dontrell ""Lucky"" Morrison",DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,10.0,1.0,0.0,,
idrissa-nikiema,Idrissa Nikiema,K,,1.0,32.0,1.0,,,7.0,44.3,0.0,0.0,310.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
jahoiyakim-afoa,Jahoiyakim Afoa,K,,,,,,,,,,,,,,,,,,,,,,,10.7,24.0,1.0,32.0,3.0,,,,,,,,,,,,,
jaqae-alfred,Jaqae Alfred,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,15.0,11.0,1.0,35.0,,,,,,,,
jerrime-neal,Jerrime Neal,WR,,3.0,32.0,2.0,,,10.0,43.0,0.0,1.0,258.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
john-williams,John Williams,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
jonathan-adams,Jonathan Adams,WR,,,,,,1.0,,,,,,,10.0,10.0,0.0,10.0,,,,,,,11.5,15.0,1.0,23.0,2.0,,,,,,,,,,,,,
joshua-hollins,Joshua Hollins,QB,,,,,,,,,,,,,,,,,,,,,,,20.7,28.0,1.0,62.0,3.0,7.0,7.0,1.0,0.0,7.0,,,,,,,,
justin-gilbert,Justin Gilbert,DB,,,,,0.0,,,,,,,,,,,,20.0,13.0,,42.0,3.0,179.0,,,,,,3.8,18.0,4.0,0.0,15.0,,,,,,,,
kameronn-joseph,Kameronn Joseph,WR,7.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,6.0,13.0,,,,
khalil-steward-injured-reserve,Khalil Steward (Injured Reserve),DB,,,,,,2.0,,,,,,,12.0,20.0,0.0,24.0,,,,,,,7.0,9.0,0.0,35.0,5.0,2.5,7.0,8.0,0.0,20.0,,,,,,,,
kindred-evans,Kindred Evans,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
ladon-hudson,Ladon Hudson,LB,7.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,6.0,13.0,3.0,0.0,,
