player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
addison-mccauley,Addison McCauley,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,29.0,2.0,80.0,3.0,,,,,,,,,,,
alex-steiner,Alex Steiner,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.5,0.0,,
antonio-hill,Antonio Hill,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
ben-woodard,Ben Woodard,,0.0,,,4.0,15.0,2.0,,,,,,,,,,,10.0,49.4,0.0,0.0,346.0,7.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,6.0,4.0
chase-alisauckas,Chase Alisauckas,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,0.0,,
deshayvion-mcrath,De'Shayvion Mcrath,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,14.0,0.0,22.0,4.0,0.5,1.0,2.0,0.0,1.0,,,,,,
dee-reese,Dee Reese,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
desmond-raiford,Desmond Raiford,DL,,,,,,,,,,,,,,,,3.0,,,,,,,15.0,25.0,0.0,45.0,,,,,,,,,,,,,,,,,,,,,,
devond-blair-jr,Devond Blair Jr.,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
dmorriyon-breaux,Dmorriyon Breaux,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
dren-johnson,Dren Johnson,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
ivan-corbin,Ivan Corbin,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,3.0,,,,
jarome-johnson,Ja\'Rome Johnson,QB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,22.0,13.0,,29.0,3.0,169.0,,,,,,3.3,15.0,6.0,1.0,20.0,,,,,,
jai-jones,Jai Jones,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
jamell-winn-ii,Jamell Winn Ii,DL,0.0,1.0,0.0,,,,,,,,,42.0,42.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
james-pitre,James Pitre,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,2.0,1.0,10.5,12.0,2.0,0.0,21.0,1.0,1.0,,,,
james-taylor,James Taylor,OL,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,1.0,,0.0,0.0,-13.0,,,,,,,,,,,,,,,,
jayvon-johnson,Jayvon Johnson,LB,0.0,,,,,,,,,,,,,,,6.0,,,,,,,30.2,50.0,1.0,181.0,,,,,,,15.5,16.0,0.0,31.0,2.0,8.3,15.0,4.0,0.0,33.0,1.0,1.0,,,,
josh-best,Josh Best,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,0.0,,
justin-youmes,Justin Youmes,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
keshaun-taylor,KESHAUN TAYLOR,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,0.0,10.0,1.0,,,,,,,,,,,
kevin-wade,Kevin Wade,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
