player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
alex-steiner,Alex Steiner,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,2.0,0.0,,
andre-thomas-cobb,Andre Thomas-Cobb,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
bizzet-woodley,Bizzet Woodley,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,17.0,0.0,30.0,3.0,5.5,7.0,2.0,0.0,11.0,,,,,,,,
byron-cooper,Byron Cooper,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
christian-stokley,Christian Stokley,WR,,,,,2.0,0.0,0.0,,,,,,,,,,,1.0,47.5,0.0,0.0,95.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
cordarius-wright,Cor'Darius Wright,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
daniel-byse,DANIEL BYSE,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,1.0,0.0,,
demario-mays,Demario Mays,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,1.0,0.0,,
demry-croft,Demry Croft,QB,,,,,,,,,,,1.0,0.0,,,,,4.0,,,,,,,13.5,17.0,0.0,54.0,,,,,,,6.5,10.0,0.0,13.0,2.0,3.7,10.0,17.0,1.0,63.0,,,,,,,,
devond-blair-jr,Devond Blair Jr.,WR,1.0,1.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,1.0,0.0,,
devonte-omalley,Devonte O\'MALLEY,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.5,2.0,3.0,0.5,0.0,,
evan-lewandowski,Evan Lewandowski,QB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.5,3.0,6.0,1.5,0.0,,
horatio-smith,Horatio Smith,WR,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,18.0,7.0,,17.0,0.0,66.0,,,,,,-0.2,9.0,9.0,0.0,-2.0,,,,,,,,
ivan-corbin,Ivan Corbin,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,2.0,3.0,2.0,0.0,,
jaylen-johnson,JAYLEN JOHNSON,P,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
jai-jones,Jai Jones,LB,1.0,,1.0,0.0,,,,,,,,,14.0,14.0,14.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,5.0,,,,
james-pitre,James Pitre,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,7.0,0.0,13.0,2.0,3.5,4.0,2.0,0.0,7.0,,,0.0,1.0,,,,
james-riddle,James Riddle,LB,0.0,,,,,,,,1.0,0.0,,,,,,,1.0,,,,,,,16.0,16.0,0.0,16.0,,,,,,,9.5,11.0,0.0,19.0,2.0,,,,,,,,1.0,1.0,,,,
james-taylor,James Taylor,OL,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,8.0,6.0,,23.0,1.0,56.0,,,,,,8.5,18.0,2.0,1.0,17.0,,,,,,,,
jayvon-johnson,Jayvon Johnson,LB,,,,,,,,,,,,,,,,,2.0,,,,,,,15.5,19.0,0.0,31.0,,,,,,,11.2,23.0,2.0,56.0,5.0,10.0,28.0,9.0,0.0,90.0,,,,,,,,
kobe-gatson,Kobe Gatson,QB,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,2.0,,11.0,0.0,17.0,,,,,,6.0,7.0,2.0,0.0,12.0,,,,,,,,
kyler-henson,Kyler Henson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,6.0,1.0,5.0,2.0,9.0,9.0,1.0,0.0,9.0,,,,,,,,
malik-milloy,Malik Milloy,DL,3.0,,1.0,0.0,,,,1.0,,,,,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,11.0,,,,
marvin-taylor,Marvin Taylor,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,,,,
nathan-rosario-santos,Nathan Rosario Santos,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.5,0.0,,
otis-odom,Otis Odom,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,13.0,1.0,25.0,2.0,,,,,,,,,,,,,
