player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
brian-robinson,Brian Robinson,RB/WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
carl-robinson-iii,Carl Robinson III,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,3.0,2.0,0.0,,
charles-baker,Charles Baker,OL,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,0.0,,0.0,0.0,0.0,15.0,43.0,2.0,60.0,4.0,,,,,,,,,,,,,
chris-perry,Chris Perry,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,1.0,0.0,,
cole-lundy,Cole Lundy,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,12.8,18.0,1.0,51.0,4.0,,,,,,,,0.0,0.0,,,,
damond-powell,Damond Powell,WR,,,,,,,,,,,,,,,,1.0,,,,,,,15.0,15.0,0.0,15.0,,,,,,,18.0,18.0,0.0,18.0,1.0,8.6,25.0,11.0,3.0,95.0,,,,,,,,
david-ross,David Ross,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,20.0,2.0,30.0,3.0,,,,,,,,,,,,,
donovan-johnson,Donovan Johnson,WR,3.0,1.0,0.0,,,,,,,,,7.0,7.0,7.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,5.0,,,,
fred-bruno,Fred Bruno,WR,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,23.0,20.0,,35.0,6.0,296.0,,,,,,3.7,15.0,6.0,1.0,22.0,,,,,,,,
gibson-ziah,Gibson Ziah,DL,,,,3.0,0.0,0.0,,,,,,,,,,,6.0,43.3,0.0,0.0,390.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0
jamarii-milliken,Jamarii Milliken,DB/LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
james-summers,James Summers,QB/WR/LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,32.0,2.0,69.0,4.0,,,,,,,,1.0,1.0,,,,
jared-bronson,Jared Bronson,OL,,,,,,,,,,,,,,,,3.0,,,,,,,12.0,13.0,0.0,36.0,,,,,,,2.4,13.0,0.0,12.0,5.0,1.8,9.0,5.0,1.0,9.0,,,,,,,,
jarmon-fortson,Jarmon Fortson,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,0.0,,
jatavius-stewart,Jatavius Stewart,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,1.0,0.0,6.0,,,,,,,,
jaylen-perkins,Jaylen Perkins,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,1.0,8.0,1.0,,,,,,,,1.0,2.0,,,,
joshua-neal,Joshua Neal,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,35.0,2.0,117.0,6.0,-3.0,0.0,1.0,0.0,-3.0,,,1.0,2.0,1.0,0.0,,
juan-moore,Juan Moore,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,23.0,2.0,102.0,8.0,,,,,,,,1.0,2.0,,,,
ladon-hudson,Ladon Hudson,LB,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,5.0,5.0,1.0,0.0,,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,,,,,,,,,1.0,1.0,,,,0.0,,10.0,43.0,0.0,0.0,387.0,9.0,,,,,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,10.0,10.0
marco-lee,Marco Lee,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
marcus-brooks,Marcus Brooks,QB,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
maurice-jackson,Maurice Jackson,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,1.0,6.0,6.0,3.0,0.0,,
metoriah-faoliu,Metoriah Faoliu,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
michael-miller,Michael Miller,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,1.0,0.0,,
rudy-ngougni,Rudy Ngougni,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,1.0,0.0,,
sammie-epps,Sammie Epps,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,1.0,,,,
shane-meerbott,Shane Meerbott,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
shaquan-curenton,Shaquan Curenton,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,27.0,16.0,,43.0,6.0,171.0,,,,,,6.5,24.0,14.0,2.0,91.0,,,,,,,,
tabyus-taylor,Tabyus Taylor,RB,,,,,,,,,,,,,,,,1.0,,,,,,,6.0,6.0,0.0,6.0,,,,,,,,,,,,-4.0,0.0,1.0,0.0,-4.0,,,,,,,,
trae-self,Trae Self,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,3.0,,,,
tremell-gooden,Tremell Gooden,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
tyalen-shaw,Tyalen Shaw,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
xaiver-spann,Xaiver Spann,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,4.0,,,,
