player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,tackles
addison-mccauley,Addison McCauley,K,0.0,,0.0,0.0,0.0,0.0,2.0,25.0,500.0,1.0,0.0,0.0,,,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
ashton-henry,Ashton Henry,K,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
blaine-espinosa,Blaine Espinosa,QB,,333.0,,,,,,,,,,,0.0,,,,,,,,,27.0,9.0,18.0,21.0,11.0,69.0,0.0,2.0,74.0,95.0,0.0,,,,,,,3.0,5.0,3.0,0.0,0.0,8.0,,,
christian-atkins,Christian Atkins,LB,1.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
christian-stokley,Christian Stokley,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,21.0,0.0,1.0,23.0,2.0,,,,,,,,,
dnerius-antoine,D'Nerius Antoine,WR,0.0,,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,2.0,,,,1.0,7.0,0.0,3.0,,,,,,,,,,,,18.0,18.0,0.0,0.0,18.0,1.0,6.0,11.0,16.0,0.0,3.0,88.0,0.0,0.0,1.0
desmond-raiford,Desmond Raiford,DL,3.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
dmorriyon-breaux,Dmorriyon Breaux,DB,5.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0
dominique-pugh,Dominique Pugh,DB,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
jacobe-thomas,Jacobe Thomas,DB,1.0,,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
jakaylen-jackson,Jakaylen Jackson,DB,2.0,,1.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
jamarsha-huglon,Jamarsha Huglon,WR,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,,,,31.0,31.0,0.0,31.0,,,,,,,,,,,,,,,,,,9.0,9.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0
jay-palmer,Jay Palmer,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,4.0,0.0,0.0,9.0,,,
