player_id,player_name,positions,fg_made,pass_td,pat_made,recv_td,rush_td
bryce-holliday,Bryce Holliday,QB,,,,1.0,
isaiah-robinson,Isaiah Robinson,WR,,,,2.0,
jeremiah-flores,Jeremiah Flores,WR,,,1.0,,
kaleb-macaway,Kaleb Macaway,WR,,,,,1.0
ladarius-galloway,LaDarius Galloway,RB,,,,,1.0
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,2.0,,,
lorenzo-brown,Lorenzo Brown,QB,,1.0,,,
prince-shonola,Prince Shonola,WR,5.0,,,,
sean-connaghan,Sean Connaghan,LB,2.0,,,,
steven-fluker,Steven Fluker,OL,,,1.0,,2.0
