player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
aj-cochran,A.J. Cochran,CB,0.0,-0.0562,23.3416,11.0235,0.0,,,-0.5523,,0.0,,2.0,1489.0,0.7702,618.0,-19.2104,-3.1085,0.0,,7.0,,3.0,0.0562,0.5523,,-0.1603,0.6085,0.8013,0.3327
alexander-lópez,Alexander López,W,0.0,-0.4247,19.551,2.2166,0.0,,,-0.1817,,0.0,,8.0,301.0,0.8194,155.0,-1.8747,-1.2095,0.0,,6.0,,2.0,0.4247,0.1817,,-0.1121,0.6065,0.8315,0.0577
andrew-driver,Andrew Driver,CM,0.0,-2.8743,17.6097,1.8693,0.0,,,-2.6107,,0.0,,31.0,2060.0,0.749,757.0,-1.4553,-0.1922,0.0,,29.0,,7.0,2.8743,2.6107,,-1.3208,5.485,0.7509,1.6848
boniek-garcía,Boniek García,CM,1.0,-2.9843,17.6671,3.8771,2.0,,,-1.4422,,3.0,,50.0,2373.0,0.787,1127.0,-7.1636,-0.6356,0.2278,,25.0,,9.0,3.9843,3.4422,,0.8422,7.4265,0.7934,1.1105
brad-davis,Brad Davis,W,9.0,1.5689,20.0891,2.2745,4.0,,,-0.677,,13.0,,69.0,2190.0,0.7482,1124.0,28.7716,2.5598,2.659,,39.0,,15.0,7.4311,4.677,,-0.5112,12.1081,0.7226,3.2301
brian-ownby,Brian Ownby,W,0.0,-0.5024,17.4504,0.0334,0.0,,,-0.0652,,0.0,,1.0,416.0,0.7134,164.0,-1.3803,-0.8416,0.0,,1.0,,1.0,0.5024,0.0652,,-0.0281,0.5676,0.7218,0.0605
corey-ashe,Corey Ashe,FB,2.0,0.5432,19.5361,6.1843,0.0,,,-0.2861,,2.0,,12.0,2034.0,0.7528,979.0,-28.1877,-2.8792,0.0,,8.0,,2.0,1.4568,0.2861,,-0.2346,1.7428,0.7816,0.0505
damarcus-beasley,DaMarcus Beasley,FB,0.0,-0.433,18.0939,5.3488,0.0,,,-0.2231,,0.0,,8.0,886.0,0.8369,564.0,17.9047,3.1746,0.0,,5.0,,1.0,0.433,0.2231,,-0.1941,0.6562,0.8051,0.1676
david-horst,David Horst,CB,0.0,-0.0885,23.4465,9.3476,1.0,,,-0.9768,,1.0,,2.0,2856.0,0.7967,979.0,-1.9268,-0.1968,0.5026,,15.0,,1.0,0.0885,1.9768,,-1.0995,2.0653,0.7987,1.2883
eric-brunner,Eric Brunner,CB,0.0,-0.0181,23.6856,8.5777,0.0,,,0.0,,0.0,,1.0,329.0,0.7939,131.0,-5.2831,-4.0329,0.0,,0.0,,0.0,0.0181,0.0,,0.0,0.0181,0.8342,0.0
giles-barnes,Giles Barnes,ST,4.0,0.1184,18.2673,1.4017,11.0,,,-1.4352,,15.0,,36.0,3263.0,0.7428,1003.0,-14.0274,-1.3985,5.747,,113.0,,42.0,3.8816,12.4352,,2.3313,16.3167,0.7568,6.8821
jason-johnson,Jason Johnson,LB,0.0,-0.7766,18.0629,1.8407,0.0,,,-0.2391,,0.0,,2.0,223.0,0.6377,69.0,-6.4136,-9.2951,0.0,,5.0,,2.0,0.7766,0.2391,,-0.1558,1.0157,0.7306,0.0362
jermaine-taylor,Jermaine Taylor,P,0.0,-0.4859,23.6603,7.7507,0.0,,,-1.2338,,0.0,,5.0,2175.0,0.8117,1009.0,-11.966,-1.1859,0.0,,9.0,,0.0,0.4859,1.2338,,-1.2338,1.7197,0.8236,0.7501
kofi-sarkodie,Kofi Sarkodie,FB,3.0,1.2053,20.5494,6.8998,0.0,,,-0.247,,3.0,,26.0,3108.0,0.7741,1589.0,6.5541,0.4125,0.0,,5.0,,1.0,1.7947,0.247,,-0.1458,2.0417,0.7699,0.157
luis-garrido,Luis Garrido,CM,0.0,-0.2034,18.4438,4.4176,0.0,,,-0.0998,,0.0,,1.0,978.0,0.8651,541.0,-5.5895,-1.0332,0.0,,6.0,,2.0,0.2034,0.0998,,-0.0381,0.3032,0.8754,0.0775
mark-sherrod,Mark Sherrod,ST,1.0,0.5804,15.0596,2.2451,2.0,,,0.7765,,3.0,,4.0,262.0,0.7143,77.0,5.9544,7.7329,1.3042,,9.0,,2.0,0.4196,1.2235,,0.1465,1.6431,0.637,0.8082
omar-cummings,Omar Cummings,W,3.0,-0.2498,17.1881,1.5764,3.0,,,-0.8212,,6.0,,23.0,1379.0,0.6724,348.0,-18.6273,-5.3527,0.9882,,35.0,,14.0,3.2498,3.8212,,0.9407,7.071,0.7259,2.8064
ricardo-clark,Ricardo Clark,CM,2.0,0.3874,18.3024,6.5463,4.0,,,-0.1103,,6.0,,18.0,2242.0,0.7822,969.0,-12.6151,-1.3019,2.224,,50.0,,15.0,1.6126,4.1103,,1.0535,5.7229,0.7953,2.3855
servando-carrasco,Servando Carrasco,DM,0.0,-0.2692,22.9922,6.3542,0.0,,,-0.1174,,0.0,,4.0,875.0,0.8276,464.0,-4.7463,-1.0229,0.0,,5.0,,1.0,0.2692,0.1174,,-0.1007,0.3866,0.8378,0.0442
tally-hall,Tally Hall,GK,0.0,-0.1858,46.8277,41.1235,0.0,43.0,4.3425,0.0,1.1123,0.0,0.1043,2.0,2316.0,0.566,924.0,-20.1408,-2.1797,0.0,67.0,0.0,115.0,0.0,0.1858,0.0,38.6575,0.0,0.1858,0.5878,0.0
tony-cascio,Tony Cascio,CM,0.0,-0.3031,16.5261,3.7835,0.0,,,-0.2973,,0.0,,8.0,375.0,0.75,124.0,-0.0916,-0.0739,0.0,,8.0,,1.0,0.3031,0.2973,,-0.2715,0.6004,0.7507,0.1458
tyler-deric,Tyler Deric,GK,0.0,-0.1071,44.1293,37.6081,0.0,14.0,-2.8022,0.0,0.8332,0.0,0.1132,1.0,1000.0,0.5976,410.0,-3.5046,-0.8548,0.0,36.0,0.0,53.0,0.0,0.1071,0.0,16.8022,0.0,0.1071,0.6061,0.0
warren-creavalle,Warren Creavalle,DM,0.0,-0.2042,20.149,5.7614,0.0,,,-0.065,,0.0,,6.0,956.0,0.807,487.0,-7.3364,-1.5065,0.0,,2.0,,2.0,0.2042,0.065,,0.3045,0.2692,0.822,0.0505
will-bruin,Will Bruin,ST,1.0,-2.4624,13.3606,1.3351,10.0,,,-0.0009,,11.0,,34.0,2226.0,0.6897,522.0,-27.4931,-5.2669,3.9075,,68.0,,31.0,3.4624,10.0009,,0.4865,13.4633,0.7423,5.3468
