player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
aaron-maund,Aaron Maund,CB,0.0,0.0,24.7268,13.008,0.0,,,-0.3048,,0.0,,0.0,1899.0,0.7948,619.0,9.5877,1.5489,0.0,,5.0,,1.0,0.0,0.3048,,-0.2821,0.3048,0.7793,0.1865
boyd-okwuonu,Boyd Okwuonu,FB,0.0,0.0,13.8055,5.3353,0.0,,,0.0,,0.0,,0.0,106.0,0.7027,37.0,-4.0388,-10.9156,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.8119,0.0
chris-schuler,Chris Schuler,CB,0.0,-0.4706,23.7439,11.8754,0.0,,,-0.5713,,0.0,,2.0,390.0,0.7551,147.0,0.8353,0.5682,0.0,,5.0,,0.0,0.4706,0.5713,,-0.5713,1.0419,0.7494,0.3248
chris-wingert,Chris Wingert,FB,0.0,-0.4708,19.19,8.92,0.0,,,-0.3565,,0.0,,8.0,1698.0,0.7353,933.0,4.2366,0.4541,0.0,,6.0,,1.0,0.4708,0.3565,,-0.1951,0.8273,0.7307,0.1464
demar-phillips,Demar Phillips,FB,4.0,1.782,18.38,5.8885,0.0,,,-0.4208,,4.0,,14.0,2461.0,0.7522,1590.0,13.8002,0.8679,0.0,,9.0,,3.0,2.218,0.4208,,0.0445,2.6389,0.7435,0.3337
devon-sandoval,Devon Sandoval,ST,0.0,-0.0591,14.0057,-1.7209,0.0,,,-0.1665,,0.0,,2.0,289.0,0.7157,102.0,-6.0926,-5.9731,0.0,,3.0,,0.0,0.0591,0.1665,,-0.1665,0.2257,0.7754,0.1275
javier-morales,Javier Morales,AM,3.0,-1.4898,18.6068,4.3225,4.0,,,-0.5295,,7.0,,73.0,2434.0,0.8224,1903.0,41.1896,2.1645,1.0433,,38.0,,13.0,4.4898,4.5295,,-0.1163,9.0194,0.8007,1.8711
jeff-attinella,Jeff Attinella,GK,0.0,0.0,52.3198,47.1,0.0,5.0,-0.0929,0.0,0.9818,0.0,0.0769,0.0,395.0,0.3923,130.0,-10.5848,-8.1421,0.0,8.0,0.0,13.0,0.0,0.0,0.0,5.0929,0.0,0.0,0.4737,0.0
joao-plata,Joao Plata,AM,8.0,2.3343,17.7031,0.951,10.0,,,-1.0114,,18.0,,60.0,2756.0,0.7598,1124.0,7.2737,0.6471,6.2518,,79.0,,34.0,5.6657,11.0114,,0.4303,16.6771,0.7533,7.6787
john-stertzer,John Stertzer,CM,1.0,0.3306,19.758,5.4895,0.0,,,-0.8741,,1.0,,4.0,870.0,0.8205,390.0,-3.5643,-0.9139,0.0,,5.0,,3.0,0.6694,0.8741,,-0.0796,1.5436,0.8297,0.6345
jordan-allen,Jordan Allen,W,0.0,-0.5816,18.4429,1.6239,3.0,,,1.5429,,3.0,,12.0,1234.0,0.7862,407.0,3.0798,0.7567,1.4682,,16.0,,8.0,0.5816,1.4571,,0.0966,2.0387,0.7787,0.7336
juan-manuel-martínez,Juan Manuel Martínez,W,1.0,-2.435,15.0811,3.5946,7.0,,,0.6062,,8.0,,27.0,2759.0,0.7546,1247.0,-17.1036,-1.3716,5.1852,,47.0,,17.0,3.435,6.3938,,-1.1031,9.8289,0.7683,4.5368
justen-glad,Justen Glad,CB,1.0,0.518,22.4083,8.3894,2.0,,,1.4778,,3.0,,5.0,2721.0,0.8424,1066.0,40.2791,3.7785,1.501,,4.0,,3.0,0.482,0.5222,,0.8204,1.0042,0.8046,0.4337
jámison-olave,Jámison Olave,CB,0.0,-0.0457,24.188,8.8899,2.0,,,0.9565,,2.0,,1.0,1600.0,0.8136,499.0,13.6136,2.7282,0.7141,,14.0,,7.0,0.0457,1.0435,,1.2852,1.0893,0.7863,0.3945
kyle-beckerman,Kyle Beckerman,DM,1.0,-1.1705,21.6255,8.5541,0.0,,,-2.0895,,1.0,,26.0,2646.0,0.821,1665.0,10.5496,0.6336,0.0,,46.0,,13.0,2.1705,2.0895,,-1.2492,4.26,0.8147,1.5067
luke-mulholland,Luke Mulholland,DM,1.0,0.1147,18.5556,6.2518,4.0,,,2.0343,,5.0,,16.0,2219.0,0.7808,1113.0,-15.5643,-1.3984,2.233,,44.0,,9.0,0.8853,1.9657,,0.5318,2.8509,0.7948,1.1802
nick-rimando,Nick Rimando,GK,0.0,-0.1677,42.3056,34.8598,0.0,42.0,-0.2322,0.0,0.9945,0.0,0.1286,4.0,3022.0,0.6224,1017.0,-31.8888,-3.1356,0.0,91.0,0.0,140.0,0.0,0.1677,0.0,42.2322,0.0,0.1677,0.6538,0.0
olmes-garcía,Olmes García,ST,1.0,-0.7756,14.6604,1.1315,1.0,,,-0.6499,,2.0,,15.0,1184.0,0.6445,301.0,-13.0846,-4.347,0.4861,,19.0,,9.0,1.7756,1.6499,,-0.5449,3.4255,0.688,1.089
omar-holness,Omar Holness,AM,0.0,-0.0584,18.8261,5.324,0.0,,,-0.2481,,0.0,,2.0,324.0,0.7238,105.0,-7.2335,-6.889,0.0,,5.0,,0.0,0.0584,0.2481,,-0.2481,0.3064,0.7927,0.1536
pedro-baez,Pedro Baez,ST,0.0,0.0,6.9745,-5.06,0.0,,,0.0,,0.0,,0.0,9.0,1.0,1.0,0.126,12.5977,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.874,0.0
phanuel-kavita,Phanuel Kavita,CB,0.0,0.0,17.5707,7.8167,0.0,,,0.0,,0.0,,0.0,100.0,0.6296,27.0,-2.5564,-9.4683,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.7243,0.0
sunny,Sunny,DM,1.0,0.6656,18.9387,3.5018,1.0,,,0.2594,,2.0,,5.0,1285.0,0.8543,604.0,-4.5952,-0.7608,0.7921,,12.0,,3.0,0.3344,0.7406,,0.262,1.075,0.8619,0.5622
