player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
aaron-kovar,Aaron Kovar,W,2.0,1.0001,15.964,-2.5973,0.0,,,-1.2155,,2.0,,7.0,595.0,0.7857,238.0,0.9343,0.3926,0.0,,17.0,,5.0,0.9999,1.2155,,-0.6513,2.2153,0.7818,0.4645
adama-diomande,Adama Diomande,ST,4.0,2.0369,14.8771,-0.1637,12.0,,,3.0255,,16.0,,10.0,1411.0,0.7185,270.0,-11.5184,-4.2661,5.6178,,39.0,,22.0,1.9631,8.9745,,0.8357,10.9376,0.7612,5.0086
andré-horta,André Horta,CM,0.0,-0.1127,20.6307,3.1072,0.0,,,-0.5677,,0.0,,4.0,371.0,0.8655,238.0,-1.1365,-0.4775,0.0,,11.0,,2.0,0.1127,0.5677,,-0.5458,0.6804,0.8703,0.2592
benny-feilhaber,Benny Feilhaber,CM,2.0,-2.8775,19.5531,4.4411,3.0,,,1.1826,,5.0,,40.0,3125.0,0.8601,2151.0,27.4173,1.2746,1.6499,,39.0,,12.0,4.8775,1.8174,,0.4978,6.6949,0.8473,0.745
calum-mallace,Calum Mallace,CM,0.0,-0.0538,18.2497,-4.2345,0.0,,,-0.0439,,0.0,,1.0,50.0,0.8077,26.0,-0.8978,-3.4532,0.0,,1.0,,0.0,0.0538,0.0439,,-0.0439,0.0978,0.8422,0.0
carlos-vela,Carlos Vela,W,11.0,0.7775,20.8632,3.7878,14.0,,,2.1016,,25.0,,83.0,2718.0,0.7604,1252.0,9.2769,0.741,7.0306,,102.0,,45.0,10.2225,11.8984,,-0.6554,22.1209,0.753,6.391
christian-ramírez,Christian Ramírez,ST,0.0,-0.0335,13.9241,-0.7876,3.0,,,1.5853,,3.0,,1.0,347.0,0.7174,46.0,-3.43,-7.4565,0.9738,,9.0,,5.0,0.0335,1.4147,,0.5928,1.4482,0.792,0.5742
danilo-silva,Danilo Silva,CB,0.0,-0.1203,23.7936,8.7367,1.0,,,0.0397,,1.0,,3.0,896.0,0.8641,471.0,9.1096,1.9341,0.0,,4.0,,2.0,0.1203,0.9603,,-0.193,1.0806,0.8448,0.7299
dejan-jakovic,Dejan Jakovic,CB,0.0,0.0,19.1811,7.8375,0.0,,,-0.5105,,0.0,,0.0,1246.0,0.8506,549.0,8.1789,1.4898,0.0,,3.0,,0.0,0.0,0.5105,,-0.5105,0.5105,0.8357,0.4037
diego-rossi,Diego Rossi,FB,5.0,-0.0907,15.8098,-1.5537,12.0,,,0.4698,,17.0,,43.0,2926.0,0.7892,1020.0,-2.2554,-0.2211,4.2975,,94.0,,43.0,5.0907,11.5302,,1.2809,16.6209,0.7914,5.4998
