player_id,player_name,positions,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,saves,shots,shots_faced,shots_on_target,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
alex-de-john,Alex De John,CB,0.0,-0.0503,22.1981,9.2608,0.0,,,-0.0746,,0.0,,1.0,438.0,0.8031,127.0,1.2066,0.9501,0.0,,1.0,,0.0,0.0503,0.0746,,-0.0746,0.125,0.7936,0.0229
benji-michel,Benji Michel,ST,0.0,-0.4777,16.199,-0.0761,5.0,,,1.6755,,5.0,,6.0,1066.0,0.6541,185.0,-14.0957,-7.6193,3.3017,,11.0,,9.0,0.4777,3.3245,,1.8229,3.8022,0.7302,1.6117
brian-rowe,Brian Rowe,GK,0.0,-0.4692,45.1757,38.0038,0.0,47.0,0.7532,0.0,1.0163,0.0,0.15,1.0,3188.0,0.6246,927.0,-4.5186,-0.4874,0.0,110.0,0.0,160.0,0.0,0.4692,0.0,46.2468,0.0,0.4692,0.6295,0.0
carlos-ascues,Carlos Ascues,CM,1.0,0.0612,17.6075,3.6695,1.0,,,-0.4715,,2.0,,8.0,1229.0,0.7804,428.0,-17.9019,-4.1827,0.017,,9.0,,3.0,0.9388,1.4715,,-1.1318,2.4103,0.8222,0.7644
chris-mueller,Chris Mueller,S,3.0,-1.1238,16.5434,1.0529,5.0,,,2.3322,,8.0,,24.0,1528.0,0.7338,665.0,-4.6239,-0.6953,3.8659,,40.0,,13.0,4.1238,2.6678,,0.9003,6.7916,0.7408,1.8452
cristian-higuita,Cristian Higuita,DM,0.0,-0.1383,17.7015,1.301,0.0,,,-0.2457,,0.0,,2.0,700.0,0.8594,434.0,-3.2919,-0.7585,0.0,,6.0,,1.0,0.1383,0.2457,,0.0154,0.384,0.867,0.122
danilo-acosta,Danilo Acosta,FB,0.0,-0.199,18.9738,3.7792,0.0,,,-0.0639,,0.0,,1.0,731.0,0.7041,338.0,-11.9085,-3.5232,0.0,,1.0,,0.0,0.199,0.0639,,-0.0639,0.2629,0.7394,0.0496
dillon-powers,Dillon Powers,CB,1.0,0.6589,18.8796,3.6065,0.0,,,-0.1576,,1.0,,6.0,684.0,0.8368,337.0,0.548,0.1626,0.0,,4.0,,1.0,0.3411,0.1576,,-0.1401,0.4987,0.8352,0.1147
dom-dwyer,Dom Dwyer,ST,3.0,0.9638,15.425,-0.2084,7.0,,,-3.4771,,10.0,,8.0,1778.0,0.7237,228.0,-0.1177,-0.0516,3.9879,,66.0,,26.0,2.0362,10.4771,,-2.3034,12.5133,0.7242,6.5787
greg-ranjitsingh,Greg Ranjitsingh,GK,0.0,0.0,50.2502,44.3067,0.0,3.0,-0.1664,0.0,0.9474,0.0,0.4286,0.0,204.0,0.6494,77.0,9.0198,11.714,0.0,4.0,0.0,7.0,0.0,0.0,0.0,3.1664,0.0,0.0,0.5322,0.0
jhegson-méndez,Jhegson Méndez,DM,0.0,-0.2323,18.1622,3.8787,0.0,,,-0.4643,,0.0,,5.0,1999.0,0.8987,1382.0,26.6233,1.9264,0.0,,10.0,,0.0,0.2323,0.4643,,-0.4643,0.6965,0.8794,0.3331
josué-colmán,Josué Colmán,W,1.0,0.4855,21.248,3.5325,0.0,,,-0.109,,1.0,,9.0,198.0,0.77,100.0,-0.6852,-0.6852,0.0,,4.0,,1.0,0.5145,0.109,,-0.0952,0.6235,0.7769,0.058
joão-moutinho,João Moutinho,FB,2.0,0.848,18.7997,5.4037,0.0,,,-0.3639,,2.0,,12.0,1348.0,0.7146,827.0,-13.1572,-1.591,0.0,,9.0,,2.0,1.152,0.3639,,-0.1806,1.5159,0.7305,0.2806
kamal-miller,Kamal Miller,CB,0.0,-0.2436,20.4486,6.4566,0.0,,,-0.0099,,0.0,,4.0,1497.0,0.7982,679.0,16.7278,2.4636,0.0,,1.0,,0.0,0.2436,0.0099,,-0.0099,0.2535,0.7736,0.0058
kyle-smith,Kyle Smith,FB,0.0,-0.1261,17.8458,4.3882,0.0,,,-0.5232,,0.0,,3.0,1548.0,0.7926,704.0,12.6241,1.7932,0.0,,6.0,,2.0,0.1261,0.5232,,-0.3233,0.6493,0.7747,0.3259
lamine-sané,Lamine Sané,CB,0.0,-0.4035,22.1821,9.4334,0.0,,,-0.4745,,0.0,,8.0,2519.0,0.8663,1062.0,33.0978,3.1165,0.0,,8.0,,1.0,0.4035,0.4745,,-0.4484,0.878,0.8351,0.3168
mauricio-pereyra,Mauricio Pereyra,AM,3.0,1.2543,20.0151,6.4616,0.0,,,-0.1072,,3.0,,12.0,432.0,0.7589,253.0,-0.3058,-0.1209,0.0,,3.0,,1.0,1.7457,0.1072,,-0.0153,1.8529,0.7601,0.0398
nani,Nani,W,5.0,-2.0441,18.8316,3.501,12.0,,,2.6508,,17.0,,69.0,2499.0,0.7569,1415.0,7.0255,0.4965,5.7634,,64.0,,26.0,7.0441,9.3492,,0.9704,16.3933,0.7519,4.8756
robin-jansson,Robin Jansson,CB,0.0,-0.0199,23.6934,11.5244,0.0,,,-0.6655,,0.0,,1.0,2664.0,0.8297,1016.0,10.7345,1.0565,0.0,,10.0,,0.0,0.0199,0.6655,,-0.6655,0.6854,0.8192,0.4509
robinho,Robinho,W,0.0,-0.0701,15.9415,-1.7632,0.0,,,-0.581,,0.0,,2.0,237.0,0.8182,99.0,0.6636,0.6704,0.0,,6.0,,2.0,0.0701,0.581,,-0.524,0.6511,0.8115,0.4806
ruan,Ruan,FB,4.0,-0.5159,17.1821,2.7602,0.0,,,-0.8471,,4.0,,16.0,2330.0,0.7253,943.0,-16.0121,-1.698,0.0,,8.0,,4.0,4.5159,0.8471,,-0.5286,5.363,0.7423,0.7474
sacha-kljestan,Sacha Kljestan,AM,2.0,-0.4857,16.8455,3.5647,1.0,,,-0.7322,,3.0,,20.0,1523.0,0.7885,903.0,-13.5387,-1.4993,0.4912,,19.0,,6.0,2.4857,1.7322,,-0.1503,4.2179,0.8035,1.0968
santiago-patiño,Santiago Patiño,ST,1.0,0.2746,17.6819,-2.7468,2.0,,,-0.6378,,3.0,,3.0,391.0,0.7111,45.0,-3.658,-8.129,0.9276,,12.0,,3.0,0.7254,2.6378,,-0.6734,3.3632,0.7924,2.0131
shane-oneill,Shane O'Neill,CB,0.0,-0.6755,22.4853,9.9974,0.0,,,-0.1509,,0.0,,5.0,936.0,0.7037,405.0,-11.5916,-2.8621,0.0,,3.0,,0.0,0.6755,0.1509,,-0.1509,0.8264,0.7323,0.1358
